target_id,event_window_id,region,aoi_bbox,pre_window,post_window,sensor,collection,expected_method,requires_external_execution,gee_script_stub_path,stac_query_stub_path,output_expected,review_only
S16AS1_00001,S16AWIN_00001,recife,-35.14209391;-8.22709969;-34.94446455;-8.01366583,2013-12-26..2014-01-08,2014-01-09..2014-01-16,Sentinel-1,COPERNICUS/S1_GRD,"VV/VH backscatter change; speckle filtering; permanent water, HAND/slope and optional urban masks; MMU; polygonization",true,scripts/suscetibilidade/susc_16a_gee_sentinel1_flood_mapping_stub.js,scripts/suscetibilidade/susc_16a_stac_sentinel1_query_stub.py,candidate_flood_water_polygon_review_only,true
S16AS1_00002,S16AWIN_00002,recife,-35.14209391;-8.22709969;-34.94446455;-8.01366583,2013-12-31..2014-01-13,2014-01-14..2014-01-21,Sentinel-1,COPERNICUS/S1_GRD,"VV/VH backscatter change; speckle filtering; permanent water, HAND/slope and optional urban masks; MMU; polygonization",true,scripts/suscetibilidade/susc_16a_gee_sentinel1_flood_mapping_stub.js,scripts/suscetibilidade/susc_16a_stac_sentinel1_query_stub.py,candidate_flood_water_polygon_review_only,true
S16AS1_00003,S16AWIN_00003,recife,-35.14209391;-8.22709969;-34.94446455;-8.01366583,2014-01-01..2014-01-14,2014-01-15..2014-01-22,Sentinel-1,COPERNICUS/S1_GRD,"VV/VH backscatter change; speckle filtering; permanent water, HAND/slope and optional urban masks; MMU; polygonization",true,scripts/suscetibilidade/susc_16a_gee_sentinel1_flood_mapping_stub.js,scripts/suscetibilidade/susc_16a_stac_sentinel1_query_stub.py,candidate_flood_water_polygon_review_only,true
S16AS1_00004,S16AWIN_00004,recife,-35.14209391;-8.22709969;-34.94446455;-8.01366583,2014-01-02..2014-01-15,2014-01-16..2014-01-23,Sentinel-1,COPERNICUS/S1_GRD,"VV/VH backscatter change; speckle filtering; permanent water, HAND/slope and optional urban masks; MMU; polygonization",true,scripts/suscetibilidade/susc_16a_gee_sentinel1_flood_mapping_stub.js,scripts/suscetibilidade/susc_16a_stac_sentinel1_query_stub.py,candidate_flood_water_polygon_review_only,true
S16AS1_00005,S16AWIN_00005,recife,-35.14209391;-8.22709969;-34.94446455;-8.01366583,2014-01-07..2014-01-20,2014-01-21..2014-01-28,Sentinel-1,COPERNICUS/S1_GRD,"VV/VH backscatter change; speckle filtering; permanent water, HAND/slope and optional urban masks; MMU; polygonization",true,scripts/suscetibilidade/susc_16a_gee_sentinel1_flood_mapping_stub.js,scripts/suscetibilidade/susc_16a_stac_sentinel1_query_stub.py,candidate_flood_water_polygon_review_only,true
S16AS1_00006,S16AWIN_00006,recife,-35.14209391;-8.22709969;-34.94446455;-8.01366583,2014-01-09..2014-01-22,2014-01-23..2014-01-30,Sentinel-1,COPERNICUS/S1_GRD,"VV/VH backscatter change; speckle filtering; permanent water, HAND/slope and optional urban masks; MMU; polygonization",true,scripts/suscetibilidade/susc_16a_gee_sentinel1_flood_mapping_stub.js,scripts/suscetibilidade/susc_16a_stac_sentinel1_query_stub.py,candidate_flood_water_polygon_review_only,true
S16AS1_00007,S16AWIN_00007,recife,-35.14209391;-8.22709969;-34.94446455;-8.01366583,2014-01-13..2014-01-26,2014-01-27..2014-02-03,Sentinel-1,COPERNICUS/S1_GRD,"VV/VH backscatter change; speckle filtering; permanent water, HAND/slope and optional urban masks; MMU; polygonization",true,scripts/suscetibilidade/susc_16a_gee_sentinel1_flood_mapping_stub.js,scripts/suscetibilidade/susc_16a_stac_sentinel1_query_stub.py,candidate_flood_water_polygon_review_only,true
S16AS1_00008,S16AWIN_00008,recife,-35.14209391;-8.22709969;-34.94446455;-8.01366583,2014-01-14..2014-01-27,2014-01-28..2014-02-04,Sentinel-1,COPERNICUS/S1_GRD,"VV/VH backscatter change; speckle filtering; permanent water, HAND/slope and optional urban masks; MMU; polygonization",true,scripts/suscetibilidade/susc_16a_gee_sentinel1_flood_mapping_stub.js,scripts/suscetibilidade/susc_16a_stac_sentinel1_query_stub.py,candidate_flood_water_polygon_review_only,true
S16AS1_00009,S16AWIN_00009,recife,-35.14209391;-8.22709969;-34.94446455;-8.01366583,2014-01-16..2014-01-29,2014-01-30..2014-02-06,Sentinel-1,COPERNICUS/S1_GRD,"VV/VH backscatter change; speckle filtering; permanent water, HAND/slope and optional urban masks; MMU; polygonization",true,scripts/suscetibilidade/susc_16a_gee_sentinel1_flood_mapping_stub.js,scripts/suscetibilidade/susc_16a_stac_sentinel1_query_stub.py,candidate_flood_water_polygon_review_only,true
S16AS1_00010,S16AWIN_00010,recife,-35.14209391;-8.22709969;-34.94446455;-8.01366583,2014-01-23..2014-02-05,2014-02-06..2014-02-13,Sentinel-1,COPERNICUS/S1_GRD,"VV/VH backscatter change; speckle filtering; permanent water, HAND/slope and optional urban masks; MMU; polygonization",true,scripts/suscetibilidade/susc_16a_gee_sentinel1_flood_mapping_stub.js,scripts/suscetibilidade/susc_16a_stac_sentinel1_query_stub.py,candidate_flood_water_polygon_review_only,true
