item_id,regiao,cidade,candidate_event_id,data_evento,tipo_fenomeno,fonte,autoridade_fonte,geometry_id,geometry_type,patch_id,classe_vinculo,possui_footprint_tecnico,possui_fisico,possui_espectral,possui_chuva,qualidade_fonte,qualidade_temporal,qualidade_geometrica,qualidade_vinculo,qualidade_fenomeno,status_referencia_observacional,uso_permitido,ground_truth,eligible_for_training,score_v7_allowed,review_only,not_ground_truth_reason,justificativa_tecnica
S18B_ITEM_0001,REC,Recife,S17C_REF_0063,2022-05-24..2022-05-30,flood_inundation_alagamento,Sentinel-1 SAR metadata feasibility from SUSC-17C31,technical,S17C5_GEOM_0063,technical_footprint,S17C6_CANARY_REC_00001,exact_polygon_overlap,true,true,true,true,80,80,85,85,85,referencia_observacional_forte_somente_revisao,avaliacao_somente_revisao,false,false,false,true,"referencia observacional regional somente revisao; nao confirma ocorrencia no patch, nao e verdade de referencia, nao alimenta treino e nao autoriza score_v7",referencia forte review-only: footprint tecnico + vinculo forte + features diretas locais
S18B_ITEM_0002,REC,Recife,S17C_REF_0063,2022-05-24..2022-05-30,flood_inundation_alagamento,Sentinel-1 SAR metadata feasibility from SUSC-17C31,technical,S17C5_GEOM_0063,technical_footprint,S17C6_CANARY_REC_00002,exact_polygon_overlap,true,true,true,true,80,80,85,85,85,referencia_observacional_forte_somente_revisao,avaliacao_somente_revisao,false,false,false,true,"referencia observacional regional somente revisao; nao confirma ocorrencia no patch, nao e verdade de referencia, nao alimenta treino e nao autoriza score_v7",referencia forte review-only: footprint tecnico + vinculo forte + features diretas locais
S18B_ITEM_0003,REC,Recife,S17C_REF_0063,2022-05-24..2022-05-30,flood_inundation_alagamento,Sentinel-1 SAR metadata feasibility from SUSC-17C31,technical,S17C5_GEOM_0063,technical_footprint,S17C6_CANARY_REC_00003,exact_polygon_overlap,true,true,true,true,80,80,85,85,85,referencia_observacional_forte_somente_revisao,avaliacao_somente_revisao,false,false,false,true,"referencia observacional regional somente revisao; nao confirma ocorrencia no patch, nao e verdade de referencia, nao alimenta treino e nao autoriza score_v7",referencia forte review-only: footprint tecnico + vinculo forte + features diretas locais
S18B_ITEM_0004,REC,Recife,S17C_REF_0063,2022-05-24..2022-05-30,flood_inundation_alagamento,Sentinel-1 SAR metadata feasibility from SUSC-17C31,technical,S17C5_GEOM_0063,technical_footprint,S17C6_CANARY_REC_00004,exact_polygon_overlap,true,true,true,true,80,80,85,85,85,referencia_observacional_forte_somente_revisao,avaliacao_somente_revisao,false,false,false,true,"referencia observacional regional somente revisao; nao confirma ocorrencia no patch, nao e verdade de referencia, nao alimenta treino e nao autoriza score_v7",referencia forte review-only: footprint tecnico + vinculo forte + features diretas locais
S18B_ITEM_0005,REC,Recife,S17C_REF_0063,2022-05-24..2022-05-30,flood_inundation_alagamento,Sentinel-1 SAR metadata feasibility from SUSC-17C31,technical,S17C5_GEOM_0063,technical_footprint,S17C6_CANARY_REC_00005,exact_polygon_overlap,true,true,true,true,80,80,85,85,85,referencia_observacional_forte_somente_revisao,avaliacao_somente_revisao,false,false,false,true,"referencia observacional regional somente revisao; nao confirma ocorrencia no patch, nao e verdade de referencia, nao alimenta treino e nao autoriza score_v7",referencia forte review-only: footprint tecnico + vinculo forte + features diretas locais
S18B_ITEM_0006,PET,Petropolis,S17C_REF_0001,2022-02-20,hydrometeorological_or_unknown,ANEXO-III-CPRM_Relat¢rio_Petr¢polis_20-02-22_Bairro_Serra_Velha.pdf,official,not_available,none,not_available,same_region_only,false,false,false,false,85,90,10,0,30,bloqueado_por_fenomeno,fila_separacao_fenomeno,false,false,false,true,"referencia observacional regional somente revisao; nao confirma ocorrencia no patch, nao e verdade de referencia, nao alimenta treino e nao autoriza score_v7",regiao PET; fenomeno fenomeno_misto; data 2022-02-20 (exact_day); fonte official; vinculo same_region_only; fenomeno misto/deslizamento nao entra como inundacao sem separacao por ocorrencia
S18B_ITEM_0007,PET,Petropolis,S17C_REF_0002,2022-02-19,hydrometeorological_or_unknown,ANEXO-II-CPRM_Relat¢rio_Petr¢polis_19-02-22_Bairro_Moinho_Preto.pdf,official,not_available,none,not_available,same_region_only,false,false,false,false,85,90,10,0,30,bloqueado_por_fenomeno,fila_separacao_fenomeno,false,false,false,true,"referencia observacional regional somente revisao; nao confirma ocorrencia no patch, nao e verdade de referencia, nao alimenta treino e nao autoriza score_v7",regiao PET; fenomeno fenomeno_misto; data 2022-02-19 (exact_day); fonte official; vinculo same_region_only; fenomeno misto/deslizamento nao entra como inundacao sem separacao por ocorrencia
S18B_ITEM_0008,PET,Petropolis,S17C_REF_0003,2022-02-22,hydrometeorological_or_unknown,ANEXO-IV-CPRM_Relat¢rio_Petr¢polis_22-02-22_Bairro_Valpara¡so_Rua_Eugenio Barcelos.pdf,official,not_available,none,not_available,same_region_only,false,false,false,false,85,90,10,0,30,bloqueado_por_fenomeno,fila_separacao_fenomeno,false,false,false,true,"referencia observacional regional somente revisao; nao confirma ocorrencia no patch, nao e verdade de referencia, nao alimenta treino e nao autoriza score_v7",regiao PET; fenomeno fenomeno_misto; data 2022-02-22 (exact_day); fonte official; vinculo same_region_only; fenomeno misto/deslizamento nao entra como inundacao sem separacao por ocorrencia
S18B_ITEM_0009,PET,Petropolis,S17C_REF_0004,2022-02-28,hydrometeorological_or_unknown,ANEXO-IX-CPRM_Relat¢rio_Petr¢polis_28-02-22_Bairro_Sargento_Boening.pdf,official,not_available,none,not_available,same_region_only,false,false,false,false,85,90,10,0,30,bloqueado_por_fenomeno,fila_separacao_fenomeno,false,false,false,true,"referencia observacional regional somente revisao; nao confirma ocorrencia no patch, nao e verdade de referencia, nao alimenta treino e nao autoriza score_v7",regiao PET; fenomeno fenomeno_misto; data 2022-02-28 (exact_day); fonte official; vinculo same_region_only; fenomeno misto/deslizamento nao entra como inundacao sem separacao por ocorrencia
S18B_ITEM_0010,PET,Petropolis,S17C_REF_0005,not_available,hydrometeorological_or_unknown,ANEXO-VIII-CPRM_Relat¢rio_Petr¢polis_25_e_26-02-22_EstradaVelha_e_VilaFelipe.pdf,official,not_available,none,not_available,same_region_only,false,false,false,false,85,0,10,0,30,bloqueado_por_fenomeno,fila_separacao_fenomeno,false,false,false,true,"referencia observacional regional somente revisao; nao confirma ocorrencia no patch, nao e verdade de referencia, nao alimenta treino e nao autoriza score_v7",regiao PET; fenomeno fenomeno_misto; data not_available (unknown); fonte official; vinculo same_region_only; fenomeno misto/deslizamento nao entra como inundacao sem separacao por ocorrencia
