candidate_event_id,event_id,source_id,city,region,event_date,pre_event_window,post_event_window,has_sentinel1_pre,has_sentinel1_post,has_sentinel2_context,intersects_patch_region,has_water_mask_source,has_hand_or_slope_context,sar_feasible,sar_blocking_reason,future_query_required,metadata_sources,review_only,trainable,ground_truth,score_v7_allowed
S17C_REF_0001,EVENT_PET2022_CPRM_ANEXOIII_20022022,PET2022_CPRM_ANEXOIII_20022022,Petropolis,PET,2022-02-20,2022-01-21..2022-02-13,2022-02-20..2022-02-27,false,true,true,true,false,true,false,missing_sentinel1_pre_metadata_and_water_mask_source_future_query_required,true,datasets/event_patch_linkage_registry.csv;datasets/c4_s1_completion_queue.csv,true,false,false,false
S17C_REF_0002,EVENT_PET2022_CPRM_ANEXOII_19022022,PET2022_CPRM_ANEXOII_19022022,Petropolis,PET,2022-02-19,2022-01-20..2022-02-12,2022-02-19..2022-02-26,false,true,true,true,false,true,false,missing_sentinel1_pre_metadata_and_water_mask_source_future_query_required,true,datasets/event_patch_linkage_registry.csv;datasets/c4_s1_completion_queue.csv,true,false,false,false
S17C_REF_0003,EVENT_PET2022_CPRM_ANEXOIV_22022022,PET2022_CPRM_ANEXOIV_22022022,Petropolis,PET,2022-02-22,2022-01-23..2022-02-15,2022-02-22..2022-03-01,false,true,true,true,false,true,false,missing_sentinel1_pre_metadata_and_water_mask_source_future_query_required,true,datasets/event_patch_linkage_registry.csv;datasets/c4_s1_completion_queue.csv,true,false,false,false
S17C_REF_0004,EVENT_PET2022_CPRM_ANEXOIX_28022022,PET2022_CPRM_ANEXOIX_28022022,Petropolis,PET,2022-02-28,2022-01-29..2022-02-21,2022-02-28..2022-03-07,true,false,true,true,false,true,false,missing_sentinel1_post_metadata_and_water_mask_source_future_query_required,true,datasets/event_patch_linkage_registry.csv;datasets/c4_s1_completion_queue.csv,true,false,false,false
S17C_REF_0006,EVENT_PET2022_CPRM_ANEXOVII_24022022,PET2022_CPRM_ANEXOVII_24022022,Petropolis,PET,2022-02-24,2022-01-25..2022-02-17,2022-02-24..2022-03-03,true,true,true,true,false,true,false,missing_water_mask_source_future_query_required,true,datasets/event_patch_linkage_registry.csv,true,false,false,false
S17C_REF_0007,EVENT_PET2022_CPRM_ANEXOV_23022022,PET2022_CPRM_ANEXOV_23022022,Petropolis,PET,2022-02-23,2022-01-24..2022-02-16,2022-02-23..2022-03-02,false,true,true,true,false,true,false,missing_sentinel1_pre_metadata_and_water_mask_source_future_query_required,true,datasets/event_patch_linkage_registry.csv;datasets/c4_s1_completion_queue.csv,true,false,false,false
S17C_REF_0008,EVENT_PET2022_CPRM_ANEXOXI_02032022,PET2022_CPRM_ANEXOXI_02032022,Petropolis,PET,2022-03-02,2022-01-31..2022-02-23,2022-03-02..2022-03-09,true,false,true,true,false,true,false,missing_sentinel1_post_metadata_and_water_mask_source_future_query_required,true,datasets/event_patch_linkage_registry.csv;datasets/c4_s1_completion_queue.csv,true,false,false,false
S17C_REF_0009,EVENT_PET2022_CPRM_ANEXOX_01032022,PET2022_CPRM_ANEXOX_01032022,Petropolis,PET,2022-03-01,2022-01-30..2022-02-22,2022-03-01..2022-03-08,true,false,true,true,false,true,false,missing_sentinel1_post_metadata_and_water_mask_source_future_query_required,true,datasets/event_patch_linkage_registry.csv;datasets/c4_s1_completion_queue.csv,true,false,false,false
S17C_REF_0010,PET_2022_02_15,OBS_PET_001,Petropolis,PET,2022-02-15,2022-01-16..2022-02-08,2022-02-15..2022-02-22,false,false,false,false,false,true,false,missing_sentinel1_pre_metadata_and_sentinel1_post_metadata_and_patch_region_intersection_and_water_mask_source_future_query_required,true,future_query_queue_no_sentinel_metadata_in_repo,true,false,false,false
S17C_REF_0011,REC_2022_05_24_30,OBS_REC_001,Recife,REC,2022-05-26,2022-04-26..2022-05-19,2022-05-26..2022-06-02,true,true,false,false,true,true,false,missing_patch_region_intersection_future_query_required,true,outputs_public/suscetibilidade/susc_17c31_sar_metadata_feasibility.csv,true,false,false,false
S17C_REF_0013,PET2022_CPRM_ANEXOII_19022022,PET2022_CPRM_ANEXOII_19022022,Petropolis,PET,2022-02-19,2022-01-20..2022-02-12,2022-02-19..2022-02-26,false,true,true,true,false,true,false,missing_sentinel1_pre_metadata_and_water_mask_source_future_query_required,true,datasets/event_patch_linkage_registry.csv;datasets/c4_s1_completion_queue.csv,true,false,false,false
S17C_REF_0014,PET2022_CPRM_ANEXOIII_20022022,PET2022_CPRM_ANEXOIII_20022022,Petropolis,PET,2022-02-20,2022-01-21..2022-02-13,2022-02-20..2022-02-27,false,true,true,true,false,true,false,missing_sentinel1_pre_metadata_and_water_mask_source_future_query_required,true,datasets/event_patch_linkage_registry.csv;datasets/c4_s1_completion_queue.csv,true,false,false,false
S17C_REF_0015,PET2022_CPRM_ANEXOIV_22022022,PET2022_CPRM_ANEXOIV_22022022,Petropolis,PET,2022-02-22,2022-01-23..2022-02-15,2022-02-22..2022-03-01,false,true,true,true,false,true,false,missing_sentinel1_pre_metadata_and_water_mask_source_future_query_required,true,datasets/event_patch_linkage_registry.csv;datasets/c4_s1_completion_queue.csv,true,false,false,false
S17C_REF_0016,PET2022_CPRM_ANEXOIX_28022022,PET2022_CPRM_ANEXOIX_28022022,Petropolis,PET,2022-02-28,2022-01-29..2022-02-21,2022-02-28..2022-03-07,true,false,true,true,false,true,false,missing_sentinel1_post_metadata_and_water_mask_source_future_query_required,true,datasets/event_patch_linkage_registry.csv;datasets/c4_s1_completion_queue.csv,true,false,false,false
S17C_REF_0017,PET2022_CPRM_ANEXOV_23022022,PET2022_CPRM_ANEXOV_23022022,Petropolis,PET,2022-02-23,2022-01-24..2022-02-16,2022-02-23..2022-03-02,false,true,true,true,false,true,false,missing_sentinel1_pre_metadata_and_water_mask_source_future_query_required,true,datasets/event_patch_linkage_registry.csv;datasets/c4_s1_completion_queue.csv,true,false,false,false
S17C_REF_0018,PET2022_CPRM_ANEXOVI_24022022,PET2022_CPRM_ANEXOVI_24022022,Petropolis,PET,2022-02-24,2022-01-25..2022-02-17,2022-02-24..2022-03-03,false,false,false,false,false,true,false,missing_sentinel1_pre_metadata_and_sentinel1_post_metadata_and_patch_region_intersection_and_water_mask_source_future_query_required,true,future_query_queue_no_sentinel_metadata_in_repo,true,false,false,false
S17C_REF_0019,PET2022_CPRM_ANEXOVII_24022022,PET2022_CPRM_ANEXOVII_24022022,Petropolis,PET,2022-02-24,2022-01-25..2022-02-17,2022-02-24..2022-03-03,true,true,true,true,false,true,false,missing_water_mask_source_future_query_required,true,datasets/event_patch_linkage_registry.csv,true,false,false,false
S17C_REF_0021,PET2022_CPRM_ANEXOX_01032022,PET2022_CPRM_ANEXOX_01032022,Petropolis,PET,2022-03-01,2022-01-30..2022-02-22,2022-03-01..2022-03-08,true,false,true,true,false,true,false,missing_sentinel1_post_metadata_and_water_mask_source_future_query_required,true,datasets/event_patch_linkage_registry.csv;datasets/c4_s1_completion_queue.csv,true,false,false,false
S17C_REF_0022,PET2022_CPRM_ANEXOXI_02032022,PET2022_CPRM_ANEXOXI_02032022,Petropolis,PET,2022-03-02,2022-01-31..2022-02-23,2022-03-02..2022-03-09,true,false,true,true,false,true,false,missing_sentinel1_post_metadata_and_water_mask_source_future_query_required,true,datasets/event_patch_linkage_registry.csv;datasets/c4_s1_completion_queue.csv,true,false,false,false
S17C_REF_0054,REC_2022_05_24_30,OFFICIAL_MUNICIPAL,Recife,REC,2022-05-24..2022-05-30,2022-04-24..2022-05-17,2022-05-24..2022-06-06,true,true,false,false,true,true,false,missing_patch_region_intersection_future_query_required,true,outputs_public/suscetibilidade/susc_17c31_sar_metadata_feasibility.csv,true,false,false,false
S17C_REF_0055,REC_2023_02_05_06,OFFICIAL_MUNICIPAL,Recife,REC,2023-02-05..2023-02-06,2023-01-06..2023-01-29,2023-02-05..2023-02-13,false,false,false,false,true,true,false,missing_sentinel1_pre_metadata_and_sentinel1_post_metadata_and_patch_region_intersection_future_query_required,true,future_query_queue_no_sentinel_metadata_in_repo,true,false,false,false
S17C_REF_0056,REC_2024_06_14_16,OFFICIAL_MUNICIPAL,Recife,REC,2024-06-14..2024-06-16,2024-05-15..2024-06-07,2024-06-14..2024-06-23,false,false,false,false,true,true,false,missing_sentinel1_pre_metadata_and_sentinel1_post_metadata_and_patch_region_intersection_future_query_required,true,future_query_queue_no_sentinel_metadata_in_repo,true,false,false,false
