canary_patch_id,cenario,peso_fisico,peso_urbano,peso_umidade,peso_chuva,peso_evidencia,indice_resultante,classe_resultante,mudanca_vs_base,interpretacao,score_oficial,substituir_score_v6,usar_em_treino,ground_truth
S17C6_CANARY_REC_00002,cenario_base_v6_compativel,0.4000,0.2000,0.1000,0.2500,0.0500,0.4688,medium,0.0000,mantem o indice em relacao a base compativel com o score_v6,false,false,false,false
S17C6_CANARY_REC_00002,cenario_sem_documental_penalizante,0.4000,0.2000,0.1000,0.2500,0.0000,0.4545,medium,-0.0143,reduz pouco o indice; separar confianca documental nao muda a suscetibilidade fisica,false,false,false,false
S17C6_CANARY_REC_00002,cenario_gatilho_chuva_reforcado,0.3000,0.1500,0.0800,0.4500,0.0200,0.4488,medium,-0.0200,reduz o indice; chuva metropolitana pouco discrimina entre canarios (componente chuva=0.4087),false,false,false,false
S17C6_CANARY_REC_00002,cenario_umidade_espectral_reforcada,0.3000,0.1500,0.3000,0.2000,0.0500,0.4965,medium,0.0277,eleva o indice; sinal de umidade espectral sustenta parte da suscetibilidade (componente umidade=0.5802),false,false,false,false
S17C6_CANARY_REC_00002,cenario_fisico_dominante,0.6000,0.1200,0.0700,0.1800,0.0300,0.4638,medium,-0.0050,mantem o indice; peso fisico maior expoe que a topografia direta e pouco suscetivel (componente fisico=0.4569),false,false,false,false
S17C6_CANARY_REC_00002,cenario_urbano_espectral_reforcado,0.3000,0.4000,0.1000,0.1500,0.0500,0.4710,medium,0.0022,mantem o indice; proxy urbano espectral pre-evento (componente urbano=0.4441),false,false,false,false
S17C6_CANARY_REC_00001,cenario_base_v6_compativel,0.4000,0.2000,0.1000,0.2500,0.0500,0.4022,low,0.0000,mantem o indice em relacao a base compativel com o score_v6,false,false,false,false
S17C6_CANARY_REC_00001,cenario_sem_documental_penalizante,0.4000,0.2000,0.1000,0.2500,0.0000,0.3844,low,-0.0178,reduz pouco o indice; separar confianca documental nao muda a suscetibilidade fisica,false,false,false,false
S17C6_CANARY_REC_00001,cenario_gatilho_chuva_reforcado,0.3000,0.1500,0.0800,0.4500,0.0200,0.4094,low,0.0072,eleva o indice; chuva metropolitana pouco discrimina entre canarios (componente chuva=0.4488),false,false,false,false
S17C6_CANARY_REC_00001,cenario_umidade_espectral_reforcada,0.3000,0.1500,0.3000,0.2000,0.0500,0.4478,medium,0.0456,eleva o indice; sinal de umidade espectral sustenta parte da suscetibilidade (componente umidade=0.5835),false,false,false,false
S17C6_CANARY_REC_00001,cenario_fisico_dominante,0.6000,0.1200,0.0700,0.1800,0.0300,0.3572,low,-0.0450,reduz o indice; peso fisico maior expoe que a topografia direta e pouco suscetivel (componente fisico=0.2682),false,false,false,false
S17C6_CANARY_REC_00001,cenario_urbano_espectral_reforcado,0.3000,0.4000,0.1000,0.1500,0.0500,0.4178,low,0.0156,eleva o indice; proxy urbano espectral pre-evento (componente urbano=0.4368),false,false,false,false
S17C6_CANARY_REC_00003,cenario_base_v6_compativel,0.4000,0.2000,0.1000,0.2500,0.0500,0.4114,low,0.0000,mantem o indice em relacao a base compativel com o score_v6,false,false,false,false
S17C6_CANARY_REC_00003,cenario_sem_documental_penalizante,0.4000,0.2000,0.1000,0.2500,0.0000,0.3941,low,-0.0173,reduz pouco o indice; separar confianca documental nao muda a suscetibilidade fisica,false,false,false,false
S17C6_CANARY_REC_00003,cenario_gatilho_chuva_reforcado,0.3000,0.1500,0.0800,0.4500,0.0200,0.4051,low,-0.0063,reduz o indice; chuva metropolitana pouco discrimina entre canarios (componente chuva=0.4087),false,false,false,false
S17C6_CANARY_REC_00003,cenario_umidade_espectral_reforcada,0.3000,0.1500,0.3000,0.2000,0.0500,0.4228,low,0.0114,eleva o indice; sinal de umidade espectral sustenta parte da suscetibilidade (componente umidade=0.4441),false,false,false,false
S17C6_CANARY_REC_00003,cenario_fisico_dominante,0.6000,0.1200,0.0700,0.1800,0.0300,0.3900,low,-0.0214,reduz o indice; peso fisico maior expoe que a topografia direta e pouco suscetivel (componente fisico=0.3514),false,false,false,false
S17C6_CANARY_REC_00003,cenario_urbano_espectral_reforcado,0.3000,0.4000,0.1000,0.1500,0.0500,0.4226,low,0.0112,eleva o indice; proxy urbano espectral pre-evento (componente urbano=0.4361),false,false,false,false
S17C6_CANARY_REC_00004,cenario_base_v6_compativel,0.4000,0.2000,0.1000,0.2500,0.0500,0.4045,low,0.0000,mantem o indice em relacao a base compativel com o score_v6,false,false,false,false
S17C6_CANARY_REC_00004,cenario_sem_documental_penalizante,0.4000,0.2000,0.1000,0.2500,0.0000,0.3869,low,-0.0176,reduz pouco o indice; separar confianca documental nao muda a suscetibilidade fisica,false,false,false,false
S17C6_CANARY_REC_00004,cenario_gatilho_chuva_reforcado,0.3000,0.1500,0.0800,0.4500,0.0200,0.4004,low,-0.0041,mantem o indice; chuva metropolitana pouco discrimina entre canarios (componente chuva=0.4087),false,false,false,false
S17C6_CANARY_REC_00004,cenario_umidade_espectral_reforcada,0.3000,0.1500,0.3000,0.2000,0.0500,0.4373,medium,0.0328,eleva o indice; sinal de umidade espectral sustenta parte da suscetibilidade (componente umidade=0.5314),false,false,false,false
S17C6_CANARY_REC_00004,cenario_fisico_dominante,0.6000,0.1200,0.0700,0.1800,0.0300,0.3708,low,-0.0337,reduz o indice; peso fisico maior expoe que a topografia direta e pouco suscetivel (componente fisico=0.3069),false,false,false,false
S17C6_CANARY_REC_00004,cenario_urbano_espectral_reforcado,0.3000,0.4000,0.1000,0.1500,0.0500,0.4224,low,0.0179,eleva o indice; proxy urbano espectral pre-evento (componente urbano=0.4472),false,false,false,false
S17C6_CANARY_REC_00005,cenario_base_v6_compativel,0.4000,0.2000,0.1000,0.2500,0.0500,0.4309,medium,0.0000,mantem o indice em relacao a base compativel com o score_v6,false,false,false,false
S17C6_CANARY_REC_00005,cenario_sem_documental_penalizante,0.4000,0.2000,0.1000,0.2500,0.0000,0.4147,low,-0.0162,reduz pouco o indice; separar confianca documental nao muda a suscetibilidade fisica,false,false,false,false
S17C6_CANARY_REC_00005,cenario_gatilho_chuva_reforcado,0.3000,0.1500,0.0800,0.4500,0.0200,0.4196,low,-0.0113,reduz o indice; chuva metropolitana pouco discrimina entre canarios (componente chuva=0.4087),false,false,false,false
S17C6_CANARY_REC_00005,cenario_umidade_espectral_reforcada,0.3000,0.1500,0.3000,0.2000,0.0500,0.4313,medium,0.0004,mantem o indice; sinal de umidade espectral sustenta parte da suscetibilidade (componente umidade=0.4165),false,false,false,false
S17C6_CANARY_REC_00005,cenario_fisico_dominante,0.6000,0.1200,0.0700,0.1800,0.0300,0.4265,medium,-0.0044,mantem o indice; peso fisico maior expoe que a topografia direta e pouco suscetivel (componente fisico=0.4208),false,false,false,false
S17C6_CANARY_REC_00005,cenario_urbano_espectral_reforcado,0.3000,0.4000,0.1000,0.1500,0.0500,0.4298,medium,-0.0011,mantem o indice; proxy urbano espectral pre-evento (componente urbano=0.4090),false,false,false,false
