candidate_event_id,cidade,data_evento,tipo_fenomeno_fonte,classe_fenomeno,base_classificacao,pode_seguir_como_inundacao,separacao_disponivel,continua_bloqueado,justificativa_tecnica
S17C_REF_0001,Petropolis,2022-02-20,hydrometeorological_or_unknown,fenomeno_misto,relatorio geotecnico de encosta / fenomeno hidrometeorologico nao separado por ocorrencia,false,false,true,fenomeno misto/deslizamento nao pode entrar como inundacao sem separacao espacial ou documental por ocorrencia; permanece bloqueado
S17C_REF_0002,Petropolis,2022-02-19,hydrometeorological_or_unknown,fenomeno_misto,relatorio geotecnico de encosta / fenomeno hidrometeorologico nao separado por ocorrencia,false,false,true,fenomeno misto/deslizamento nao pode entrar como inundacao sem separacao espacial ou documental por ocorrencia; permanece bloqueado
S17C_REF_0003,Petropolis,2022-02-22,hydrometeorological_or_unknown,fenomeno_misto,relatorio geotecnico de encosta / fenomeno hidrometeorologico nao separado por ocorrencia,false,false,true,fenomeno misto/deslizamento nao pode entrar como inundacao sem separacao espacial ou documental por ocorrencia; permanece bloqueado
S17C_REF_0004,Petropolis,2022-02-28,hydrometeorological_or_unknown,fenomeno_misto,relatorio geotecnico de encosta / fenomeno hidrometeorologico nao separado por ocorrencia,false,false,true,fenomeno misto/deslizamento nao pode entrar como inundacao sem separacao espacial ou documental por ocorrencia; permanece bloqueado
S17C_REF_0005,Petropolis,not_available,hydrometeorological_or_unknown,fenomeno_misto,relatorio geotecnico de encosta / fenomeno hidrometeorologico nao separado por ocorrencia,false,false,true,fenomeno misto/deslizamento nao pode entrar como inundacao sem separacao espacial ou documental por ocorrencia; permanece bloqueado
S17C_REF_0006,Petropolis,2022-02-24,hydrometeorological_or_unknown,fenomeno_misto,relatorio geotecnico de encosta / fenomeno hidrometeorologico nao separado por ocorrencia,false,false,true,fenomeno misto/deslizamento nao pode entrar como inundacao sem separacao espacial ou documental por ocorrencia; permanece bloqueado
S17C_REF_0007,Petropolis,2022-02-23,hydrometeorological_or_unknown,fenomeno_misto,relatorio geotecnico de encosta / fenomeno hidrometeorologico nao separado por ocorrencia,false,false,true,fenomeno misto/deslizamento nao pode entrar como inundacao sem separacao espacial ou documental por ocorrencia; permanece bloqueado
S17C_REF_0008,Petropolis,2022-03-02,hydrometeorological_or_unknown,fenomeno_misto,relatorio geotecnico de encosta / fenomeno hidrometeorologico nao separado por ocorrencia,false,false,true,fenomeno misto/deslizamento nao pode entrar como inundacao sem separacao espacial ou documental por ocorrencia; permanece bloqueado
S17C_REF_0009,Petropolis,2022-03-01,hydrometeorological_or_unknown,fenomeno_misto,relatorio geotecnico de encosta / fenomeno hidrometeorologico nao separado por ocorrencia,false,false,true,fenomeno misto/deslizamento nao pode entrar como inundacao sem separacao espacial ou documental por ocorrencia; permanece bloqueado
S17C_REF_0010,Petropolis,2022-02-15,hydrometeorological_or_unknown,fenomeno_misto,relatorio geotecnico de encosta / fenomeno hidrometeorologico nao separado por ocorrencia,false,false,true,fenomeno misto/deslizamento nao pode entrar como inundacao sem separacao espacial ou documental por ocorrencia; permanece bloqueado
S17C_REF_0013,Petropolis,2022-02-19,hydrometeorological_or_unknown,fenomeno_misto,relatorio geotecnico de encosta / fenomeno hidrometeorologico nao separado por ocorrencia,false,false,true,fenomeno misto/deslizamento nao pode entrar como inundacao sem separacao espacial ou documental por ocorrencia; permanece bloqueado
S17C_REF_0014,Petropolis,2022-02-20,hydrometeorological_or_unknown,fenomeno_misto,relatorio geotecnico de encosta / fenomeno hidrometeorologico nao separado por ocorrencia,false,false,true,fenomeno misto/deslizamento nao pode entrar como inundacao sem separacao espacial ou documental por ocorrencia; permanece bloqueado
S17C_REF_0015,Petropolis,2022-02-22,hydrometeorological_or_unknown,fenomeno_misto,relatorio geotecnico de encosta / fenomeno hidrometeorologico nao separado por ocorrencia,false,false,true,fenomeno misto/deslizamento nao pode entrar como inundacao sem separacao espacial ou documental por ocorrencia; permanece bloqueado
S17C_REF_0016,Petropolis,2022-02-28,hydrometeorological_or_unknown,fenomeno_misto,relatorio geotecnico de encosta / fenomeno hidrometeorologico nao separado por ocorrencia,false,false,true,fenomeno misto/deslizamento nao pode entrar como inundacao sem separacao espacial ou documental por ocorrencia; permanece bloqueado
S17C_REF_0017,Petropolis,2022-02-23,hydrometeorological_or_unknown,fenomeno_misto,relatorio geotecnico de encosta / fenomeno hidrometeorologico nao separado por ocorrencia,false,false,true,fenomeno misto/deslizamento nao pode entrar como inundacao sem separacao espacial ou documental por ocorrencia; permanece bloqueado
S17C_REF_0018,Petropolis,2022-02-24,hydrometeorological_or_unknown,fenomeno_misto,relatorio geotecnico de encosta / fenomeno hidrometeorologico nao separado por ocorrencia,false,false,true,fenomeno misto/deslizamento nao pode entrar como inundacao sem separacao espacial ou documental por ocorrencia; permanece bloqueado
S17C_REF_0019,Petropolis,2022-02-24,hydrometeorological_or_unknown,fenomeno_misto,relatorio geotecnico de encosta / fenomeno hidrometeorologico nao separado por ocorrencia,false,false,true,fenomeno misto/deslizamento nao pode entrar como inundacao sem separacao espacial ou documental por ocorrencia; permanece bloqueado
S17C_REF_0020,Petropolis,not_available,hydrometeorological_or_unknown,fenomeno_misto,relatorio geotecnico de encosta / fenomeno hidrometeorologico nao separado por ocorrencia,false,false,true,fenomeno misto/deslizamento nao pode entrar como inundacao sem separacao espacial ou documental por ocorrencia; permanece bloqueado
S17C_REF_0021,Petropolis,2022-03-01,hydrometeorological_or_unknown,fenomeno_misto,relatorio geotecnico de encosta / fenomeno hidrometeorologico nao separado por ocorrencia,false,false,true,fenomeno misto/deslizamento nao pode entrar como inundacao sem separacao espacial ou documental por ocorrencia; permanece bloqueado
