patch_id,susc_score_v6_candidate,susc_class_v6_candidate,flood_mask_mean,sinal_sar,comparacao_status,score_v6_alterado,score_v7_criado,ground_truth,eligible_for_training,score_v7_allowed,review_only,justificativa_tecnica
CUR_00038,0.471344,medium,0.027199221966663873,sinal_sar_medio,alinhamento_tecnico_parcial,false,false,false,false,false,true,comparacao diagnostica somente revisao; score_v6 nao foi alterado e score_v7 nao foi criado
CUR_00249,0.434532,medium,0.05544153676810003,sinal_sar_alto,alinhamento_tecnico_parcial,false,false,false,false,false,true,comparacao diagnostica somente revisao; score_v6 nao foi alterado e score_v7 nao foi criado
CUR_00350,0.654267,high,0.030640371691223477,sinal_sar_medio,alinhamento_tecnico_parcial,false,false,false,false,false,true,comparacao diagnostica somente revisao; score_v6 nao foi alterado e score_v7 nao foi criado
CUR_00357,0.389662,low,0.02198684341389258,sinal_sar_medio,divergencia_tecnica_para_revisao,false,false,false,false,false,true,comparacao diagnostica somente revisao; score_v6 nao foi alterado e score_v7 nao foi criado
CUR_00367,0.407342,low,0.01747812127067117,sinal_sar_baixo,alinhamento_tecnico_baixo,false,false,false,false,false,true,comparacao diagnostica somente revisao; score_v6 nao foi alterado e score_v7 nao foi criado
CUR_00402,0.404487,low,0.023777381468350126,sinal_sar_medio,divergencia_tecnica_para_revisao,false,false,false,false,false,true,comparacao diagnostica somente revisao; score_v6 nao foi alterado e score_v7 nao foi criado
CUR_00409,0.53338,medium,0.030591361171950795,sinal_sar_medio,alinhamento_tecnico_parcial,false,false,false,false,false,true,comparacao diagnostica somente revisao; score_v6 nao foi alterado e score_v7 nao foi criado
CUR_00410,0.528555,medium,0.022541461855810806,sinal_sar_medio,alinhamento_tecnico_parcial,false,false,false,false,false,true,comparacao diagnostica somente revisao; score_v6 nao foi alterado e score_v7 nao foi criado
CUR_00413,0.568725,medium,0.0090376695236283,sinal_sar_baixo,divergencia_tecnica_para_revisao,false,false,false,false,false,true,comparacao diagnostica somente revisao; score_v6 nao foi alterado e score_v7 nao foi criado
CUR_00416,0.464452,medium,0.03017400763235462,sinal_sar_medio,alinhamento_tecnico_parcial,false,false,false,false,false,true,comparacao diagnostica somente revisao; score_v6 nao foi alterado e score_v7 nao foi criado
CUR_00445,0.549597,medium,0.017095960493125395,sinal_sar_baixo,divergencia_tecnica_para_revisao,false,false,false,false,false,true,comparacao diagnostica somente revisao; score_v6 nao foi alterado e score_v7 nao foi criado
CUR_00446,0.556692,medium,0.004714802418867745,sinal_sar_baixo,divergencia_tecnica_para_revisao,false,false,false,false,false,true,comparacao diagnostica somente revisao; score_v6 nao foi alterado e score_v7 nao foi criado
CUR_00597,0.395268,low,0.021448269918559054,sinal_sar_medio,divergencia_tecnica_para_revisao,false,false,false,false,false,true,comparacao diagnostica somente revisao; score_v6 nao foi alterado e score_v7 nao foi criado
CUR_00661,0.883007,high,0.01857874551703794,sinal_sar_baixo,divergencia_tecnica_para_revisao,false,false,false,false,false,true,comparacao diagnostica somente revisao; score_v6 nao foi alterado e score_v7 nao foi criado
CUR_00662,0.651454,high,0.018320544874558135,sinal_sar_baixo,divergencia_tecnica_para_revisao,false,false,false,false,false,true,comparacao diagnostica somente revisao; score_v6 nao foi alterado e score_v7 nao foi criado
CUR_00695,0.83086,high,0.03055052066673779,sinal_sar_medio,alinhamento_tecnico_parcial,false,false,false,false,false,true,comparacao diagnostica somente revisao; score_v6 nao foi alterado e score_v7 nao foi criado
CUR_00728,0.846055,high,0.025267892103155096,sinal_sar_medio,alinhamento_tecnico_parcial,false,false,false,false,false,true,comparacao diagnostica somente revisao; score_v6 nao foi alterado e score_v7 nao foi criado
CUR_00740,0.370482,low,0.027662035374071525,sinal_sar_medio,divergencia_tecnica_para_revisao,false,false,false,false,false,true,comparacao diagnostica somente revisao; score_v6 nao foi alterado e score_v7 nao foi criado
CUR_00887,0.610679,medium,0.04489339838893956,sinal_sar_medio,alinhamento_tecnico_parcial,false,false,false,false,false,true,comparacao diagnostica somente revisao; score_v6 nao foi alterado e score_v7 nao foi criado
CUR_00888,0.430251,medium,0.030812413603891628,sinal_sar_medio,alinhamento_tecnico_parcial,false,false,false,false,false,true,comparacao diagnostica somente revisao; score_v6 nao foi alterado e score_v7 nao foi criado
CUR_00889,0.427625,medium,0.025576063363376346,sinal_sar_medio,alinhamento_tecnico_parcial,false,false,false,false,false,true,comparacao diagnostica somente revisao; score_v6 nao foi alterado e score_v7 nao foi criado
CUR_00895,0.579199,medium,0.016548496981161606,sinal_sar_baixo,divergencia_tecnica_para_revisao,false,false,false,false,false,true,comparacao diagnostica somente revisao; score_v6 nao foi alterado e score_v7 nao foi criado
CUR_00899,0.607848,medium,0.02204854560807779,sinal_sar_medio,alinhamento_tecnico_parcial,false,false,false,false,false,true,comparacao diagnostica somente revisao; score_v6 nao foi alterado e score_v7 nao foi criado
CUR_00924,0.502482,medium,0.032965611412555246,sinal_sar_medio,alinhamento_tecnico_parcial,false,false,false,false,false,true,comparacao diagnostica somente revisao; score_v6 nao foi alterado e score_v7 nao foi criado
CUR_00930,0.623689,high,0.030243340491800948,sinal_sar_medio,alinhamento_tecnico_parcial,false,false,false,false,false,true,comparacao diagnostica somente revisao; score_v6 nao foi alterado e score_v7 nao foi criado
CUR_00934,0.680824,high,0.032055521212208345,sinal_sar_medio,alinhamento_tecnico_parcial,false,false,false,false,false,true,comparacao diagnostica somente revisao; score_v6 nao foi alterado e score_v7 nao foi criado
CUR_00936,0.580638,medium,0.02302312375557967,sinal_sar_medio,alinhamento_tecnico_parcial,false,false,false,false,false,true,comparacao diagnostica somente revisao; score_v6 nao foi alterado e score_v7 nao foi criado
CUR_00960,0.449296,medium,0.02132667719133564,sinal_sar_medio,alinhamento_tecnico_parcial,false,false,false,false,false,true,comparacao diagnostica somente revisao; score_v6 nao foi alterado e score_v7 nao foi criado
CUR_00969,0.638789,high,0.04080899611647719,sinal_sar_medio,alinhamento_tecnico_parcial,false,false,false,false,false,true,comparacao diagnostica somente revisao; score_v6 nao foi alterado e score_v7 nao foi criado
CUR_00977,0.570926,medium,0.025500042677895678,sinal_sar_medio,alinhamento_tecnico_parcial,false,false,false,false,false,true,comparacao diagnostica somente revisao; score_v6 nao foi alterado e score_v7 nao foi criado
CUR_00992,0.413705,low,0.03710459691642486,sinal_sar_medio,divergencia_tecnica_para_revisao,false,false,false,false,false,true,comparacao diagnostica somente revisao; score_v6 nao foi alterado e score_v7 nao foi criado
CUR_00995,0.413272,low,0.031665133130139765,sinal_sar_medio,divergencia_tecnica_para_revisao,false,false,false,false,false,true,comparacao diagnostica somente revisao; score_v6 nao foi alterado e score_v7 nao foi criado
CUR_01012,0.651345,high,0.0346534829542423,sinal_sar_medio,alinhamento_tecnico_parcial,false,false,false,false,false,true,comparacao diagnostica somente revisao; score_v6 nao foi alterado e score_v7 nao foi criado
CUR_01015,0.61958,high,0.025661394680086273,sinal_sar_medio,alinhamento_tecnico_parcial,false,false,false,false,false,true,comparacao diagnostica somente revisao; score_v6 nao foi alterado e score_v7 nao foi criado
CUR_01030,0.46613,medium,0.04396299517672183,sinal_sar_medio,alinhamento_tecnico_parcial,false,false,false,false,false,true,comparacao diagnostica somente revisao; score_v6 nao foi alterado e score_v7 nao foi criado
CUR_01040,0.410074,low,0.03145097221573166,sinal_sar_medio,divergencia_tecnica_para_revisao,false,false,false,false,false,true,comparacao diagnostica somente revisao; score_v6 nao foi alterado e score_v7 nao foi criado
CUR_01050,0.669632,high,0.04634270408326607,sinal_sar_medio,alinhamento_tecnico_parcial,false,false,false,false,false,true,comparacao diagnostica somente revisao; score_v6 nao foi alterado e score_v7 nao foi criado
CUR_01059,0.25532,low,0.03081579162621321,sinal_sar_medio,divergencia_tecnica_para_revisao,false,false,false,false,false,true,comparacao diagnostica somente revisao; score_v6 nao foi alterado e score_v7 nao foi criado
CUR_01065,0.452768,medium,0.04255296206571831,sinal_sar_medio,alinhamento_tecnico_parcial,false,false,false,false,false,true,comparacao diagnostica somente revisao; score_v6 nao foi alterado e score_v7 nao foi criado
CUR_01075,0.452731,medium,0.021767197686701763,sinal_sar_medio,alinhamento_tecnico_parcial,false,false,false,false,false,true,comparacao diagnostica somente revisao; score_v6 nao foi alterado e score_v7 nao foi criado
CUR_01101,0.357789,low,0.04278732954424209,sinal_sar_medio,divergencia_tecnica_para_revisao,false,false,false,false,false,true,comparacao diagnostica somente revisao; score_v6 nao foi alterado e score_v7 nao foi criado
CUR_01145,0.52526,medium,0.04070431302801246,sinal_sar_medio,alinhamento_tecnico_parcial,false,false,false,false,false,true,comparacao diagnostica somente revisao; score_v6 nao foi alterado e score_v7 nao foi criado
CUR_01324,0.30924,low,0.03559024070831733,sinal_sar_medio,divergencia_tecnica_para_revisao,false,false,false,false,false,true,comparacao diagnostica somente revisao; score_v6 nao foi alterado e score_v7 nao foi criado
