path,marco,tipo,existe,versionavel_git,tamanho_bytes,sha256,descricao,incluir_no_commit
outputs_public/reports/SUSC_17C_STRONG_REFERENCE_ACQUISITION_CANARY_REPORT.md,SUSC-17C,md,true,true,5651,9e96ea92ed3602d13adaac2d71d577633559fdd4db2c62ff74d026d55a69051b,relatorio publico do SUSC-17C,true
outputs_public/data/susc_17c_strong_reference_acquisition_canary,SUSC-17C,diretorio,true,true,101430,not_available,pasta de saidas do SUSC-17C,true
outputs_public/reports/SUSC_17C5_GEOMETRY_TO_PATCH_LINKAGE_RESOLVER_REPORT.md,SUSC-17C5,md,true,true,3057,111045fe657129f2dd5a90565be322e744b5c6e6ff05cade1e4de9ef15356b48,relatorio publico do SUSC-17C5,true
outputs_public/data/susc_17c5_geometry_to_patch_linkage_resolver,SUSC-17C5,diretorio,true,true,80885,not_available,pasta de saidas do SUSC-17C5,true
outputs_public/reports/SUSC_17D_VALIDACAO_TECNICA_EVIDENCIA_OBSERVACIONAL.md,SUSC-17D,md,true,true,3159,aeaca31f341c41dfc10602d355c19bacda57eb684484a2e6537b5f76f3e12978,relatorio publico do SUSC-17D,true
outputs_public/data/susc_17d_validacao_tecnica_evidencia_observacional,SUSC-17D,diretorio,true,true,51454,not_available,pasta de saidas do SUSC-17D,true
outputs_public/reports/SUSC_17E_PRONTIDAO_CALIBRACAO_OBSERVACIONAL_EXPLORATORIA.md,SUSC-17E,md,true,true,7327,44219552abc1b90678b6f832060ecfdb762fee5afc82ed44a660480af6fe36fd,relatorio publico do SUSC-17E,true
outputs_public/data/susc_17e_prontidao_calibracao_observacional_exploratoria,SUSC-17E,diretorio,true,true,72754,not_available,pasta de saidas do SUSC-17E,true
outputs_public/reports/SUSC_17F_EXTRACAO_FISICA_TOPOGRAFICA_CANARIOS_OBSERVACIONAIS.md,SUSC-17F,md,true,true,5763,11dbe8519614ce8a05467b3815d8f731c8c8f47dc965bafba0f96fd4d62b20e5,relatorio publico do SUSC-17F,true
outputs_public/data/susc_17f_extracao_fisica_topografica_canarios_observacionais,SUSC-17F,diretorio,true,true,54297,not_available,pasta de saidas do SUSC-17F,true
