patch_id,regiao,cidade,CHIRPS_3d,CHIRPS_7d,CHIRPS_30d,runoff_context_7d,event_relative_window,fonte,temporalidade,status_familia,justificativa_tecnica
curitiba_00038,curitiba,Curitiba,0.000000,26.273066,129.916103,0.379793,nao_relativo_a_evento,datasets/suscetibilidade/susc_features_by_patch_v1.csv,composto de referencia 2022-12-31; nao e janela pre-evento especifica por ocorrencia,utilizavel_direto,features de chuva review-only; janela nao relativa a ocorrencia especifica
curitiba_00073,curitiba,Curitiba,0.000000,26.273066,129.916103,0.379793,nao_relativo_a_evento,datasets/suscetibilidade/susc_features_by_patch_v1.csv,composto de referencia 2022-12-31; nao e janela pre-evento especifica por ocorrencia,utilizavel_direto,features de chuva review-only; janela nao relativa a ocorrencia especifica
curitiba_00163,curitiba,Curitiba,0.000000,25.389734,124.731867,0.373214,nao_relativo_a_evento,datasets/suscetibilidade/susc_features_by_patch_v1.csv,composto de referencia 2022-12-31; nao e janela pre-evento especifica por ocorrencia,utilizavel_direto,features de chuva review-only; janela nao relativa a ocorrencia especifica
curitiba_00249,curitiba,Curitiba,0.000000,26.015808,112.185146,0.430830,nao_relativo_a_evento,datasets/suscetibilidade/susc_features_by_patch_v1.csv,composto de referencia 2022-12-31; nao e janela pre-evento especifica por ocorrencia,utilizavel_direto,features de chuva review-only; janela nao relativa a ocorrencia especifica
curitiba_00289,curitiba,Curitiba,0.000000,24.519060,120.247955,0.500962,nao_relativo_a_evento,datasets/suscetibilidade/susc_features_by_patch_v1.csv,composto de referencia 2022-12-31; nao e janela pre-evento especifica por ocorrencia,utilizavel_direto,features de chuva review-only; janela nao relativa a ocorrencia especifica
curitiba_00293,curitiba,Curitiba,0.000000,24.734850,122.650007,0.500962,nao_relativo_a_evento,datasets/suscetibilidade/susc_features_by_patch_v1.csv,composto de referencia 2022-12-31; nao e janela pre-evento especifica por ocorrencia,utilizavel_direto,features de chuva review-only; janela nao relativa a ocorrencia especifica
curitiba_00305,curitiba,Curitiba,0.000000,26.794821,126.337283,2.029575,nao_relativo_a_evento,datasets/suscetibilidade/susc_features_by_patch_v1.csv,composto de referencia 2022-12-31; nao e janela pre-evento especifica por ocorrencia,utilizavel_direto,features de chuva review-only; janela nao relativa a ocorrencia especifica
curitiba_00339,curitiba,Curitiba,0.000000,26.573648,125.727689,2.029575,nao_relativo_a_evento,datasets/suscetibilidade/susc_features_by_patch_v1.csv,composto de referencia 2022-12-31; nao e janela pre-evento especifica por ocorrencia,utilizavel_direto,features de chuva review-only; janela nao relativa a ocorrencia especifica
curitiba_00340,curitiba,Curitiba,0.000000,26.794821,126.337283,2.029575,nao_relativo_a_evento,datasets/suscetibilidade/susc_features_by_patch_v1.csv,composto de referencia 2022-12-31; nao e janela pre-evento especifica por ocorrencia,utilizavel_direto,features de chuva review-only; janela nao relativa a ocorrencia especifica
curitiba_00345,curitiba,Curitiba,0.000000,27.900715,134.125407,1.142643,nao_relativo_a_evento,datasets/suscetibilidade/susc_features_by_patch_v1.csv,composto de referencia 2022-12-31; nao e janela pre-evento especifica por ocorrencia,utilizavel_direto,features de chuva review-only; janela nao relativa a ocorrencia especifica
curitiba_00350,curitiba,Curitiba,0.000000,28.967836,141.030840,1.142643,nao_relativo_a_evento,datasets/suscetibilidade/susc_features_by_patch_v1.csv,composto de referencia 2022-12-31; nao e janela pre-evento especifica por ocorrencia,utilizavel_direto,features de chuva review-only; janela nao relativa a ocorrencia especifica
curitiba_00357,curitiba,Curitiba,0.000000,25.072857,117.264716,0.475013,nao_relativo_a_evento,datasets/suscetibilidade/susc_features_by_patch_v1.csv,composto de referencia 2022-12-31; nao e janela pre-evento especifica por ocorrencia,utilizavel_direto,features de chuva review-only; janela nao relativa a ocorrencia especifica
