patch_id,regiao,cidade,geometry_source,bbox,crs,tem_geometria_patch,tem_score_v6,tem_features_fisicas,tem_features_territoriais,tem_features_espectrais,tem_features_chuva,tem_evidencia_observacional,status_patch
curitiba_00038,curitiba,Curitiba,datasets/suscetibilidade/susc_features_by_patch_v1.csv,"-49.389374,-25.594953,-49.380391,-25.586851",EPSG:4326,true,true,true,parcial,true,true,false,patch_com_features_review_only
curitiba_00073,curitiba,Curitiba,datasets/suscetibilidade/susc_features_by_patch_v1.csv,"-49.389374,-25.586851,-49.380391,-25.578749",EPSG:4326,true,true,true,parcial,true,true,false,patch_com_features_review_only
curitiba_00163,curitiba,Curitiba,datasets/suscetibilidade/susc_features_by_patch_v1.csv,"-49.209711,-25.570646,-49.200728,-25.562542",EPSG:4326,true,true,true,parcial,true,true,false,patch_com_features_review_only
curitiba_00249,curitiba,Curitiba,datasets/suscetibilidade/susc_features_by_patch_v1.csv,"-49.380391,-25.546333,-49.371408,-25.538228",EPSG:4326,true,true,true,parcial,true,true,false,patch_com_features_review_only
curitiba_00289,curitiba,Curitiba,datasets/suscetibilidade/susc_features_by_patch_v1.csv,"-49.335475,-25.538228,-49.326492,-25.530122",EPSG:4326,true,true,true,parcial,true,true,false,patch_com_features_review_only
curitiba_00293,curitiba,Curitiba,datasets/suscetibilidade/susc_features_by_patch_v1.csv,"-49.299543,-25.538228,-49.290560,-25.530122",EPSG:4326,true,true,true,parcial,true,true,false,patch_com_features_review_only
curitiba_00305,curitiba,Curitiba,datasets/suscetibilidade/susc_features_by_patch_v1.csv,"-49.191745,-25.538228,-49.182762,-25.530122",EPSG:4326,true,true,true,parcial,true,true,false,patch_com_features_review_only
curitiba_00339,curitiba,Curitiba,datasets/suscetibilidade/susc_features_by_patch_v1.csv,"-49.200728,-25.530122,-49.191745,-25.522016",EPSG:4326,true,true,true,parcial,true,true,false,patch_com_features_review_only
curitiba_00340,curitiba,Curitiba,datasets/suscetibilidade/susc_features_by_patch_v1.csv,"-49.191745,-25.530122,-49.182762,-25.522016",EPSG:4326,true,true,true,parcial,true,true,false,patch_com_features_review_only
curitiba_00345,curitiba,Curitiba,datasets/suscetibilidade/susc_features_by_patch_v1.csv,"-49.146829,-25.530122,-49.137846,-25.522016",EPSG:4326,true,true,true,parcial,true,true,false,patch_com_features_review_only
curitiba_00350,curitiba,Curitiba,datasets/suscetibilidade/susc_features_by_patch_v1.csv,"-49.101913,-25.530122,-49.092930,-25.522016",EPSG:4326,true,true,true,parcial,true,true,false,patch_com_features_review_only
curitiba_00357,curitiba,Curitiba,datasets/suscetibilidade/susc_features_by_patch_v1.csv,"-49.353442,-25.522016,-49.344459,-25.513909",EPSG:4326,true,true,true,parcial,true,true,false,patch_com_features_review_only
curitiba_00365,curitiba,Curitiba,datasets/suscetibilidade/susc_features_by_patch_v1.csv,"-49.281576,-25.522016,-49.272593,-25.513909",EPSG:4326,true,true,true,parcial,true,true,false,patch_com_features_review_only
curitiba_00367,curitiba,Curitiba,datasets/suscetibilidade/susc_features_by_patch_v1.csv,"-49.263610,-25.522016,-49.254627,-25.513909",EPSG:4326,true,true,true,parcial,true,true,false,patch_com_features_review_only
curitiba_00374,curitiba,Curitiba,datasets/suscetibilidade/susc_features_by_patch_v1.csv,"-49.200728,-25.522016,-49.191745,-25.513909",EPSG:4326,true,true,true,parcial,true,true,false,patch_com_features_review_only
curitiba_00377,curitiba,Curitiba,datasets/suscetibilidade/susc_features_by_patch_v1.csv,"-49.173779,-25.522016,-49.164795,-25.513909",EPSG:4326,true,true,true,parcial,true,true,false,patch_com_features_review_only
curitiba_00392,curitiba,Curitiba,datasets/suscetibilidade/susc_features_by_patch_v1.csv,"-49.353442,-25.513909,-49.344459,-25.505802",EPSG:4326,true,true,true,parcial,true,true,false,patch_com_features_review_only
curitiba_00399,curitiba,Curitiba,datasets/suscetibilidade/susc_features_by_patch_v1.csv,"-49.290560,-25.513909,-49.281576,-25.505802",EPSG:4326,true,true,true,parcial,true,true,false,patch_com_features_review_only
curitiba_00402,curitiba,Curitiba,datasets/suscetibilidade/susc_features_by_patch_v1.csv,"-49.263610,-25.513909,-49.254627,-25.505802",EPSG:4326,true,true,true,parcial,true,true,false,patch_com_features_review_only
curitiba_00409,curitiba,Curitiba,datasets/suscetibilidade/susc_features_by_patch_v1.csv,"-49.200728,-25.513909,-49.191745,-25.505802",EPSG:4326,true,true,true,parcial,true,true,false,patch_com_features_review_only
curitiba_00410,curitiba,Curitiba,datasets/suscetibilidade/susc_features_by_patch_v1.csv,"-49.191745,-25.513909,-49.182762,-25.505802",EPSG:4326,true,true,true,parcial,true,true,false,patch_com_features_review_only
curitiba_00412,curitiba,Curitiba,datasets/suscetibilidade/susc_features_by_patch_v1.csv,"-49.173779,-25.513909,-49.164795,-25.505802",EPSG:4326,true,true,true,parcial,true,true,false,patch_com_features_review_only
curitiba_00413,curitiba,Curitiba,datasets/suscetibilidade/susc_features_by_patch_v1.csv,"-49.164795,-25.513909,-49.155812,-25.505802",EPSG:4326,true,true,true,parcial,true,true,false,patch_com_features_review_only
curitiba_00416,curitiba,Curitiba,datasets/suscetibilidade/susc_features_by_patch_v1.csv,"-49.137846,-25.513909,-49.128863,-25.505802",EPSG:4326,true,true,true,parcial,true,true,false,patch_com_features_review_only
curitiba_00436,curitiba,Curitiba,datasets/suscetibilidade/susc_features_by_patch_v1.csv,"-49.272593,-25.505802,-49.263610,-25.497694",EPSG:4326,true,true,true,parcial,true,true,false,patch_com_features_review_only
curitiba_00445,curitiba,Curitiba,datasets/suscetibilidade/susc_features_by_patch_v1.csv,"-49.191745,-25.505802,-49.182762,-25.497694",EPSG:4326,true,true,true,parcial,true,true,false,patch_com_features_review_only
curitiba_00446,curitiba,Curitiba,datasets/suscetibilidade/susc_features_by_patch_v1.csv,"-49.182762,-25.505802,-49.173779,-25.497694",EPSG:4326,true,true,true,parcial,true,true,false,patch_com_features_review_only
curitiba_00447,curitiba,Curitiba,datasets/suscetibilidade/susc_features_by_patch_v1.csv,"-49.173779,-25.505802,-49.164795,-25.497694",EPSG:4326,true,true,true,parcial,true,true,false,patch_com_features_review_only
curitiba_00451,curitiba,Curitiba,datasets/suscetibilidade/susc_features_by_patch_v1.csv,"-49.137846,-25.505802,-49.128863,-25.497694",EPSG:4326,true,true,true,parcial,true,true,false,patch_com_features_review_only
curitiba_00466,curitiba,Curitiba,datasets/suscetibilidade/susc_features_by_patch_v1.csv,"-49.317509,-25.497694,-49.308526,-25.489585",EPSG:4326,true,true,true,parcial,true,true,false,patch_com_features_review_only
curitiba_00469,curitiba,Curitiba,datasets/suscetibilidade/susc_features_by_patch_v1.csv,"-49.290560,-25.497694,-49.281576,-25.489585",EPSG:4326,true,true,true,parcial,true,true,false,patch_com_features_review_only
curitiba_00471,curitiba,Curitiba,datasets/suscetibilidade/susc_features_by_patch_v1.csv,"-49.272593,-25.497694,-49.263610,-25.489585",EPSG:4326,true,true,true,parcial,true,true,false,patch_com_features_review_only
curitiba_00531,curitiba,Curitiba,datasets/suscetibilidade/susc_features_by_patch_v1.csv,"-49.362425,-25.481476,-49.353442,-25.473367",EPSG:4326,true,true,true,parcial,true,true,false,patch_com_features_review_only
curitiba_00537,curitiba,Curitiba,datasets/suscetibilidade/susc_features_by_patch_v1.csv,"-49.308526,-25.481476,-49.299543,-25.473367",EPSG:4326,true,true,true,parcial,true,true,false,patch_com_features_review_only
curitiba_00566,curitiba,Curitiba,datasets/suscetibilidade/susc_features_by_patch_v1.csv,"-49.362425,-25.473367,-49.353442,-25.465256",EPSG:4326,true,true,true,parcial,true,true,false,patch_com_features_review_only
curitiba_00597,curitiba,Curitiba,datasets/suscetibilidade/susc_features_by_patch_v1.csv,"-49.398357,-25.465256,-49.389374,-25.457146",EPSG:4326,true,true,true,parcial,true,true,false,patch_com_features_review_only
curitiba_00612,curitiba,Curitiba,datasets/suscetibilidade/susc_features_by_patch_v1.csv,"-49.263610,-25.465256,-49.254627,-25.457146",EPSG:4326,true,true,true,parcial,true,true,false,patch_com_features_review_only
curitiba_00660,curitiba,Curitiba,datasets/suscetibilidade/susc_features_by_patch_v1.csv,"-49.146829,-25.457146,-49.137846,-25.449035",EPSG:4326,true,true,true,parcial,true,true,false,patch_com_features_review_only
curitiba_00661,curitiba,Curitiba,datasets/suscetibilidade/susc_features_by_patch_v1.csv,"-49.137846,-25.457146,-49.128863,-25.449035",EPSG:4326,true,true,true,parcial,true,true,false,patch_com_features_review_only
curitiba_00662,curitiba,Curitiba,datasets/suscetibilidade/susc_features_by_patch_v1.csv,"-49.128863,-25.457146,-49.119880,-25.449035",EPSG:4326,true,true,true,parcial,true,true,false,patch_com_features_review_only
curitiba_00693,curitiba,Curitiba,datasets/suscetibilidade/susc_features_by_patch_v1.csv,"-49.164795,-25.449035,-49.155812,-25.440923",EPSG:4326,true,true,true,parcial,true,true,false,patch_com_features_review_only
curitiba_00695,curitiba,Curitiba,datasets/suscetibilidade/susc_features_by_patch_v1.csv,"-49.146829,-25.449035,-49.137846,-25.440923",EPSG:4326,true,true,true,parcial,true,true,false,patch_com_features_review_only
curitiba_00699,curitiba,Curitiba,datasets/suscetibilidade/susc_features_by_patch_v1.csv,"-49.110897,-25.449035,-49.101913,-25.440923",EPSG:4326,true,true,true,parcial,true,true,false,patch_com_features_review_only
curitiba_00728,curitiba,Curitiba,datasets/suscetibilidade/susc_features_by_patch_v1.csv,"-49.164795,-25.440923,-49.155812,-25.432811",EPSG:4326,true,true,true,parcial,true,true,false,patch_com_features_review_only
