etapa,limite_metodologico,valor,status
v2fb,ground_truth_operational_status,ABSENT,PASS
v2fb,formal_labels_available,ABSENT,PASS
v2fb,formal_negatives_available,ABSENT,PASS
v2fb,training_ready,false,PASS
v2fb,supervised_model_allowed,false,PASS
v2fb,prediction_claim_allowed,false,PASS
v2fb,automatic_detection_claim_allowed,false,PASS
v2fb,operational_validation_claim_allowed,false,PASS
v2fb,negative_by_absence_allowed,false,PASS
v2fb,random_background_negative_allowed,false,PASS
v2fb,decision_locked,false,PASS
