gap_id,target_id,asset_id,patch_id,region,has_bbox,has_crs,has_temporal_window,has_event_date,has_export_date_hint,has_scene_id,required_for,blocking_reason,manual_recovery_action,priority
MV2_DATA_04_GAP_01,MV2_DATA_01_TGT_00092,e07eacbc8a366650,REC_00019,Recife,true,true,false,false,false,false,GEE_filterDate;STAC_datetime;OData_product_resolution,temporal_window_ausente_bloqueia_todo_probe_metadata,preencher_temporal_window_template_via_evento_ou_export_GEE,P0_HIGH_SENSOR_CONFIRMED_QUERY
MV2_DATA_04_GAP_02,MV2_DATA_01_TGT_00093,37c34f5a6f1e21e2,REC_00183,Recife,true,true,false,false,false,false,GEE_filterDate;STAC_datetime;OData_product_resolution,temporal_window_ausente_bloqueia_todo_probe_metadata,preencher_temporal_window_template_via_evento_ou_export_GEE,P0_HIGH_SENSOR_CONFIRMED_QUERY
MV2_DATA_04_GAP_03,MV2_DATA_01_TGT_00094,f7d34b2045dd441d,REC_00204,Recife,true,true,false,false,false,false,GEE_filterDate;STAC_datetime;OData_product_resolution,temporal_window_ausente_bloqueia_todo_probe_metadata,preencher_temporal_window_template_via_evento_ou_export_GEE,P0_HIGH_SENSOR_CONFIRMED_QUERY
MV2_DATA_04_GAP_04,MV2_DATA_01_TGT_00095,bc6e6d18b88e7293,REC_00205,Recife,true,true,false,false,false,false,GEE_filterDate;STAC_datetime;OData_product_resolution,temporal_window_ausente_bloqueia_todo_probe_metadata,preencher_temporal_window_template_via_evento_ou_export_GEE,P0_HIGH_SENSOR_CONFIRMED_QUERY
MV2_DATA_04_GAP_05,MV2_DATA_01_TGT_00096,7e4673aa5e1b50e0,REC_00227,Recife,true,true,false,false,false,false,GEE_filterDate;STAC_datetime;OData_product_resolution,temporal_window_ausente_bloqueia_todo_probe_metadata,preencher_temporal_window_template_via_evento_ou_export_GEE,P0_HIGH_SENSOR_CONFIRMED_QUERY
MV2_DATA_04_GAP_06,MV2_DATA_01_TGT_00044,19a5de5df7bd0cf8,PET_00016,Petropolis,true,true,false,false,false,false,GEE_filterDate;STAC_datetime;OData_product_resolution,temporal_window_ausente_bloqueia_todo_probe_metadata,preencher_temporal_window_template_via_evento_ou_export_GEE,P1_MEDIUM_LOCAL_CANDIDATE_REVIEW
MV2_DATA_04_GAP_07,MV2_DATA_01_TGT_00045,6641fb7c86ae0cbc,PET_00104,Petropolis,true,true,false,false,false,false,GEE_filterDate;STAC_datetime;OData_product_resolution,temporal_window_ausente_bloqueia_todo_probe_metadata,preencher_temporal_window_template_via_evento_ou_export_GEE,P1_MEDIUM_LOCAL_CANDIDATE_REVIEW
MV2_DATA_04_GAP_08,MV2_DATA_01_TGT_00046,b041e9a668bd0924,PET_00119,Petropolis,true,true,false,false,false,false,GEE_filterDate;STAC_datetime;OData_product_resolution,temporal_window_ausente_bloqueia_todo_probe_metadata,preencher_temporal_window_template_via_evento_ou_export_GEE,P1_MEDIUM_LOCAL_CANDIDATE_REVIEW
MV2_DATA_04_GAP_09,MV2_DATA_01_TGT_00047,0e48288ff44594e1,PET_00140,Petropolis,true,true,false,false,false,false,GEE_filterDate;STAC_datetime;OData_product_resolution,temporal_window_ausente_bloqueia_todo_probe_metadata,preencher_temporal_window_template_via_evento_ou_export_GEE,P1_MEDIUM_LOCAL_CANDIDATE_REVIEW
MV2_DATA_04_GAP_10,MV2_DATA_01_TGT_00048,97982ae9e9aa55b2,PET_00240,Petropolis,true,true,false,false,false,false,GEE_filterDate;STAC_datetime;OData_product_resolution,temporal_window_ausente_bloqueia_todo_probe_metadata,preencher_temporal_window_template_via_evento_ou_export_GEE,P1_MEDIUM_LOCAL_CANDIDATE_REVIEW
MV2_DATA_04_GAP_11,MV2_DATA_01_TGT_00001,92505e20b69dd028,CUR_00038,Curitiba,true,true,false,false,false,false,GEE_filterDate;STAC_datetime;OData_product_resolution,temporal_window_ausente_bloqueia_todo_probe_metadata,preencher_temporal_window_template_via_evento_ou_export_GEE,P2_LOW_NO_LOCAL_SCENE_QUERY
MV2_DATA_04_GAP_12,MV2_DATA_01_TGT_00002,a876d490e5812896,CUR_00249,Curitiba,true,true,false,false,false,false,GEE_filterDate;STAC_datetime;OData_product_resolution,temporal_window_ausente_bloqueia_todo_probe_metadata,preencher_temporal_window_template_via_evento_ou_export_GEE,P2_LOW_NO_LOCAL_SCENE_QUERY
MV2_DATA_04_GAP_13,MV2_DATA_01_TGT_00003,c61f82fb1021cbfb,CUR_00350,Curitiba,true,true,false,false,false,false,GEE_filterDate;STAC_datetime;OData_product_resolution,temporal_window_ausente_bloqueia_todo_probe_metadata,preencher_temporal_window_template_via_evento_ou_export_GEE,P2_LOW_NO_LOCAL_SCENE_QUERY
MV2_DATA_04_GAP_14,MV2_DATA_01_TGT_00004,31f6daa6af24b8c6,CUR_00357,Curitiba,true,true,false,false,false,false,GEE_filterDate;STAC_datetime;OData_product_resolution,temporal_window_ausente_bloqueia_todo_probe_metadata,preencher_temporal_window_template_via_evento_ou_export_GEE,P2_LOW_NO_LOCAL_SCENE_QUERY
MV2_DATA_04_GAP_15,MV2_DATA_01_TGT_00005,f3fa8cabe2db7f58,CUR_00367,Curitiba,true,true,false,false,false,false,GEE_filterDate;STAC_datetime;OData_product_resolution,temporal_window_ausente_bloqueia_todo_probe_metadata,preencher_temporal_window_template_via_evento_ou_export_GEE,P2_LOW_NO_LOCAL_SCENE_QUERY
