query_id,target_id,provider,endpoint_type,collection,bbox_or_intersects_source,datetime_or_range,query_payload_or_filter,expected_metadata_fields,would_execute_http,would_download,execution_status,reason_not_executed,next_action
MV2_DATA_01_SQ_00001,MV2_DATA_01_TGT_00001,CDSE_STAC,STAC_ITEM_SEARCH,COPERNICUS/S2_SR_HARMONIZED,patch_bbox_reprojected_to_WGS84,2015-06-23/2024-12-31,"POST /search com {collections, bbox(WGS84), datetime, limit}; campos em properties",PRODUCT_ID|MGRS_TILE|system:time_start|CLOUDY_PIXEL_PERCENTAGE|CLOUD_COVERAGE_ASSESSMENT|NODATA_PIXEL_PERCENTAGE|DATATAKE_IDENTIFIER|GENERATION_TIME|SPACECRAFT_NAME,false,false,NOT_EXECUTED_PLAN_ONLY,marco_metadata_only;sem_HTTP_real_ate_lineage_revisado,executar_consulta_metadata_only_em_revisao_humana_apos_recuperar_scene_id
MV2_DATA_01_SQ_00002,MV2_DATA_01_TGT_00001,CDSE_ODATA,ODATA_PRODUCTS_FILTER,COPERNICUS/S2_SR_HARMONIZED,patch_bbox_reprojected_to_WGS84,2015-06-23/2024-12-31,$filter=Collection eq 'SENTINEL-2' and OData.CSC.Intersects(area=geography'..') and ContentDate/Start ge .. and ContentDate/Start le ..,PRODUCT_ID|MGRS_TILE|system:time_start|CLOUDY_PIXEL_PERCENTAGE|CLOUD_COVERAGE_ASSESSMENT|NODATA_PIXEL_PERCENTAGE|DATATAKE_IDENTIFIER|GENERATION_TIME|SPACECRAFT_NAME,false,false,NOT_EXECUTED_PLAN_ONLY,marco_metadata_only;sem_HTTP_real_ate_lineage_revisado,executar_consulta_metadata_only_em_revisao_humana_apos_recuperar_scene_id
MV2_DATA_01_SQ_00003,MV2_DATA_01_TGT_00001,GEE_METADATA,EE_IMAGECOLLECTION_FILTER_METADATA_ONLY,COPERNICUS/S2_SR_HARMONIZED,patch_bbox_reprojected_to_WGS84,2015-06-23/2024-12-31,"ImageCollection(collection).filterBounds(aoi).filterDate(start,end).aggregate_array(property)  // sem getDownloadURL/Export",PRODUCT_ID|MGRS_TILE|system:time_start|CLOUDY_PIXEL_PERCENTAGE|CLOUD_COVERAGE_ASSESSMENT|NODATA_PIXEL_PERCENTAGE|DATATAKE_IDENTIFIER|GENERATION_TIME|SPACECRAFT_NAME,false,false,NOT_EXECUTED_PLAN_ONLY,marco_metadata_only;sem_HTTP_real_ate_lineage_revisado,executar_consulta_metadata_only_em_revisao_humana_apos_recuperar_scene_id
MV2_DATA_01_SQ_00004,MV2_DATA_01_TGT_00002,CDSE_STAC,STAC_ITEM_SEARCH,COPERNICUS/S2_SR_HARMONIZED,patch_bbox_reprojected_to_WGS84,2015-06-23/2024-12-31,"POST /search com {collections, bbox(WGS84), datetime, limit}; campos em properties",PRODUCT_ID|MGRS_TILE|system:time_start|CLOUDY_PIXEL_PERCENTAGE|CLOUD_COVERAGE_ASSESSMENT|NODATA_PIXEL_PERCENTAGE|DATATAKE_IDENTIFIER|GENERATION_TIME|SPACECRAFT_NAME,false,false,NOT_EXECUTED_PLAN_ONLY,marco_metadata_only;sem_HTTP_real_ate_lineage_revisado,executar_consulta_metadata_only_em_revisao_humana_apos_recuperar_scene_id
MV2_DATA_01_SQ_00005,MV2_DATA_01_TGT_00002,CDSE_ODATA,ODATA_PRODUCTS_FILTER,COPERNICUS/S2_SR_HARMONIZED,patch_bbox_reprojected_to_WGS84,2015-06-23/2024-12-31,$filter=Collection eq 'SENTINEL-2' and OData.CSC.Intersects(area=geography'..') and ContentDate/Start ge .. and ContentDate/Start le ..,PRODUCT_ID|MGRS_TILE|system:time_start|CLOUDY_PIXEL_PERCENTAGE|CLOUD_COVERAGE_ASSESSMENT|NODATA_PIXEL_PERCENTAGE|DATATAKE_IDENTIFIER|GENERATION_TIME|SPACECRAFT_NAME,false,false,NOT_EXECUTED_PLAN_ONLY,marco_metadata_only;sem_HTTP_real_ate_lineage_revisado,executar_consulta_metadata_only_em_revisao_humana_apos_recuperar_scene_id
MV2_DATA_01_SQ_00006,MV2_DATA_01_TGT_00002,GEE_METADATA,EE_IMAGECOLLECTION_FILTER_METADATA_ONLY,COPERNICUS/S2_SR_HARMONIZED,patch_bbox_reprojected_to_WGS84,2015-06-23/2024-12-31,"ImageCollection(collection).filterBounds(aoi).filterDate(start,end).aggregate_array(property)  // sem getDownloadURL/Export",PRODUCT_ID|MGRS_TILE|system:time_start|CLOUDY_PIXEL_PERCENTAGE|CLOUD_COVERAGE_ASSESSMENT|NODATA_PIXEL_PERCENTAGE|DATATAKE_IDENTIFIER|GENERATION_TIME|SPACECRAFT_NAME,false,false,NOT_EXECUTED_PLAN_ONLY,marco_metadata_only;sem_HTTP_real_ate_lineage_revisado,executar_consulta_metadata_only_em_revisao_humana_apos_recuperar_scene_id
MV2_DATA_01_SQ_00007,MV2_DATA_01_TGT_00003,CDSE_STAC,STAC_ITEM_SEARCH,COPERNICUS/S2_SR_HARMONIZED,patch_bbox_reprojected_to_WGS84,2015-06-23/2024-12-31,"POST /search com {collections, bbox(WGS84), datetime, limit}; campos em properties",PRODUCT_ID|MGRS_TILE|system:time_start|CLOUDY_PIXEL_PERCENTAGE|CLOUD_COVERAGE_ASSESSMENT|NODATA_PIXEL_PERCENTAGE|DATATAKE_IDENTIFIER|GENERATION_TIME|SPACECRAFT_NAME,false,false,NOT_EXECUTED_PLAN_ONLY,marco_metadata_only;sem_HTTP_real_ate_lineage_revisado,executar_consulta_metadata_only_em_revisao_humana_apos_recuperar_scene_id
MV2_DATA_01_SQ_00008,MV2_DATA_01_TGT_00003,CDSE_ODATA,ODATA_PRODUCTS_FILTER,COPERNICUS/S2_SR_HARMONIZED,patch_bbox_reprojected_to_WGS84,2015-06-23/2024-12-31,$filter=Collection eq 'SENTINEL-2' and OData.CSC.Intersects(area=geography'..') and ContentDate/Start ge .. and ContentDate/Start le ..,PRODUCT_ID|MGRS_TILE|system:time_start|CLOUDY_PIXEL_PERCENTAGE|CLOUD_COVERAGE_ASSESSMENT|NODATA_PIXEL_PERCENTAGE|DATATAKE_IDENTIFIER|GENERATION_TIME|SPACECRAFT_NAME,false,false,NOT_EXECUTED_PLAN_ONLY,marco_metadata_only;sem_HTTP_real_ate_lineage_revisado,executar_consulta_metadata_only_em_revisao_humana_apos_recuperar_scene_id
MV2_DATA_01_SQ_00009,MV2_DATA_01_TGT_00003,GEE_METADATA,EE_IMAGECOLLECTION_FILTER_METADATA_ONLY,COPERNICUS/S2_SR_HARMONIZED,patch_bbox_reprojected_to_WGS84,2015-06-23/2024-12-31,"ImageCollection(collection).filterBounds(aoi).filterDate(start,end).aggregate_array(property)  // sem getDownloadURL/Export",PRODUCT_ID|MGRS_TILE|system:time_start|CLOUDY_PIXEL_PERCENTAGE|CLOUD_COVERAGE_ASSESSMENT|NODATA_PIXEL_PERCENTAGE|DATATAKE_IDENTIFIER|GENERATION_TIME|SPACECRAFT_NAME,false,false,NOT_EXECUTED_PLAN_ONLY,marco_metadata_only;sem_HTTP_real_ate_lineage_revisado,executar_consulta_metadata_only_em_revisao_humana_apos_recuperar_scene_id
MV2_DATA_01_SQ_00010,MV2_DATA_01_TGT_00004,CDSE_STAC,STAC_ITEM_SEARCH,COPERNICUS/S2_SR_HARMONIZED,patch_bbox_reprojected_to_WGS84,2015-06-23/2024-12-31,"POST /search com {collections, bbox(WGS84), datetime, limit}; campos em properties",PRODUCT_ID|MGRS_TILE|system:time_start|CLOUDY_PIXEL_PERCENTAGE|CLOUD_COVERAGE_ASSESSMENT|NODATA_PIXEL_PERCENTAGE|DATATAKE_IDENTIFIER|GENERATION_TIME|SPACECRAFT_NAME,false,false,NOT_EXECUTED_PLAN_ONLY,marco_metadata_only;sem_HTTP_real_ate_lineage_revisado,executar_consulta_metadata_only_em_revisao_humana_apos_recuperar_scene_id
MV2_DATA_01_SQ_00011,MV2_DATA_01_TGT_00004,CDSE_ODATA,ODATA_PRODUCTS_FILTER,COPERNICUS/S2_SR_HARMONIZED,patch_bbox_reprojected_to_WGS84,2015-06-23/2024-12-31,$filter=Collection eq 'SENTINEL-2' and OData.CSC.Intersects(area=geography'..') and ContentDate/Start ge .. and ContentDate/Start le ..,PRODUCT_ID|MGRS_TILE|system:time_start|CLOUDY_PIXEL_PERCENTAGE|CLOUD_COVERAGE_ASSESSMENT|NODATA_PIXEL_PERCENTAGE|DATATAKE_IDENTIFIER|GENERATION_TIME|SPACECRAFT_NAME,false,false,NOT_EXECUTED_PLAN_ONLY,marco_metadata_only;sem_HTTP_real_ate_lineage_revisado,executar_consulta_metadata_only_em_revisao_humana_apos_recuperar_scene_id
MV2_DATA_01_SQ_00012,MV2_DATA_01_TGT_00004,GEE_METADATA,EE_IMAGECOLLECTION_FILTER_METADATA_ONLY,COPERNICUS/S2_SR_HARMONIZED,patch_bbox_reprojected_to_WGS84,2015-06-23/2024-12-31,"ImageCollection(collection).filterBounds(aoi).filterDate(start,end).aggregate_array(property)  // sem getDownloadURL/Export",PRODUCT_ID|MGRS_TILE|system:time_start|CLOUDY_PIXEL_PERCENTAGE|CLOUD_COVERAGE_ASSESSMENT|NODATA_PIXEL_PERCENTAGE|DATATAKE_IDENTIFIER|GENERATION_TIME|SPACECRAFT_NAME,false,false,NOT_EXECUTED_PLAN_ONLY,marco_metadata_only;sem_HTTP_real_ate_lineage_revisado,executar_consulta_metadata_only_em_revisao_humana_apos_recuperar_scene_id
MV2_DATA_01_SQ_00013,MV2_DATA_01_TGT_00005,CDSE_STAC,STAC_ITEM_SEARCH,COPERNICUS/S2_SR_HARMONIZED,patch_bbox_reprojected_to_WGS84,2015-06-23/2024-12-31,"POST /search com {collections, bbox(WGS84), datetime, limit}; campos em properties",PRODUCT_ID|MGRS_TILE|system:time_start|CLOUDY_PIXEL_PERCENTAGE|CLOUD_COVERAGE_ASSESSMENT|NODATA_PIXEL_PERCENTAGE|DATATAKE_IDENTIFIER|GENERATION_TIME|SPACECRAFT_NAME,false,false,NOT_EXECUTED_PLAN_ONLY,marco_metadata_only;sem_HTTP_real_ate_lineage_revisado,executar_consulta_metadata_only_em_revisao_humana_apos_recuperar_scene_id
MV2_DATA_01_SQ_00014,MV2_DATA_01_TGT_00005,CDSE_ODATA,ODATA_PRODUCTS_FILTER,COPERNICUS/S2_SR_HARMONIZED,patch_bbox_reprojected_to_WGS84,2015-06-23/2024-12-31,$filter=Collection eq 'SENTINEL-2' and OData.CSC.Intersects(area=geography'..') and ContentDate/Start ge .. and ContentDate/Start le ..,PRODUCT_ID|MGRS_TILE|system:time_start|CLOUDY_PIXEL_PERCENTAGE|CLOUD_COVERAGE_ASSESSMENT|NODATA_PIXEL_PERCENTAGE|DATATAKE_IDENTIFIER|GENERATION_TIME|SPACECRAFT_NAME,false,false,NOT_EXECUTED_PLAN_ONLY,marco_metadata_only;sem_HTTP_real_ate_lineage_revisado,executar_consulta_metadata_only_em_revisao_humana_apos_recuperar_scene_id
MV2_DATA_01_SQ_00015,MV2_DATA_01_TGT_00005,GEE_METADATA,EE_IMAGECOLLECTION_FILTER_METADATA_ONLY,COPERNICUS/S2_SR_HARMONIZED,patch_bbox_reprojected_to_WGS84,2015-06-23/2024-12-31,"ImageCollection(collection).filterBounds(aoi).filterDate(start,end).aggregate_array(property)  // sem getDownloadURL/Export",PRODUCT_ID|MGRS_TILE|system:time_start|CLOUDY_PIXEL_PERCENTAGE|CLOUD_COVERAGE_ASSESSMENT|NODATA_PIXEL_PERCENTAGE|DATATAKE_IDENTIFIER|GENERATION_TIME|SPACECRAFT_NAME,false,false,NOT_EXECUTED_PLAN_ONLY,marco_metadata_only;sem_HTTP_real_ate_lineage_revisado,executar_consulta_metadata_only_em_revisao_humana_apos_recuperar_scene_id
MV2_DATA_01_SQ_00016,MV2_DATA_01_TGT_00006,CDSE_STAC,STAC_ITEM_SEARCH,COPERNICUS/S2_SR_HARMONIZED,patch_bbox_reprojected_to_WGS84,2015-06-23/2024-12-31,"POST /search com {collections, bbox(WGS84), datetime, limit}; campos em properties",PRODUCT_ID|MGRS_TILE|system:time_start|CLOUDY_PIXEL_PERCENTAGE|CLOUD_COVERAGE_ASSESSMENT|NODATA_PIXEL_PERCENTAGE|DATATAKE_IDENTIFIER|GENERATION_TIME|SPACECRAFT_NAME,false,false,NOT_EXECUTED_PLAN_ONLY,marco_metadata_only;sem_HTTP_real_ate_lineage_revisado,executar_consulta_metadata_only_em_revisao_humana_apos_recuperar_scene_id
MV2_DATA_01_SQ_00017,MV2_DATA_01_TGT_00006,CDSE_ODATA,ODATA_PRODUCTS_FILTER,COPERNICUS/S2_SR_HARMONIZED,patch_bbox_reprojected_to_WGS84,2015-06-23/2024-12-31,$filter=Collection eq 'SENTINEL-2' and OData.CSC.Intersects(area=geography'..') and ContentDate/Start ge .. and ContentDate/Start le ..,PRODUCT_ID|MGRS_TILE|system:time_start|CLOUDY_PIXEL_PERCENTAGE|CLOUD_COVERAGE_ASSESSMENT|NODATA_PIXEL_PERCENTAGE|DATATAKE_IDENTIFIER|GENERATION_TIME|SPACECRAFT_NAME,false,false,NOT_EXECUTED_PLAN_ONLY,marco_metadata_only;sem_HTTP_real_ate_lineage_revisado,executar_consulta_metadata_only_em_revisao_humana_apos_recuperar_scene_id
MV2_DATA_01_SQ_00018,MV2_DATA_01_TGT_00006,GEE_METADATA,EE_IMAGECOLLECTION_FILTER_METADATA_ONLY,COPERNICUS/S2_SR_HARMONIZED,patch_bbox_reprojected_to_WGS84,2015-06-23/2024-12-31,"ImageCollection(collection).filterBounds(aoi).filterDate(start,end).aggregate_array(property)  // sem getDownloadURL/Export",PRODUCT_ID|MGRS_TILE|system:time_start|CLOUDY_PIXEL_PERCENTAGE|CLOUD_COVERAGE_ASSESSMENT|NODATA_PIXEL_PERCENTAGE|DATATAKE_IDENTIFIER|GENERATION_TIME|SPACECRAFT_NAME,false,false,NOT_EXECUTED_PLAN_ONLY,marco_metadata_only;sem_HTTP_real_ate_lineage_revisado,executar_consulta_metadata_only_em_revisao_humana_apos_recuperar_scene_id
MV2_DATA_01_SQ_00019,MV2_DATA_01_TGT_00007,CDSE_STAC,STAC_ITEM_SEARCH,COPERNICUS/S2_SR_HARMONIZED,patch_bbox_reprojected_to_WGS84,2015-06-23/2024-12-31,"POST /search com {collections, bbox(WGS84), datetime, limit}; campos em properties",PRODUCT_ID|MGRS_TILE|system:time_start|CLOUDY_PIXEL_PERCENTAGE|CLOUD_COVERAGE_ASSESSMENT|NODATA_PIXEL_PERCENTAGE|DATATAKE_IDENTIFIER|GENERATION_TIME|SPACECRAFT_NAME,false,false,NOT_EXECUTED_PLAN_ONLY,marco_metadata_only;sem_HTTP_real_ate_lineage_revisado,executar_consulta_metadata_only_em_revisao_humana_apos_recuperar_scene_id
MV2_DATA_01_SQ_00020,MV2_DATA_01_TGT_00007,CDSE_ODATA,ODATA_PRODUCTS_FILTER,COPERNICUS/S2_SR_HARMONIZED,patch_bbox_reprojected_to_WGS84,2015-06-23/2024-12-31,$filter=Collection eq 'SENTINEL-2' and OData.CSC.Intersects(area=geography'..') and ContentDate/Start ge .. and ContentDate/Start le ..,PRODUCT_ID|MGRS_TILE|system:time_start|CLOUDY_PIXEL_PERCENTAGE|CLOUD_COVERAGE_ASSESSMENT|NODATA_PIXEL_PERCENTAGE|DATATAKE_IDENTIFIER|GENERATION_TIME|SPACECRAFT_NAME,false,false,NOT_EXECUTED_PLAN_ONLY,marco_metadata_only;sem_HTTP_real_ate_lineage_revisado,executar_consulta_metadata_only_em_revisao_humana_apos_recuperar_scene_id
MV2_DATA_01_SQ_00021,MV2_DATA_01_TGT_00007,GEE_METADATA,EE_IMAGECOLLECTION_FILTER_METADATA_ONLY,COPERNICUS/S2_SR_HARMONIZED,patch_bbox_reprojected_to_WGS84,2015-06-23/2024-12-31,"ImageCollection(collection).filterBounds(aoi).filterDate(start,end).aggregate_array(property)  // sem getDownloadURL/Export",PRODUCT_ID|MGRS_TILE|system:time_start|CLOUDY_PIXEL_PERCENTAGE|CLOUD_COVERAGE_ASSESSMENT|NODATA_PIXEL_PERCENTAGE|DATATAKE_IDENTIFIER|GENERATION_TIME|SPACECRAFT_NAME,false,false,NOT_EXECUTED_PLAN_ONLY,marco_metadata_only;sem_HTTP_real_ate_lineage_revisado,executar_consulta_metadata_only_em_revisao_humana_apos_recuperar_scene_id
MV2_DATA_01_SQ_00022,MV2_DATA_01_TGT_00008,CDSE_STAC,STAC_ITEM_SEARCH,COPERNICUS/S2_SR_HARMONIZED,patch_bbox_reprojected_to_WGS84,2015-06-23/2024-12-31,"POST /search com {collections, bbox(WGS84), datetime, limit}; campos em properties",PRODUCT_ID|MGRS_TILE|system:time_start|CLOUDY_PIXEL_PERCENTAGE|CLOUD_COVERAGE_ASSESSMENT|NODATA_PIXEL_PERCENTAGE|DATATAKE_IDENTIFIER|GENERATION_TIME|SPACECRAFT_NAME,false,false,NOT_EXECUTED_PLAN_ONLY,marco_metadata_only;sem_HTTP_real_ate_lineage_revisado,executar_consulta_metadata_only_em_revisao_humana_apos_recuperar_scene_id
MV2_DATA_01_SQ_00023,MV2_DATA_01_TGT_00008,CDSE_ODATA,ODATA_PRODUCTS_FILTER,COPERNICUS/S2_SR_HARMONIZED,patch_bbox_reprojected_to_WGS84,2015-06-23/2024-12-31,$filter=Collection eq 'SENTINEL-2' and OData.CSC.Intersects(area=geography'..') and ContentDate/Start ge .. and ContentDate/Start le ..,PRODUCT_ID|MGRS_TILE|system:time_start|CLOUDY_PIXEL_PERCENTAGE|CLOUD_COVERAGE_ASSESSMENT|NODATA_PIXEL_PERCENTAGE|DATATAKE_IDENTIFIER|GENERATION_TIME|SPACECRAFT_NAME,false,false,NOT_EXECUTED_PLAN_ONLY,marco_metadata_only;sem_HTTP_real_ate_lineage_revisado,executar_consulta_metadata_only_em_revisao_humana_apos_recuperar_scene_id
