target_rank,patch_id,asset_id,city,bbox,crs,temporal_window_start,temporal_window_end,temporal_window_source,source_ref,source_type,evidence_strength,review_status,reviewer_notes,blocked_reason
1,REC_00019,e07eacbc8a366650,,,,,,,,,,PENDING_HUMAN_FILL,,BLOCKED_NO_FILLED_TEMPLATE
2,REC_00183,37c34f5a6f1e21e2,,,,,,,,,,PENDING_HUMAN_FILL,,BLOCKED_NO_FILLED_TEMPLATE
3,REC_00204,f7d34b2045dd441d,,,,,,,,,,PENDING_HUMAN_FILL,,BLOCKED_NO_FILLED_TEMPLATE
4,REC_00205,bc6e6d18b88e7293,,,,,,,,,,PENDING_HUMAN_FILL,,BLOCKED_NO_FILLED_TEMPLATE
5,REC_00227,7e4673aa5e1b50e0,,,,,,,,,,PENDING_HUMAN_FILL,,BLOCKED_NO_FILLED_TEMPLATE
6,PET_00016,19a5de5df7bd0cf8,,,,,,,,,,PENDING_HUMAN_FILL,,BLOCKED_NO_FILLED_TEMPLATE
7,PET_00104,6641fb7c86ae0cbc,,,,,,,,,,PENDING_HUMAN_FILL,,BLOCKED_NO_FILLED_TEMPLATE
8,PET_00119,b041e9a668bd0924,,,,,,,,,,PENDING_HUMAN_FILL,,BLOCKED_NO_FILLED_TEMPLATE
9,PET_00140,0e48288ff44594e1,,,,,,,,,,PENDING_HUMAN_FILL,,BLOCKED_NO_FILLED_TEMPLATE
10,PET_00240,97982ae9e9aa55b2,,,,,,,,,,PENDING_HUMAN_FILL,,BLOCKED_NO_FILLED_TEMPLATE
