promotion_id,target_id,asset_id,patch_id,region,temporal_window_start,temporal_window_end,temporal_window_source,source_ref,review_status,promotion_status,can_enable_gee_metadata_probe,can_enable_stac_metadata_probe,can_enable_odata_probe,can_unlock_day10_now,blocking_reason,next_action
MV2_DATA_05_PROM_001,MV2_DATA_01_TGT_00092,e07eacbc8a366650,REC_00019,Recife,,,,,PENDING_HUMAN_FILL,TEMPORAL_WINDOW_BLOCKED_EMPTY,false,false,false,false,janela_vazia_sem_evidencia,preencher_janela_temporal_com_evidencia_no_correction_template
MV2_DATA_05_PROM_002,MV2_DATA_01_TGT_00093,37c34f5a6f1e21e2,REC_00183,Recife,,,,,PENDING_HUMAN_FILL,TEMPORAL_WINDOW_BLOCKED_EMPTY,false,false,false,false,janela_vazia_sem_evidencia,preencher_janela_temporal_com_evidencia_no_correction_template
MV2_DATA_05_PROM_003,MV2_DATA_01_TGT_00094,f7d34b2045dd441d,REC_00204,Recife,,,,,PENDING_HUMAN_FILL,TEMPORAL_WINDOW_BLOCKED_EMPTY,false,false,false,false,janela_vazia_sem_evidencia,preencher_janela_temporal_com_evidencia_no_correction_template
MV2_DATA_05_PROM_004,MV2_DATA_01_TGT_00095,bc6e6d18b88e7293,REC_00205,Recife,,,,,PENDING_HUMAN_FILL,TEMPORAL_WINDOW_BLOCKED_EMPTY,false,false,false,false,janela_vazia_sem_evidencia,preencher_janela_temporal_com_evidencia_no_correction_template
MV2_DATA_05_PROM_005,MV2_DATA_01_TGT_00096,7e4673aa5e1b50e0,REC_00227,Recife,,,,,PENDING_HUMAN_FILL,TEMPORAL_WINDOW_BLOCKED_EMPTY,false,false,false,false,janela_vazia_sem_evidencia,preencher_janela_temporal_com_evidencia_no_correction_template
MV2_DATA_05_PROM_006,MV2_DATA_01_TGT_00044,19a5de5df7bd0cf8,PET_00016,Petropolis,,,,,PENDING_HUMAN_FILL,TEMPORAL_WINDOW_BLOCKED_EMPTY,false,false,false,false,janela_vazia_sem_evidencia,preencher_janela_temporal_com_evidencia_no_correction_template
MV2_DATA_05_PROM_007,MV2_DATA_01_TGT_00045,6641fb7c86ae0cbc,PET_00104,Petropolis,,,,,PENDING_HUMAN_FILL,TEMPORAL_WINDOW_BLOCKED_EMPTY,false,false,false,false,janela_vazia_sem_evidencia,preencher_janela_temporal_com_evidencia_no_correction_template
MV2_DATA_05_PROM_008,MV2_DATA_01_TGT_00046,b041e9a668bd0924,PET_00119,Petropolis,,,,,PENDING_HUMAN_FILL,TEMPORAL_WINDOW_BLOCKED_EMPTY,false,false,false,false,janela_vazia_sem_evidencia,preencher_janela_temporal_com_evidencia_no_correction_template
MV2_DATA_05_PROM_009,MV2_DATA_01_TGT_00047,0e48288ff44594e1,PET_00140,Petropolis,,,,,PENDING_HUMAN_FILL,TEMPORAL_WINDOW_BLOCKED_EMPTY,false,false,false,false,janela_vazia_sem_evidencia,preencher_janela_temporal_com_evidencia_no_correction_template
MV2_DATA_05_PROM_010,MV2_DATA_01_TGT_00048,97982ae9e9aa55b2,PET_00240,Petropolis,,,,,PENDING_HUMAN_FILL,TEMPORAL_WINDOW_BLOCKED_EMPTY,false,false,false,false,janela_vazia_sem_evidencia,preencher_janela_temporal_com_evidencia_no_correction_template
MV2_DATA_05_PROM_011,MV2_DATA_01_TGT_00001,92505e20b69dd028,CUR_00038,Curitiba,,,,,PENDING_HUMAN_FILL,TEMPORAL_WINDOW_BLOCKED_EMPTY,false,false,false,false,janela_vazia_sem_evidencia,preencher_janela_temporal_com_evidencia_no_correction_template
MV2_DATA_05_PROM_012,MV2_DATA_01_TGT_00002,a876d490e5812896,CUR_00249,Curitiba,,,,,PENDING_HUMAN_FILL,TEMPORAL_WINDOW_BLOCKED_EMPTY,false,false,false,false,janela_vazia_sem_evidencia,preencher_janela_temporal_com_evidencia_no_correction_template
MV2_DATA_05_PROM_013,MV2_DATA_01_TGT_00003,c61f82fb1021cbfb,CUR_00350,Curitiba,,,,,PENDING_HUMAN_FILL,TEMPORAL_WINDOW_BLOCKED_EMPTY,false,false,false,false,janela_vazia_sem_evidencia,preencher_janela_temporal_com_evidencia_no_correction_template
MV2_DATA_05_PROM_014,MV2_DATA_01_TGT_00004,31f6daa6af24b8c6,CUR_00357,Curitiba,,,,,PENDING_HUMAN_FILL,TEMPORAL_WINDOW_BLOCKED_EMPTY,false,false,false,false,janela_vazia_sem_evidencia,preencher_janela_temporal_com_evidencia_no_correction_template
MV2_DATA_05_PROM_015,MV2_DATA_01_TGT_00005,f3fa8cabe2db7f58,CUR_00367,Curitiba,,,,,PENDING_HUMAN_FILL,TEMPORAL_WINDOW_BLOCKED_EMPTY,false,false,false,false,janela_vazia_sem_evidencia,preencher_janela_temporal_com_evidencia_no_correction_template
