candidate_id,source_id,source_path_or_ref,candidate_type,raw_value,normalized_value,inferred_sensor,inferred_tile,inferred_datetime,inferred_cloud_cover,inferred_asset_id,inferred_patch_id,inferred_region,extraction_method,extraction_confidence,evidence_snippet,notes
MV2_14_CAND_00001,MV2_14_SRC_0001,local_runs/protocolo_c/v1in/v1in_temporal_expression_candidates.csv,scene_id,20220118T130239_20220118T130322_T23KPR,20220118T130239_20220118T130322_T23KPR,S2_MSI,,,,,,,text_regex,LOW,scene_id_in_text,candidato textual; nunca vira verdade sem fonte estruturada
MV2_14_CAND_00002,MV2_14_SRC_0001,local_runs/protocolo_c/v1in/v1in_temporal_expression_candidates.csv,scene_id,20220304T130251_20220304T130743_T23KPR,20220304T130251_20220304T130743_T23KPR,S2_MSI,,,,,,,text_regex,LOW,scene_id_in_text,candidato textual; nunca vira verdade sem fonte estruturada
MV2_14_CAND_00003,MV2_14_SRC_0002,local_runs/protocolo_c/v1iv/v1iv_anchor_patch_manifest_local.csv,scene_id,20220304T130251_20220304T130743_T23KPR,20220304T130251_20220304T130743_T23KPR,S2_MSI,,2022-03-04,2.394584,,,PET,csv_structured_row,HIGH,collection=COPERNICUS/S2_SR_HARMONIZED;datetime_status=VALID_SINGLE,"candidato; namespace pode ser anchor protocolo-C, nao corpus"
MV2_14_CAND_00004,MV2_14_SRC_0003,local_runs/protocolo_c/v1iv/v1iv_reference_patch_readiness_decision.csv,scene_id,20220304T130251_20220304T130743_T23KPR,20220304T130251_20220304T130743_T23KPR,S2_MSI,,2022-03-04,2.394584,,,PET,csv_structured_row,HIGH,collection=COPERNICUS/S2_SR_HARMONIZED;datetime_status=VALID_SINGLE,"candidato; namespace pode ser anchor protocolo-C, nao corpus"
MV2_14_CAND_00005,MV2_14_SRC_0004,local_runs/protocolo_c/v1iv/v1iv_selected_scene_decision.csv,scene_id,20220304T130251_20220304T130743_T23KPR,20220304T130251_20220304T130743_T23KPR,S2_MSI,,2022-03-04,2.394584,,,,csv_structured_row,HIGH,collection=;datetime_status=VALID_SINGLE,"candidato; namespace pode ser anchor protocolo-C, nao corpus"
MV2_14_CAND_00006,MV2_14_SRC_0005,local_runs/protocolo_c/v1iv/v1iv_sentinel_scene_search.csv,scene_id,20220304T130251_20220304T130743_T23KPR,20220304T130251_20220304T130743_T23KPR,S2_MSI,23KPR,2022-03-04,2.394584,,,,csv_structured_row,HIGH,collection=COPERNICUS/S2_SR_HARMONIZED;datetime_status=VALID_SINGLE,"candidato; namespace pode ser anchor protocolo-C, nao corpus"
MV2_14_CAND_00007,MV2_14_SRC_0005,local_runs/protocolo_c/v1iv/v1iv_sentinel_scene_search.csv,scene_id,20220222T130251_20220222T130249_T23KPR,20220222T130251_20220222T130249_T23KPR,S2_MSI,23KPR,2022-02-22,23.29967,,,,csv_structured_row,HIGH,collection=COPERNICUS/S2_SR_HARMONIZED;datetime_status=VALID_SINGLE,"candidato; namespace pode ser anchor protocolo-C, nao corpus"
MV2_14_CAND_00008,MV2_14_SRC_0005,local_runs/protocolo_c/v1iv/v1iv_sentinel_scene_search.csv,scene_id,20220227T130249_20220227T130319_T23KPR,20220227T130249_20220227T130319_T23KPR,S2_MSI,23KPR,2022-02-27,25.231126,,,,csv_structured_row,HIGH,collection=COPERNICUS/S2_SR_HARMONIZED;datetime_status=VALID_SINGLE,"candidato; namespace pode ser anchor protocolo-C, nao corpus"
MV2_14_CAND_00009,MV2_14_SRC_0005,local_runs/protocolo_c/v1iv/v1iv_sentinel_scene_search.csv,scene_id,20220217T130239_20220217T130240_T23KPR,20220217T130239_20220217T130240_T23KPR,S2_MSI,23KPR,2022-02-17,25.807485,,,,csv_structured_row,HIGH,collection=COPERNICUS/S2_SR_HARMONIZED;datetime_status=VALID_SINGLE,"candidato; namespace pode ser anchor protocolo-C, nao corpus"
MV2_14_CAND_00010,MV2_14_SRC_0005,local_runs/protocolo_c/v1iv/v1iv_sentinel_scene_search.csv,scene_id,20220202T130251_20220202T130247_T23KPR,20220202T130251_20220202T130247_T23KPR,S2_MSI,23KPR,2022-02-02,90.359181,,,,csv_structured_row,HIGH,collection=COPERNICUS/S2_SR_HARMONIZED;datetime_status=VALID_SINGLE,"candidato; namespace pode ser anchor protocolo-C, nao corpus"
