patch_id,asset_id,temporal_status,lineage_classification,product_id,scene_id,bbox,geometry,consensus_status,authorization_status,downloads,rasters,crops
PET_00140,0e48288ff44594e1,NO_FILLED_TEMPLATE_FOUND,UNKNOWN_BLOCKED,,,,,NO_CALL,NOT_AUTHORIZED_NO_TEMPORAL_WINDOW,0,0,0
PET_00016,19a5de5df7bd0cf8,NO_FILLED_TEMPLATE_FOUND,UNKNOWN_BLOCKED,,,,,NO_CALL,NOT_AUTHORIZED_NO_TEMPORAL_WINDOW,0,0,0
REC_00183,37c34f5a6f1e21e2,NO_FILLED_TEMPLATE_FOUND,UNKNOWN_BLOCKED,,,,,NO_CALL,NOT_AUTHORIZED_NO_TEMPORAL_WINDOW,0,0,0
PET_00104,6641fb7c86ae0cbc,NO_FILLED_TEMPLATE_FOUND,UNKNOWN_BLOCKED,,,,,NO_CALL,NOT_AUTHORIZED_NO_TEMPORAL_WINDOW,0,0,0
REC_00227,7e4673aa5e1b50e0,NO_FILLED_TEMPLATE_FOUND,UNKNOWN_BLOCKED,,,,,NO_CALL,NOT_AUTHORIZED_NO_TEMPORAL_WINDOW,0,0,0
PET_00240,97982ae9e9aa55b2,NO_FILLED_TEMPLATE_FOUND,UNKNOWN_BLOCKED,,,,,NO_CALL,NOT_AUTHORIZED_NO_TEMPORAL_WINDOW,0,0,0
PET_00119,b041e9a668bd0924,NO_FILLED_TEMPLATE_FOUND,UNKNOWN_BLOCKED,,,,,NO_CALL,NOT_AUTHORIZED_NO_TEMPORAL_WINDOW,0,0,0
REC_00205,bc6e6d18b88e7293,NO_FILLED_TEMPLATE_FOUND,UNKNOWN_BLOCKED,,,,,NO_CALL,NOT_AUTHORIZED_NO_TEMPORAL_WINDOW,0,0,0
REC_00019,e07eacbc8a366650,NO_FILLED_TEMPLATE_FOUND,UNKNOWN_BLOCKED,,,,,NO_CALL,NOT_AUTHORIZED_NO_TEMPORAL_WINDOW,0,0,0
REC_00204,f7d34b2045dd441d,NO_FILLED_TEMPLATE_FOUND,UNKNOWN_BLOCKED,,,,,NO_CALL,NOT_AUTHORIZED_NO_TEMPORAL_WINDOW,0,0,0
