binding_id,anchor_id,asset_id,patch_id,sensor,platform,scene_id,acquisition_datetime,datetime_status,cloud_cover,cloud_cover_status,tile_id,scene_lineage_status,can_support_temporal_track,can_support_stac,temporal_blocking_reason,next_action
MV2_13_BIND_00001,MV2_12_ANCHOR_00001,92505e20b69dd028,CUR_00038,UNKNOWN,UNKNOWN,,,ABSENT,,ABSENT,,NO_SCENE_NO_TEMPORAL,false,false,sem_scene_id_e_sem_datetime_valido,recuperar_scene_id_ou_datetime_via_historico_GEE
MV2_13_BIND_00002,MV2_12_ANCHOR_00002,a876d490e5812896,CUR_00249,UNKNOWN,UNKNOWN,,,ABSENT,,ABSENT,,NO_SCENE_NO_TEMPORAL,false,false,sem_scene_id_e_sem_datetime_valido,recuperar_scene_id_ou_datetime_via_historico_GEE
MV2_13_BIND_00003,MV2_12_ANCHOR_00003,c61f82fb1021cbfb,CUR_00350,UNKNOWN,UNKNOWN,,,ABSENT,,ABSENT,,NO_SCENE_NO_TEMPORAL,false,false,sem_scene_id_e_sem_datetime_valido,recuperar_scene_id_ou_datetime_via_historico_GEE
MV2_13_BIND_00004,MV2_12_ANCHOR_00004,31f6daa6af24b8c6,CUR_00357,UNKNOWN,UNKNOWN,,,ABSENT,,ABSENT,,NO_SCENE_NO_TEMPORAL,false,false,sem_scene_id_e_sem_datetime_valido,recuperar_scene_id_ou_datetime_via_historico_GEE
MV2_13_BIND_00005,MV2_12_ANCHOR_00005,f3fa8cabe2db7f58,CUR_00367,UNKNOWN,UNKNOWN,,,ABSENT,,ABSENT,,NO_SCENE_NO_TEMPORAL,false,false,sem_scene_id_e_sem_datetime_valido,recuperar_scene_id_ou_datetime_via_historico_GEE
MV2_13_BIND_00006,MV2_12_ANCHOR_00006,72334dc260eeeaf5,CUR_00402,UNKNOWN,UNKNOWN,,,ABSENT,,ABSENT,,NO_SCENE_NO_TEMPORAL,false,false,sem_scene_id_e_sem_datetime_valido,recuperar_scene_id_ou_datetime_via_historico_GEE
MV2_13_BIND_00007,MV2_12_ANCHOR_00007,b64b02ca9c474f84,CUR_00409,UNKNOWN,UNKNOWN,,,ABSENT,,ABSENT,,NO_SCENE_NO_TEMPORAL,false,false,sem_scene_id_e_sem_datetime_valido,recuperar_scene_id_ou_datetime_via_historico_GEE
MV2_13_BIND_00008,MV2_12_ANCHOR_00008,3d3ea9ef96771937,CUR_00410,UNKNOWN,UNKNOWN,,,ABSENT,,ABSENT,,NO_SCENE_NO_TEMPORAL,false,false,sem_scene_id_e_sem_datetime_valido,recuperar_scene_id_ou_datetime_via_historico_GEE
MV2_13_BIND_00009,MV2_12_ANCHOR_00009,dd1f4a04bb7cb6ed,CUR_00413,UNKNOWN,UNKNOWN,,,ABSENT,,ABSENT,,NO_SCENE_NO_TEMPORAL,false,false,sem_scene_id_e_sem_datetime_valido,recuperar_scene_id_ou_datetime_via_historico_GEE
MV2_13_BIND_00010,MV2_12_ANCHOR_00010,1bc68ee41a5b4b8a,CUR_00416,UNKNOWN,UNKNOWN,,,ABSENT,,ABSENT,,NO_SCENE_NO_TEMPORAL,false,false,sem_scene_id_e_sem_datetime_valido,recuperar_scene_id_ou_datetime_via_historico_GEE
