feature,feature_group,score,pearson_corr,abs_corr,collinearity_alert
B2_mean,sentinel2_bands,score_predisposicao_hidrotopografica_v5,0.020152,0.020152,False
B2_mean,sentinel2_bands,score_gatilho_hidroclimatico_v5,0.219131,0.219131,False
B2_mean,sentinel2_bands,score_amplificacao_urbana_v5,0.338449,0.338449,False
B2_mean,sentinel2_bands,score_superficie_optica_v5_diagnostic,0.514318,0.514318,False
B2_mean,sentinel2_bands,score_umidade_antecedente_v5,0.00917,0.00917,False
B2_mean,sentinel2_bands,score_impulso_chuva_v5,0.28109,0.28109,False
B2_mean,sentinel2_bands,score_evento_enchente_potencial_v5_core,0.193655,0.193655,False
B3_mean,sentinel2_bands,score_predisposicao_hidrotopografica_v5,0.028936,0.028936,False
B3_mean,sentinel2_bands,score_gatilho_hidroclimatico_v5,0.192525,0.192525,False
B3_mean,sentinel2_bands,score_amplificacao_urbana_v5,0.306379,0.306379,False
B3_mean,sentinel2_bands,score_superficie_optica_v5_diagnostic,0.475485,0.475485,False
B3_mean,sentinel2_bands,score_umidade_antecedente_v5,-0.018182,0.018182,False
B3_mean,sentinel2_bands,score_impulso_chuva_v5,0.264126,0.264126,False
B3_mean,sentinel2_bands,score_evento_enchente_potencial_v5_core,0.179951,0.179951,False
B4_mean,sentinel2_bands,score_predisposicao_hidrotopografica_v5,0.011118,0.011118,False
B4_mean,sentinel2_bands,score_gatilho_hidroclimatico_v5,0.198725,0.198725,False
B4_mean,sentinel2_bands,score_amplificacao_urbana_v5,0.342382,0.342382,False
B4_mean,sentinel2_bands,score_superficie_optica_v5_diagnostic,0.583858,0.583858,False
B4_mean,sentinel2_bands,score_umidade_antecedente_v5,0.016067,0.016067,False
B4_mean,sentinel2_bands,score_impulso_chuva_v5,0.247352,0.247352,False
B4_mean,sentinel2_bands,score_evento_enchente_potencial_v5_core,0.179499,0.179499,False
B8_mean,sentinel2_bands,score_predisposicao_hidrotopografica_v5,0.008659,0.008659,False
B8_mean,sentinel2_bands,score_gatilho_hidroclimatico_v5,-0.192003,0.192003,False
B8_mean,sentinel2_bands,score_amplificacao_urbana_v5,-0.193147,0.193147,False
B8_mean,sentinel2_bands,score_superficie_optica_v5_diagnostic,-0.486705,0.486705,False
B8_mean,sentinel2_bands,score_umidade_antecedente_v5,-0.281168,0.281168,False
B8_mean,sentinel2_bands,score_impulso_chuva_v5,-0.097318,0.097318,False
B8_mean,sentinel2_bands,score_evento_enchente_potencial_v5_core,-0.126473,0.126473,False
B11_mean,sentinel2_bands,score_predisposicao_hidrotopografica_v5,-0.017739,0.017739,False
B11_mean,sentinel2_bands,score_gatilho_hidroclimatico_v5,0.035263,0.035263,False
B11_mean,sentinel2_bands,score_amplificacao_urbana_v5,0.268451,0.268451,False
B11_mean,sentinel2_bands,score_superficie_optica_v5_diagnostic,0.425035,0.425035,False
B11_mean,sentinel2_bands,score_umidade_antecedente_v5,-0.186797,0.186797,False
B11_mean,sentinel2_bands,score_impulso_chuva_v5,0.129854,0.129854,False
B11_mean,sentinel2_bands,score_evento_enchente_potencial_v5_core,0.06959,0.06959,False
B12_mean,sentinel2_bands,score_predisposicao_hidrotopografica_v5,-0.01824,0.01824,False
B12_mean,sentinel2_bands,score_gatilho_hidroclimatico_v5,0.196855,0.196855,False
B12_mean,sentinel2_bands,score_amplificacao_urbana_v5,0.400576,0.400576,False
B12_mean,sentinel2_bands,score_superficie_optica_v5_diagnostic,0.597059,0.597059,False
B12_mean,sentinel2_bands,score_umidade_antecedente_v5,-0.017138,0.017138,False
B12_mean,sentinel2_bands,score_impulso_chuva_v5,0.2486,0.2486,False
B12_mean,sentinel2_bands,score_evento_enchente_potencial_v5_core,0.173136,0.173136,False
ndvi_mean,spectral_index,score_predisposicao_hidrotopografica_v5,-0.014283,0.014283,False
ndvi_mean,spectral_index,score_gatilho_hidroclimatico_v5,-0.249359,0.249359,False
ndvi_mean,spectral_index,score_amplificacao_urbana_v5,-0.329209,0.329209,False
ndvi_mean,spectral_index,score_superficie_optica_v5_diagnostic,-0.649867,0.649867,False
ndvi_mean,spectral_index,score_umidade_antecedente_v5,-0.127476,0.127476,False
ndvi_mean,spectral_index,score_impulso_chuva_v5,-0.257453,0.257453,False
ndvi_mean,spectral_index,score_evento_enchente_potencial_v5_core,-0.200774,0.200774,False
mndwi_mean,spectral_index,score_predisposicao_hidrotopografica_v5,0.09032,0.09032,False
mndwi_mean,spectral_index,score_gatilho_hidroclimatico_v5,0.304365,0.304365,False
mndwi_mean,spectral_index,score_amplificacao_urbana_v5,0.17884,0.17884,False
mndwi_mean,spectral_index,score_superficie_optica_v5_diagnostic,0.365117,0.365117,False
mndwi_mean,spectral_index,score_umidade_antecedente_v5,0.189711,0.189711,False
mndwi_mean,spectral_index,score_impulso_chuva_v5,0.3325,0.3325,False
mndwi_mean,spectral_index,score_evento_enchente_potencial_v5_core,0.239505,0.239505,False
ndbi_mean,spectral_index,score_predisposicao_hidrotopografica_v5,-0.021123,0.021123,False
ndbi_mean,spectral_index,score_gatilho_hidroclimatico_v5,0.177865,0.177865,False
ndbi_mean,spectral_index,score_amplificacao_urbana_v5,0.350131,0.350131,False
ndbi_mean,spectral_index,score_superficie_optica_v5_diagnostic,0.695776,0.695776,False
ndbi_mean,spectral_index,score_umidade_antecedente_v5,0.053862,0.053862,False
ndbi_mean,spectral_index,score_impulso_chuva_v5,0.186504,0.186504,False
ndbi_mean,spectral_index,score_evento_enchente_potencial_v5_core,0.150395,0.150395,False
elevation_mean,topography,score_predisposicao_hidrotopografica_v5,-0.238094,0.238094,False
elevation_mean,topography,score_gatilho_hidroclimatico_v5,0.0279,0.0279,False
elevation_mean,topography,score_amplificacao_urbana_v5,-0.141027,0.141027,False
elevation_mean,topography,score_superficie_optica_v5_diagnostic,0.095494,0.095494,False
elevation_mean,topography,score_umidade_antecedente_v5,0.012377,0.012377,False
elevation_mean,topography,score_impulso_chuva_v5,-0.038536,0.038536,False
elevation_mean,topography,score_evento_enchente_potencial_v5_core,-0.183268,0.183268,False
elevation_std,topography,score_predisposicao_hidrotopografica_v5,-0.177402,0.177402,False
elevation_std,topography,score_gatilho_hidroclimatico_v5,-0.151156,0.151156,False
elevation_std,topography,score_amplificacao_urbana_v5,-0.090402,0.090402,False
elevation_std,topography,score_superficie_optica_v5_diagnostic,-0.102994,0.102994,False
elevation_std,topography,score_umidade_antecedente_v5,-0.094683,0.094683,False
elevation_std,topography,score_impulso_chuva_v5,-0.192907,0.192907,False
elevation_std,topography,score_evento_enchente_potencial_v5_core,-0.208922,0.208922,False
slope_mean,topography,score_predisposicao_hidrotopografica_v5,-0.177549,0.177549,False
slope_mean,topography,score_gatilho_hidroclimatico_v5,-0.240726,0.240726,False
slope_mean,topography,score_amplificacao_urbana_v5,-0.148382,0.148382,False
slope_mean,topography,score_superficie_optica_v5_diagnostic,-0.152415,0.152415,False
slope_mean,topography,score_umidade_antecedente_v5,-0.156632,0.156632,False
slope_mean,topography,score_impulso_chuva_v5,-0.274887,0.274887,False
slope_mean,topography,score_evento_enchente_potencial_v5_core,-0.262854,0.262854,False
slope_std,topography,score_predisposicao_hidrotopografica_v5,0.029236,0.029236,False
slope_std,topography,score_gatilho_hidroclimatico_v5,-0.192538,0.192538,False
slope_std,topography,score_amplificacao_urbana_v5,0.01683,0.01683,False
slope_std,topography,score_superficie_optica_v5_diagnostic,-0.064029,0.064029,False
slope_std,topography,score_umidade_antecedente_v5,0.017557,0.017557,False
slope_std,topography,score_impulso_chuva_v5,-0.245727,0.245727,False
slope_std,topography,score_evento_enchente_potencial_v5_core,-0.06118,0.06118,False
hand_mean,hydrology,score_predisposicao_hidrotopografica_v5,-0.363519,0.363519,False
hand_mean,hydrology,score_gatilho_hidroclimatico_v5,-0.201528,0.201528,False
hand_mean,hydrology,score_amplificacao_urbana_v5,-0.252236,0.252236,False
hand_mean,hydrology,score_superficie_optica_v5_diagnostic,-0.175376,0.175376,False
hand_mean,hydrology,score_umidade_antecedente_v5,-0.253312,0.253312,False
hand_mean,hydrology,score_impulso_chuva_v5,-0.223999,0.223999,False
hand_mean,hydrology,score_evento_enchente_potencial_v5_core,-0.396761,0.396761,False
twi_mean,hydrology,score_predisposicao_hidrotopografica_v5,0.476733,0.476733,False
twi_mean,hydrology,score_gatilho_hidroclimatico_v5,0.210844,0.210844,False
twi_mean,hydrology,score_amplificacao_urbana_v5,0.307113,0.307113,False
twi_mean,hydrology,score_superficie_optica_v5_diagnostic,0.294336,0.294336,False
twi_mean,hydrology,score_umidade_antecedente_v5,0.351666,0.351666,False
twi_mean,hydrology,score_impulso_chuva_v5,0.193328,0.193328,False
twi_mean,hydrology,score_evento_enchente_potencial_v5_core,0.49089,0.49089,False
tpi_250m_mean,topography,score_predisposicao_hidrotopografica_v5,-0.456698,0.456698,False
tpi_250m_mean,topography,score_gatilho_hidroclimatico_v5,-0.182723,0.182723,False
tpi_250m_mean,topography,score_amplificacao_urbana_v5,-0.420866,0.420866,False
tpi_250m_mean,topography,score_superficie_optica_v5_diagnostic,-0.198342,0.198342,False
tpi_250m_mean,topography,score_umidade_antecedente_v5,-0.390125,0.390125,False
tpi_250m_mean,topography,score_impulso_chuva_v5,-0.148887,0.148887,False
tpi_250m_mean,topography,score_evento_enchente_potencial_v5_core,-0.492888,0.492888,False
curvature_laplacian_mean,topography,score_predisposicao_hidrotopografica_v5,0.430176,0.430176,False
curvature_laplacian_mean,topography,score_gatilho_hidroclimatico_v5,0.186696,0.186696,False
curvature_laplacian_mean,topography,score_amplificacao_urbana_v5,0.411392,0.411392,False
curvature_laplacian_mean,topography,score_superficie_optica_v5_diagnostic,0.190418,0.190418,False
curvature_laplacian_mean,topography,score_umidade_antecedente_v5,0.385414,0.385414,False
curvature_laplacian_mean,topography,score_impulso_chuva_v5,0.149057,0.149057,False
curvature_laplacian_mean,topography,score_evento_enchente_potencial_v5_core,0.474388,0.474388,False
distance_to_water_mean,hydrology,score_predisposicao_hidrotopografica_v5,-0.355657,0.355657,False
distance_to_water_mean,hydrology,score_gatilho_hidroclimatico_v5,0.075119,0.075119,False
distance_to_water_mean,hydrology,score_amplificacao_urbana_v5,0.188397,0.188397,False
distance_to_water_mean,hydrology,score_superficie_optica_v5_diagnostic,0.189428,0.189428,False
distance_to_water_mean,hydrology,score_umidade_antecedente_v5,-0.042115,0.042115,False
distance_to_water_mean,hydrology,score_impulso_chuva_v5,0.027419,0.027419,False
distance_to_water_mean,hydrology,score_evento_enchente_potencial_v5_core,-0.160876,0.160876,False
water_occurrence_patch,hydrology,score_predisposicao_hidrotopografica_v5,0.154028,0.154028,False
water_occurrence_patch,hydrology,score_gatilho_hidroclimatico_v5,0.06729,0.06729,False
water_occurrence_patch,hydrology,score_amplificacao_urbana_v5,-0.099166,0.099166,False
water_occurrence_patch,hydrology,score_superficie_optica_v5_diagnostic,0.050373,0.050373,False
water_occurrence_patch,hydrology,score_umidade_antecedente_v5,0.194039,0.194039,False
water_occurrence_patch,hydrology,score_impulso_chuva_v5,0.050277,0.050277,False
water_occurrence_patch,hydrology,score_evento_enchente_potencial_v5_core,0.109461,0.109461,False
flow_acc_log_mean,hydrology,score_predisposicao_hidrotopografica_v5,0.665961,0.665961,False
flow_acc_log_mean,hydrology,score_gatilho_hidroclimatico_v5,0.329029,0.329029,False
flow_acc_log_mean,hydrology,score_amplificacao_urbana_v5,0.428884,0.428884,False
flow_acc_log_mean,hydrology,score_superficie_optica_v5_diagnostic,0.219526,0.219526,False
flow_acc_log_mean,hydrology,score_umidade_antecedente_v5,0.514553,0.514553,False
flow_acc_log_mean,hydrology,score_impulso_chuva_v5,0.341774,0.341774,False
flow_acc_log_mean,hydrology,score_evento_enchente_potencial_v5_core,0.700948,0.700948,False
flow_acc_log_p75,hydrology,score_predisposicao_hidrotopografica_v5,,,False
flow_acc_log_p75,hydrology,score_gatilho_hidroclimatico_v5,,,False
flow_acc_log_p75,hydrology,score_amplificacao_urbana_v5,,,False
flow_acc_log_p75,hydrology,score_superficie_optica_v5_diagnostic,,,False
flow_acc_log_p75,hydrology,score_umidade_antecedente_v5,,,False
flow_acc_log_p75,hydrology,score_impulso_chuva_v5,,,False
flow_acc_log_p75,hydrology,score_evento_enchente_potencial_v5_core,,,False
runoff_context_7d,precipitation,score_predisposicao_hidrotopografica_v5,0.262037,0.262037,False
runoff_context_7d,precipitation,score_gatilho_hidroclimatico_v5,0.099052,0.099052,False
runoff_context_7d,precipitation,score_amplificacao_urbana_v5,0.31812,0.31812,False
runoff_context_7d,precipitation,score_superficie_optica_v5_diagnostic,0.144316,0.144316,False
runoff_context_7d,precipitation,score_umidade_antecedente_v5,0.456301,0.456301,False
runoff_context_7d,precipitation,score_impulso_chuva_v5,-0.058585,0.058585,False
runoff_context_7d,precipitation,score_evento_enchente_potencial_v5_core,0.299086,0.299086,False
runoff_context_30d,precipitation,score_predisposicao_hidrotopografica_v5,0.134573,0.134573,False
runoff_context_30d,precipitation,score_gatilho_hidroclimatico_v5,0.178345,0.178345,False
runoff_context_30d,precipitation,score_amplificacao_urbana_v5,0.210248,0.210248,False
runoff_context_30d,precipitation,score_superficie_optica_v5_diagnostic,0.177682,0.177682,False
runoff_context_30d,precipitation,score_umidade_antecedente_v5,0.405498,0.405498,False
runoff_context_30d,precipitation,score_impulso_chuva_v5,0.037053,0.037053,False
runoff_context_30d,precipitation,score_evento_enchente_potencial_v5_core,0.221452,0.221452,False
chirps_3d_mm,precipitation,score_predisposicao_hidrotopografica_v5,-0.032099,0.032099,False
chirps_3d_mm,precipitation,score_gatilho_hidroclimatico_v5,-0.129463,0.129463,False
chirps_3d_mm,precipitation,score_amplificacao_urbana_v5,-0.023534,0.023534,False
chirps_3d_mm,precipitation,score_superficie_optica_v5_diagnostic,-0.140344,0.140344,False
chirps_3d_mm,precipitation,score_umidade_antecedente_v5,-0.216159,0.216159,False
chirps_3d_mm,precipitation,score_impulso_chuva_v5,-0.049521,0.049521,False
chirps_3d_mm,precipitation,score_evento_enchente_potencial_v5_core,-0.084688,0.084688,False
chirps_7d_mm,precipitation,score_predisposicao_hidrotopografica_v5,0.175085,0.175085,False
chirps_7d_mm,precipitation,score_gatilho_hidroclimatico_v5,0.336367,0.336367,False
chirps_7d_mm,precipitation,score_amplificacao_urbana_v5,0.421949,0.421949,False
chirps_7d_mm,precipitation,score_superficie_optica_v5_diagnostic,0.087295,0.087295,False
chirps_7d_mm,precipitation,score_umidade_antecedente_v5,0.358517,0.358517,False
chirps_7d_mm,precipitation,score_impulso_chuva_v5,0.29144,0.29144,False
chirps_7d_mm,precipitation,score_evento_enchente_potencial_v5_core,0.370705,0.370705,False
chirps_30d_mm,precipitation,score_predisposicao_hidrotopografica_v5,0.08146,0.08146,False
chirps_30d_mm,precipitation,score_gatilho_hidroclimatico_v5,0.068341,0.068341,False
chirps_30d_mm,precipitation,score_amplificacao_urbana_v5,0.134223,0.134223,False
chirps_30d_mm,precipitation,score_superficie_optica_v5_diagnostic,0.173272,0.173272,False
chirps_30d_mm,precipitation,score_umidade_antecedente_v5,0.29265,0.29265,False
chirps_30d_mm,precipitation,score_impulso_chuva_v5,-0.057563,0.057563,False
chirps_30d_mm,precipitation,score_evento_enchente_potencial_v5_core,0.118255,0.118255,False
rain_3d_7d_ratio,precipitation,score_predisposicao_hidrotopografica_v5,0.026276,0.026276,False
rain_3d_7d_ratio,precipitation,score_gatilho_hidroclimatico_v5,-0.595076,0.595076,False
rain_3d_7d_ratio,precipitation,score_amplificacao_urbana_v5,-0.318189,0.318189,False
rain_3d_7d_ratio,precipitation,score_superficie_optica_v5_diagnostic,-0.177315,0.177315,False
rain_3d_7d_ratio,precipitation,score_umidade_antecedente_v5,-0.479212,0.479212,False
rain_3d_7d_ratio,precipitation,score_impulso_chuva_v5,-0.501283,0.501283,False
rain_3d_7d_ratio,precipitation,score_evento_enchente_potencial_v5_core,-0.323414,0.323414,False
rain_7d_30d_ratio,precipitation,score_predisposicao_hidrotopografica_v5,0.074791,0.074791,False
rain_7d_30d_ratio,precipitation,score_gatilho_hidroclimatico_v5,0.183197,0.183197,False
rain_7d_30d_ratio,precipitation,score_amplificacao_urbana_v5,0.170681,0.170681,False
rain_7d_30d_ratio,precipitation,score_superficie_optica_v5_diagnostic,-0.095569,0.095569,False
rain_7d_30d_ratio,precipitation,score_umidade_antecedente_v5,-0.020737,0.020737,False
