feature,feature_group,expected_direction,observed_effect,observed_effect_sign,agrees_with_expected,partial_effect_class,divergence_action,review_only
elevation_mean,topography,lower_increases,-0.0283,negative,true,direction_agrees,,true
slope_mean,topography,lower_increases,-0.044543,negative,true,direction_agrees,,true
hand_mean,topography_hydrology,lower_increases,-0.077431,negative,true,direction_agrees,,true
twi_mean,topography_hydrology,higher_increases,0.045794,positive,true,direction_agrees,,true
tpi_250m_mean,topography,lower_increases,-0.021554,negative,true,direction_agrees,,true
curvature_laplacian_mean,topography,lower_increases,0.008747,positive,false,direction_diverges,investigate_before_score_v6,true
distance_to_water_mean,hydrology,lower_increases,-0.09619,negative,true,direction_agrees,,true
water_occurrence_patch,hydrology,higher_increases,0.000188,positive,true,near_zero_effect,investigate_before_score_v6,true
flow_acc_log_mean,hydrology,higher_increases,0.117785,positive,true,direction_agrees,,true
flow_acc_log_p75,hydrology,higher_increases,0.0,zero,false,near_zero_effect,investigate_before_score_v6,true
chirps_3d_mm,precipitation,higher_increases,0.021889,positive,true,direction_agrees,,true
chirps_7d_mm,precipitation,higher_increases,0.110642,positive,true,direction_agrees,,true
chirps_30d_mm,precipitation,higher_increases,0.093215,positive,true,direction_agrees,,true
rain_3d_7d_ratio,precipitation,higher_increases,-0.01668,negative,false,direction_diverges,investigate_before_score_v6,true
rain_7d_30d_ratio,precipitation,higher_increases,0.053908,positive,true,direction_agrees,,true
rain_persistence_index,precipitation,higher_increases,0.066164,positive,true,direction_agrees,,true
runoff_context_7d,precipitation,higher_increases,0.060779,positive,true,direction_agrees,,true
runoff_context_30d,precipitation,higher_increases,0.01929,positive,true,direction_agrees,,true
ndvi_mean,spectral_index,higher_decreases,-0.013243,negative,true,direction_agrees,,true
mndwi_mean,spectral_index,higher_increases,0.020546,positive,true,direction_agrees,,true
ndbi_mean,spectral_index,higher_increases,0.02663,positive,true,direction_agrees,,true
urban_prop,land_use,higher_increases,0.032395,positive,true,direction_agrees,,true
vegetation_prop,land_use,higher_decreases,-0.02153,negative,true,direction_agrees,,true
