feature,subindex,expected_direction,mean_weighted_contribution,weight_class,review_only
chirps_30d_mm,rainfall_trigger_index,higher_increases,0.016044,medium,true
chirps_3d_mm,rainfall_trigger_index,higher_increases,0.005983,medium,true
chirps_7d_mm,rainfall_trigger_index,higher_increases,0.016292,medium,true
distance_to_water_mean,topography_hydrology_index,lower_increases,0.03787,high,true
elevation_mean,topography_hydrology_index,lower_increases,0.029365,high,true
flow_acc_log_mean,topography_hydrology_index,higher_increases,0.015413,high,true
hand_mean,topography_hydrology_index,lower_increases,0.049261,high,true
mndwi_mean,urban_spectral_index,higher_increases,0.023331,high,true
ndbi_mean,urban_spectral_index,higher_increases,0.030567,high,true
ndvi_mean,vegetation_mitigation_index,higher_decreases,-0.023585,high,true
rain_7d_30d_ratio,rainfall_trigger_index,higher_increases,0.018034,medium,true
rain_persistence_index,rainfall_trigger_index,higher_increases,0.013116,medium,true
runoff_context_30d,rainfall_trigger_index,higher_increases,0.015075,medium,true
runoff_context_7d,rainfall_trigger_index,higher_increases,0.00396,medium,true
slope_mean,topography_hydrology_index,lower_increases,0.043456,high,true
tpi_250m_mean,topography_hydrology_index,lower_increases,0.026967,high,true
twi_mean,topography_hydrology_index,higher_increases,0.006577,high,true
urban_prop,urban_spectral_index,higher_increases,0.028277,high,true
vegetation_prop,vegetation_mitigation_index,higher_decreases,-0.037728,high,true
