download_id,region,institution,source_name,download_status,file_size_bytes,content_ext,review_only
OBSDL_000,recife,APAC,APAC alagamento/inundacao bacias,not_attempted_no_direct_url_or_no_network,,,true
OBSDL_001,recife,Defesa Civil Recife (CODECIR),ocorrencias coordenadas,not_attempted_no_direct_url_or_no_network,,,true
OBSDL_002,recife,Prefeitura do Recife (Dados Abertos),dados abertos alagamento,not_attempted_no_direct_url_or_no_network,,,true
OBSDL_003,recife,CEMADEN,ocorrencias/alertas lat-lon,not_attempted_no_direct_url_or_no_network,,,true
OBSDL_004,recife,CPRM/SGB,setores de risco / relatorios,not_attempted_no_direct_url_or_no_network,,,true
OBSDL_005,recife,ANA/Hidroweb,cota fluviometrica Capibaribe,not_attempted_no_direct_url_or_no_network,,,true
OBSDL_006,recife,S2iD (Defesa Civil Nacional),registros de desastre S2iD,not_attempted_no_direct_url_or_no_network,,,true
OBSDL_007,recife,Charter/midia tecnica,mapas de mancha rastreaveis (apoio secundario),not_attempted_no_direct_url_or_no_network,,,true
OBSDL_008,petropolis,CPRM/SGB,setores de risco / relatorios 2022,not_attempted_no_direct_url_or_no_network,,,true
OBSDL_009,petropolis,Defesa Civil Petropolis/RJ,ocorrencias inundacao 2022,not_attempted_no_direct_url_or_no_network,,,true
OBSDL_010,petropolis,INEA/RJ,mancha de inundacao / areas atingidas,not_attempted_no_direct_url_or_no_network,,,true
OBSDL_011,petropolis,Prefeitura de Petropolis,dados abertos / boletins,not_attempted_no_direct_url_or_no_network,,,true
OBSDL_012,petropolis,CEMADEN,ocorrencias/alertas lat-lon,not_attempted_no_direct_url_or_no_network,,,true
OBSDL_013,petropolis,ANA/Hidroweb/SACE,cota/vazao bacia,not_attempted_no_direct_url_or_no_network,,,true
OBSDL_014,petropolis,S2iD (Defesa Civil Nacional),registros de desastre S2iD,not_attempted_no_direct_url_or_no_network,,,true
OBSDL_015,curitiba,GeoCuritiba/IPPUC,areas de alagamento / hidrografia,not_attempted_no_direct_url_or_no_network,,,true
OBSDL_016,curitiba,IPPUC,dados urbanisticos / alagamento,not_attempted_no_direct_url_or_no_network,,,true
OBSDL_017,curitiba,Prefeitura de Curitiba (Dados Abertos),dados abertos alagamento,not_attempted_no_direct_url_or_no_network,,,true
OBSDL_018,curitiba,Defesa Civil Curitiba/PR,ocorrencias inundacao,not_attempted_no_direct_url_or_no_network,,,true
OBSDL_019,curitiba,IAT/Aguas Parana,mancha/bacia hidrografica,not_attempted_no_direct_url_or_no_network,,,true
OBSDL_020,curitiba,CEMADEN,ocorrencias/alertas lat-lon,not_attempted_no_direct_url_or_no_network,,,true
OBSDL_021,curitiba,ANA/Hidroweb,cota fluviometrica,not_attempted_no_direct_url_or_no_network,,,true
OBSDL_022,curitiba,S2iD (Defesa Civil Nacional),registros de desastre S2iD,not_attempted_no_direct_url_or_no_network,,,true
