metric,value,review_only
event_patch_score_distribution_count,44,true
event_patch_score_distribution_mean,0.664892,true
event_patch_score_distribution_median,0.670423,true
event_patch_score_distribution_min,0.13627,true
event_patch_score_distribution_max,0.799382,true
control_patch_score_distribution_count,44,true
control_patch_score_distribution_mean,0.696344,true
control_patch_score_distribution_median,0.70133,true
control_patch_score_distribution_min,0.211778,true
control_patch_score_distribution_max,0.950011,true
score_difference_event_vs_control_count,44,true
score_difference_event_vs_control_mean,-0.031453,true
score_difference_event_vs_control_median,-0.048532,true
score_difference_event_vs_control_min,-0.53125,true
score_difference_event_vs_control_max,0.559762,true
event_enrichment_ratio,0.954832,true
low_sample_size,true,true
