probe_id,region,institution,discovery_method,url,network_enabled,status,http_code,content_type,n_resources_found,review_only,error_or_note
S13BPROBE_0000,recife,Prefeitura do Recife - Dados Abertos,ckan_api,http://dados.recife.pe.gov.br/api/3/action/package_search,false,network_disabled,,,0,true,SUSC_13B_NETWORK not set; live probing skipped (offline-safe)
S13BPROBE_0001,recife,Prefeitura do Recife - Dados Abertos (portal),data_portal_html,http://dados.recife.pe.gov.br,false,network_disabled,,,0,true,network_disabled
S13BPROBE_0002,recife,APAC Pernambuco,data_portal_html,https://www.apac.pe.gov.br,false,network_disabled,,,0,true,network_disabled
S13BPROBE_0003,recife,Governo de Pernambuco - Dados Abertos,ckan_api,http://www.dados.pe.gov.br/api/3/action/package_search,false,network_disabled,,,0,true,SUSC_13B_NETWORK not set; live probing skipped (offline-safe)
S13BPROBE_0004,recife,ESIG Recife (GeoServer/ArcGIS),arcgis_rest,https://www.recife.pe.gov.br/arcgis/rest/services,false,network_disabled,,,0,true,SUSC_13B_NETWORK not set; live probing skipped (offline-safe)
S13BPROBE_0005,recife,CPRM/SGB GeoSGB,arcgis_rest,https://geoportal.sgb.gov.br/server/rest/services,false,network_disabled,,,0,true,SUSC_13B_NETWORK not set; live probing skipped (offline-safe)
S13BPROBE_0006,recife,ANA - Dados Abertos,ckan_api,https://dadosabertos.ana.gov.br/api/3/action/package_search,false,network_disabled,,,0,true,SUSC_13B_NETWORK not set; live probing skipped (offline-safe)
S13BPROBE_0007,recife,S2iD Defesa Civil Nacional,data_portal_html,https://s2id.mi.gov.br,false,network_disabled,,,0,true,network_disabled
S13BPROBE_0008,recife,CEMADEN,data_portal_html,https://www.cemaden.gov.br,false,network_disabled,,,0,true,network_disabled
S13BPROBE_0009,petropolis,Prefeitura de Petropolis,data_portal_html,https://www.petropolis.rj.gov.br,false,network_disabled,,,0,true,network_disabled
S13BPROBE_0010,petropolis,Governo do RJ - Dados Abertos,ckan_api,http://www.dados.rj.gov.br/api/3/action/package_search,false,network_disabled,,,0,true,SUSC_13B_NETWORK not set; live probing skipped (offline-safe)
S13BPROBE_0011,petropolis,INEA-RJ (GeoServer),arcgis_rest,https://inea.maps.arcgis.com,false,network_disabled,,,0,true,SUSC_13B_NETWORK not set; live probing skipped (offline-safe)
S13BPROBE_0012,petropolis,DRM-RJ,data_portal_html,https://www.drm.rj.gov.br,false,network_disabled,,,0,true,network_disabled
S13BPROBE_0013,petropolis,CPRM/SGB GeoSGB,arcgis_rest,https://geoportal.sgb.gov.br/server/rest/services,false,network_disabled,,,0,true,SUSC_13B_NETWORK not set; live probing skipped (offline-safe)
S13BPROBE_0014,petropolis,ANA - Dados Abertos,ckan_api,https://dadosabertos.ana.gov.br/api/3/action/package_search,false,network_disabled,,,0,true,SUSC_13B_NETWORK not set; live probing skipped (offline-safe)
S13BPROBE_0015,petropolis,S2iD Defesa Civil Nacional,data_portal_html,https://s2id.mi.gov.br,false,network_disabled,,,0,true,network_disabled
S13BPROBE_0016,petropolis,CEMADEN,data_portal_html,https://www.cemaden.gov.br,false,network_disabled,,,0,true,network_disabled
S13BPROBE_0017,curitiba,GeoCuritiba / IPPUC (ArcGIS),arcgis_rest,https://geocuritiba.ippuc.org.br/server/rest/services,false,network_disabled,,,0,true,SUSC_13B_NETWORK not set; live probing skipped (offline-safe)
S13BPROBE_0018,curitiba,Curitiba - Dados Abertos,ckan_api,https://dadosabertos.curitiba.pr.gov.br/api/3/action/package_search,false,network_disabled,,,0,true,SUSC_13B_NETWORK not set; live probing skipped (offline-safe)
S13BPROBE_0019,curitiba,Prefeitura de Curitiba,data_portal_html,https://www.curitiba.pr.gov.br,false,network_disabled,,,0,true,network_disabled
S13BPROBE_0020,curitiba,Governo do Parana - Dados Abertos,ckan_api,http://www.dadosabertos.pr.gov.br/api/3/action/package_search,false,network_disabled,,,0,true,SUSC_13B_NETWORK not set; live probing skipped (offline-safe)
S13BPROBE_0021,curitiba,IAT/Aguas Parana (GeoServer WFS),wfs_getcapabilities,https://geoportal.iat.pr.gov.br/geoserver/ows,false,network_disabled,,,0,true,SUSC_13B_NETWORK not set; live probing skipped (offline-safe)
S13BPROBE_0022,curitiba,ANA - Dados Abertos,ckan_api,https://dadosabertos.ana.gov.br/api/3/action/package_search,false,network_disabled,,,0,true,SUSC_13B_NETWORK not set; live probing skipped (offline-safe)
S13BPROBE_0023,curitiba,S2iD Defesa Civil Nacional,data_portal_html,https://s2id.mi.gov.br,false,network_disabled,,,0,true,network_disabled
S13BPROBE_0024,curitiba,CEMADEN,data_portal_html,https://www.cemaden.gov.br,false,network_disabled,,,0,true,network_disabled
