event_id,source_lineage,region,evidence_level,duplicate_group_id,duplicate_candidate,deduplication_action,preferred_record,review_only,notes
SUSC13CC_00000,susc_13a,recife,documentary_only,DUPG_0006,false,keep_preferred,true,true,consolidado review-only
SUSC13CC_00001,susc_13a,recife,moderate_official_flood_bbox,DUPG_0002,false,keep_preferred,true,true,consolidado review-only
SUSC13CC_00002,susc_13a,recife,weak_risk_area_context,DUPG_0003,false,keep_preferred,true,true,consolidado review-only
SUSC13CC_00003,susc_13a,recife,weak_risk_area_context,DUPG_0005,true,keep_preferred,true,true,consolidado review-only
SUSC13CC_00004,susc_13a,recife,documentary_only,DUPG_0004,true,drop_duplicate_review,false,true,consolidado review-only
SUSC13CC_00005,susc_13a,recife,weak_risk_area_context,DUPG_0005,true,drop_duplicate_review,false,true,consolidado review-only
SUSC13CC_00006,susc_13a,petropolis,moderate_official_occurrence_point,DUPG_0000,true,keep_preferred,true,true,consolidado review-only
SUSC13CC_00007,susc_13a,petropolis,moderate_official_occurrence_point,DUPG_0000,true,drop_duplicate_review,false,true,consolidado review-only
SUSC13CC_00008,susc_13a,petropolis,moderate_official_occurrence_point,DUPG_0000,true,drop_duplicate_review,false,true,consolidado review-only
SUSC13CC_00009,susc_13a,petropolis,moderate_official_occurrence_point,DUPG_0000,true,drop_duplicate_review,false,true,consolidado review-only
SUSC13CC_00010,susc_13a,recife,weak_administrative_context,DUPG_0007,true,keep_preferred,true,true,consolidado review-only
SUSC13CC_00011,susc_13a,recife,weak_administrative_context,DUPG_0007,true,drop_duplicate_review,false,true,consolidado review-only
SUSC13CC_00012,susc_13a,petropolis,weak_administrative_context,DUPG_0001,false,keep_preferred,true,true,consolidado review-only
SUSC13CC_00013,susc_13c_live,unknown,weak_risk_area_context,DUPG_0008,false,keep_preferred,true,true,consolidado review-only
SUSC13CC_00014,susc_13c_live,recife,documentary_only,DUPG_0004,true,keep_preferred,true,true,upgrade_from_13a_or_13b
