metric,value,review_only
strong_events_count,0,true
moderate_events_count,2,true
weak_events_count,27,true
blocked_events_count,2,true
geocoded_official_occurrences_count,0,true
geocoding_blocked_count,4024,true
street_segment_matches_count,0,true
events_with_date_count,1,true
events_with_geometry_count,2,true
strong_patch_links_count,0,true
moderate_patch_links_count,0,true
weak_patch_links_count,0,true
context_patch_links_count,25,true
regions_covered,petropolis|recife,true
regions_covered_count,2,true
patches_with_observational_evaluation,0,true
patches_with_only_context,0,true
score_v6_mean_event_links,null,true
score_v6_median_event_links,null,true
score_v6_class_distribution_event_links,null,true
hit_rate_top_10,null,true
hit_rate_top_20,null,true
hit_rate_top_30,null,true
event_enrichment_ratio,null,true
observational_evaluation_blocked,true,true
reason,no_strong_or_moderate_patch_links,true
single_source_dominant,false,true
ready_for_12a_temporal,false,true
ready_for_12b_feature_contrast,false,true
ready_for_12c_proxy_calibration,false,true
ready_for_score_v7,false,true
score_v7_status,blocked,true
