metric,value,review_only
occurrences_input_count,4412,true
flood_occurrences_count,4412,true
official_reference_features_count,100000,true
street_segment_reference_count,98225,true
address_point_reference_count,1378,true
neighborhood_polygon_reference_count,45,true
exact_matches_count,0,true
fuzzy_matches_count,5,true
ambiguous_matches_count,67,true
blocked_no_reference_count,146,true
moderate_patch_links_count,4,true
patches_observational_count,2,true
score_v6_mean_event_links,0.5679,true
hit_rate_top_10,0.0,true
hit_rate_top_20,0.0,true
hit_rate_top_30,0.0,true
ready_for_12a,false,true
ready_for_12b,false,true
ready_for_12c,false,true
ready_for_score_v7,false,true
score_v7_status,blocked,true
