audit_id,source_path,source_kind,row_count,columns,address_columns,has_address,has_number,has_neighborhood,has_complement,has_spatial_text_reference,has_cross_street,has_canal_rio_ponte,has_hidden_latlon,has_hidden_xy_utm,has_street_or_cadastral_code,has_joinable_official_id,precision_rank,example_event_id,review_only
S15AAUD_0000,datasets/suscetibilidade/susc_14a_geocoded_official_occurrences_v1.csv,official_occurrence_catalog,4412,"[""geocoded_id"", ""occurrence_id"", ""region"", ""municipality"", ""event_date"", ""event_year"", ""raw_occurrence_text"", ""raw_address"", ""raw_neighborhood"", ""normalized_street"", ""normalized_neighborhood"", ""evidence_level"", ""georeferencing_status"", ""match_method"", ""matched_reference_feature_id"", ""matched_feature_type"", ""matched_reference_name"", ""lat"", ""lon"", ""similarity_score"", ""geocoding_confidence"", ""requires_manual_review"", ""can_be_ground_truth"", ""can_be_used_as_ground_truth"", ""allowed_for_training"", ""review_only""]","[""raw_address""]",true,true,true,true,true,true,true,true,true,false,true,neighborhood_only,S14AOCC_000000,true
S15AAUD_0001,datasets/suscetibilidade/susc_14a_geocoded_official_occurrences_v1.csv,precision_rank,1598,[],[],true,false,true,false,false,false,false,false,false,false,true,neighborhood_only,S14AOCC_000373,true
S15AAUD_0002,datasets/suscetibilidade/susc_14a_geocoded_official_occurrences_v1.csv,precision_rank,1535,[],[],true,false,true,false,false,false,false,false,false,false,true,has_street_and_neighborhood,S14AOCC_000002,true
S15AAUD_0003,datasets/suscetibilidade/susc_14a_geocoded_official_occurrences_v1.csv,precision_rank,716,[],[],true,true,true,false,false,false,false,false,false,false,true,has_street_and_number,S14AOCC_000001,true
S15AAUD_0004,datasets/suscetibilidade/susc_14a_geocoded_official_occurrences_v1.csv,precision_rank,560,[],[],true,false,true,false,true,false,false,false,false,false,true,has_street_and_landmark,S14AOCC_000000,true
S15AAUD_0005,datasets/suscetibilidade/susc_14a_geocoded_official_occurrences_v1.csv,precision_rank,3,[],[],true,false,true,false,true,true,false,false,false,false,true,has_street_and_cross_street,S14AOCC_000184,true
S15AAUD_0006,datasets/suscetibilidade/susc_14a_event_patch_linkage_v1.csv,susc_prior_stage_dataset,31,"[""linkage_id"", ""event_id"", ""patch_id"", ""region"", ""event_date"", ""event_type"", ""evidence_level"", ""georeferencing_status"", ""spatial_relation"", ""temporal_precision"", ""distance_m"", ""patch_score_v6"", ""patch_score_class_v6"", ""source_confidence"", ""parse_confidence"", ""geocoding_confidence"", ""linkage_confidence"", ""observed_event_strength"", ""can_be_used_for_observational_evaluation"", ""can_be_ground_truth"", ""can_be_used_as_ground_truth"", ""allowed_for_training"", ""review_only"", ""requires_manual_review"", ""interpretation"", ""limitations""]",[],false,true,false,false,true,false,true,true,true,false,true,source_level_inventory,,true
S15AAUD_0007,datasets/suscetibilidade/susc_14a_normalized_official_occurrences_v1.csv,susc_prior_stage_dataset,4412,"[""occurrence_id"", ""region"", ""municipality"", ""source_file"", ""source_lineage"", ""event_date"", ""event_year"", ""raw_occurrence_text"", ""raw_address"", ""raw_neighborhood"", ""normalized_street"", ""normalized_neighborhood"", ""is_flood_occurrence"", ""rejection_reason"", ""requires_manual_review"", ""can_be_ground_truth"", ""allowed_for_training"", ""review_only""]","[""raw_address""]",true,true,true,true,true,true,true,false,true,false,true,neighborhood_only,S14AOCC_000000,true
S15AAUD_0008,datasets/suscetibilidade/susc_14a_official_geocoding_reference_features_v1.csv,susc_prior_stage_dataset,400,"[""reference_feature_id"", ""region"", ""source_id"", ""feature_type"", ""name"", ""normalized_name"", ""neighborhood"", ""normalized_neighborhood"", ""geometry_type"", ""lat"", ""lon"", ""bbox"", ""wkt"", ""geojson_ref"", ""crs"", ""source_confidence"", ""parse_confidence"", ""review_only""]",[],true,true,true,false,true,false,true,true,true,false,true,source_level_inventory,,true
S15AAUD_0009,datasets/suscetibilidade/susc_14a_rescued_observed_event_catalog_v1.csv,susc_prior_stage_dataset,397,"[""event_id"", ""source_lineage"", ""region"", ""municipality"", ""event_type"", ""event_date"", ""event_period_start"", ""event_period_end"", ""source_institution"", ""source_title"", ""source_url"", ""local_file_path"", ""evidence_level"", ""georeferencing_status"", ""geometry_type"", ""lat"", ""lon"", ""bbox"", ""wkt"", ""geojson_ref"", ""crs"", ""spatial_precision"", ""temporal_precision"", ""is_observed_event"", ""source_confidence"", ""geocoding_confidence"", ""priority_rank"", ""duplicate_group_id"", ""duplicate_candidate"", ""preferred_record"", ""requires_manual_review"", ""can_be_ground_truth"", ""can_be_used_as_ground_truth"", ""allowed_for_training"", ""review_only"", ""consolidation_notes""]","[""local_file_path""]",true,true,false,false,true,false,true,true,true,false,true,source_level_inventory,,true
S15AAUD_0010,datasets/suscetibilidade/susc_14b_event_patch_linkage_v1.csv,susc_prior_stage_dataset,4414,"[""linkage_id"", ""matched_id"", ""occurrence_id"", ""patch_id"", ""region"", ""event_date"", ""evidence_level"", ""georeferencing_status"", ""matched_feature_type"", ""spatial_relation"", ""distance_m"", ""patch_score_v6"", ""patch_score_class_v6"", ""linkage_confidence"", ""can_be_used_for_observational_evaluation"", ""can_be_ground_truth"", ""can_be_used_as_ground_truth"", ""allowed_for_training"", ""review_only"", ""requires_manual_review"", ""interpretation"", ""limitations""]",[],false,true,false,false,false,false,false,true,true,false,true,source_level_inventory,S14AOCC_000000,true
S15AAUD_0011,datasets/suscetibilidade/susc_14b_matched_official_occurrences_v1.csv,susc_prior_stage_dataset,4412,"[""matched_id"", ""occurrence_id"", ""region"", ""municipality"", ""event_date"", ""event_year"", ""raw_occurrence_text"", ""raw_address"", ""raw_neighborhood"", ""normalized_street"", ""normalized_neighborhood"", ""evidence_level"", ""georeferencing_status"", ""match_method"", ""matched_reference_feature_id"", ""matched_feature_type"", ""matched_reference_name"", ""matched_source_id"", ""lat"", ""lon"", ""bbox"", ""wkt"", ""geojson_ref"", ""match_score"", ""name_similarity"", ""neighborhood_match"", ""unique_candidate"", ""geometry_available"", ""match_confidence"", ""requires_manual_review"", ""can_be_ground_truth"", ""can_be_used_as_ground_truth"", ""allowed_for_training"", ""review_only""]","[""raw_address""]",true,true,true,true,true,true,true,true,true,false,true,neighborhood_only,S14AOCC_000000,true
