footprint_id,footprint_type,eligible_for_patch_observational_evaluation,review_only,decision
S16AFP_00000,official_flood_footprint,false,true,blocked_or_context
S16AFP_00001,official_flood_footprint,false,true,blocked_or_context
S16AFP_00002,insufficient,false,true,blocked_or_context
S16AFP_00003,official_flood_footprint,true,true,eligible_review_only
S16AFP_00004,official_flood_footprint,false,true,blocked_or_context
S16AFP_00005,official_flood_footprint,false,true,blocked_or_context
S16AFP_00006,official_flood_footprint,false,true,blocked_or_context
S16AFP_00007,official_flood_footprint,false,true,blocked_or_context
S16AFP_00008,official_flood_footprint,false,true,blocked_or_context
S16AFP_00009,official_flood_footprint,false,true,blocked_or_context
S16AFP_00010,official_flood_footprint,false,true,blocked_or_context
S16AFP_00011,official_flood_footprint,false,true,blocked_or_context
S16AFP_00012,official_flood_footprint,false,true,blocked_or_context
S16AFP_00013,official_flood_footprint,false,true,blocked_or_context
S16AFP_00014,official_flood_footprint,false,true,blocked_or_context
S16AFP_00015,official_flood_footprint,false,true,blocked_or_context
S16AFP_00016,official_flood_footprint,false,true,blocked_or_context
S16AFP_00017,official_flood_footprint,false,true,blocked_or_context
S16AFP_00018,official_flood_footprint,false,true,blocked_or_context
S16AFP_00019,official_flood_footprint,false,true,blocked_or_context
S16AFP_00020,official_flood_footprint,false,true,blocked_or_context
S16AFP_00021,official_flood_footprint,false,true,blocked_or_context
S16AFP_00022,official_flood_footprint,false,true,blocked_or_context
S16AFP_00023,official_flood_footprint,false,true,blocked_or_context
S16AFP_00024,official_flood_footprint,false,true,blocked_or_context
S16AFP_00025,official_flood_footprint,false,true,blocked_or_context
S16AFP_00026,official_flood_footprint,false,true,blocked_or_context
S16AFP_00027,official_flood_footprint,false,true,blocked_or_context
S16AFP_00028,official_flood_footprint,false,true,blocked_or_context
S16AFP_00029,official_flood_footprint,false,true,blocked_or_context
S16AFP_00030,official_flood_footprint,false,true,blocked_or_context
S16AFP_00031,official_flood_footprint,false,true,blocked_or_context
S16AFP_00032,insufficient,false,true,blocked_or_context
S16AFP_00033,insufficient,false,true,blocked_or_context
S16AFP_00034,insufficient,false,true,blocked_or_context
S16AFP_00035,insufficient,false,true,blocked_or_context
S16AFP_00036,official_flood_footprint,false,true,blocked_or_context
S16AFP_00037,insufficient,false,true,blocked_or_context
S16AFP_00038,insufficient,false,true,blocked_or_context
S16AFP_00039,insufficient,false,true,blocked_or_context
S16AFP_00040,insufficient,false,true,blocked_or_context
S16AFP_00041,official_flood_footprint,false,true,blocked_or_context
S16AFP_00042,insufficient,false,true,blocked_or_context
S16AFP_00043,insufficient,false,true,blocked_or_context
S16AFP_00044,insufficient,false,true,blocked_or_context
S16AFP_00045,insufficient,false,true,blocked_or_context
S16AFP_00046,insufficient,false,true,blocked_or_context
S16AFP_00047,official_flood_footprint,false,true,blocked_or_context
S16AFP_00048,official_flood_footprint,false,true,blocked_or_context
S16AFP_00049,official_flood_footprint,false,true,blocked_or_context
S16AFP_00050,official_flood_footprint,false,true,blocked_or_context
S16AFP_00051,official_susceptibility_reference,false,true,blocked_or_context
S16AFP_00052,official_susceptibility_reference,false,true,blocked_or_context
S16AFP_00053,official_susceptibility_reference,false,true,blocked_or_context
S16AFP_00054,official_susceptibility_reference,false,true,blocked_or_context
S16AFP_00055,official_susceptibility_reference,false,true,blocked_or_context
S16AFP_00056,official_susceptibility_reference,false,true,blocked_or_context
S16AFP_00057,official_susceptibility_reference,false,true,blocked_or_context
S16AFP_00058,official_susceptibility_reference,false,true,blocked_or_context
S16AFP_00059,official_susceptibility_reference,false,true,blocked_or_context
S16AFP_00060,official_susceptibility_reference,false,true,blocked_or_context
S16AFP_00061,official_susceptibility_reference,false,true,blocked_or_context
S16AFP_00062,official_susceptibility_reference,false,true,blocked_or_context
S16AFP_00063,official_susceptibility_reference,false,true,blocked_or_context
S16AFP_00064,official_susceptibility_reference,false,true,blocked_or_context
S16AFP_00065,official_susceptibility_reference,false,true,blocked_or_context
S16AFP_00066,official_susceptibility_reference,false,true,blocked_or_context
S16AFP_00067,official_susceptibility_reference,false,true,blocked_or_context
S16AFP_00068,official_susceptibility_reference,false,true,blocked_or_context
S16AFP_00069,official_susceptibility_reference,false,true,blocked_or_context
S16AFP_00070,official_flood_footprint,true,true,eligible_review_only
S16AFP_00071,official_susceptibility_reference,false,true,blocked_or_context
S16AFP_00072,official_flood_footprint,true,true,eligible_review_only
S16AFP_00073,official_susceptibility_reference,false,true,blocked_or_context
S16AFP_00074,official_susceptibility_reference,false,true,blocked_or_context
S16AFP_00075,official_susceptibility_reference,false,true,blocked_or_context
S16AFP_00076,official_susceptibility_reference,false,true,blocked_or_context
S16AFP_00077,official_susceptibility_reference,false,true,blocked_or_context
S16AFP_00078,insufficient,false,true,blocked_or_context
S16AFP_00079,insufficient,false,true,blocked_or_context
S16AFP_00080,insufficient,false,true,blocked_or_context
S16AFP_00081,insufficient,false,true,blocked_or_context
S16AFP_00082,insufficient,false,true,blocked_or_context
S16AFP_00083,insufficient,false,true,blocked_or_context
S16AFP_00084,insufficient,false,true,blocked_or_context
S16AFP_00085,insufficient,false,true,blocked_or_context
S16AFP_00086,insufficient,false,true,blocked_or_context
S16AFP_00087,insufficient,false,true,blocked_or_context
S16AFP_00088,insufficient,false,true,blocked_or_context
S16AFP_00089,insufficient,false,true,blocked_or_context
S16AFP_00090,insufficient,false,true,blocked_or_context
S16AFP_00091,insufficient,false,true,blocked_or_context
S16AFP_00092,insufficient,false,true,blocked_or_context
S16AFP_00093,insufficient,false,true,blocked_or_context
S16AFP_00094,insufficient,false,true,blocked_or_context
S16AFP_00095,insufficient,false,true,blocked_or_context
S16AFP_00096,insufficient,false,true,blocked_or_context
S16AFP_00097,insufficient,false,true,blocked_or_context
S16AFP_00098,insufficient,false,true,blocked_or_context
S16AFP_00099,insufficient,false,true,blocked_or_context
S16AFP_00100,insufficient,false,true,blocked_or_context
S16AFP_00101,insufficient,false,true,blocked_or_context
S16AFP_00102,insufficient,false,true,blocked_or_context
S16AFP_00103,insufficient,false,true,blocked_or_context
S16AFP_00104,insufficient,false,true,blocked_or_context
S16AFP_00105,insufficient,false,true,blocked_or_context
S16AFP_00106,official_flood_footprint,true,true,eligible_review_only
S16AFP_00107,official_flood_footprint,false,true,blocked_or_context
S16AFP_00108,insufficient,false,true,blocked_or_context
S16AFP_00109,insufficient,false,true,blocked_or_context
S16AFP_00110,insufficient,false,true,blocked_or_context
S16AFP_00111,insufficient,false,true,blocked_or_context
S16AFP_00112,insufficient,false,true,blocked_or_context
S16AFP_00113,insufficient,false,true,blocked_or_context
S16AFP_00114,insufficient,false,true,blocked_or_context
S16AFP_00115,insufficient,false,true,blocked_or_context
S16AFP_00116,insufficient,false,true,blocked_or_context
S16AFP_00117,insufficient,false,true,blocked_or_context
S16AFP_00118,insufficient,false,true,blocked_or_context
S16AFP_00119,insufficient,false,true,blocked_or_context
S16AFP_00120,insufficient,false,true,blocked_or_context
S16AFP_00121,insufficient,false,true,blocked_or_context
S16AFP_00122,insufficient,false,true,blocked_or_context
S16AFP_00123,insufficient,false,true,blocked_or_context
S16AFP_00124,insufficient,false,true,blocked_or_context
S16AFP_00125,insufficient,false,true,blocked_or_context
S16AFP_00126,insufficient,false,true,blocked_or_context
S16AFP_00127,insufficient,false,true,blocked_or_context
S16AFP_00128,insufficient,false,true,blocked_or_context
S16AFP_00129,insufficient,false,true,blocked_or_context
S16AFP_00130,insufficient,false,true,blocked_or_context
S16AFP_00131,insufficient,false,true,blocked_or_context
S16AFP_00132,insufficient,false,true,blocked_or_context
S16AFP_00133,insufficient,false,true,blocked_or_context
S16AFP_00134,insufficient,false,true,blocked_or_context
S16AFP_00135,insufficient,false,true,blocked_or_context
S16AFP_00136,insufficient,false,true,blocked_or_context
S16AFP_00137,insufficient,false,true,blocked_or_context
S16AFP_00138,insufficient,false,true,blocked_or_context
S16AFP_00139,insufficient,false,true,blocked_or_context
S16AFP_00140,insufficient,false,true,blocked_or_context
S16AFP_00141,insufficient,false,true,blocked_or_context
S16AFP_00142,insufficient,false,true,blocked_or_context
S16AFP_00143,insufficient,false,true,blocked_or_context
S16AFP_00144,insufficient,false,true,blocked_or_context
S16AFP_00145,insufficient,false,true,blocked_or_context
S16AFP_00146,insufficient,false,true,blocked_or_context
S16AFP_00147,insufficient,false,true,blocked_or_context
S16AFP_00148,insufficient,false,true,blocked_or_context
S16AFP_00149,official_susceptibility_reference,false,true,blocked_or_context
S16AFP_00150,official_susceptibility_reference,false,true,blocked_or_context
S16AFP_00151,official_susceptibility_reference,false,true,blocked_or_context
S16AFP_00152,official_susceptibility_reference,false,true,blocked_or_context
S16AFP_00153,official_flood_footprint,true,true,eligible_review_only
S16AFP_00154,official_susceptibility_reference,false,true,blocked_or_context
S16AFP_00155,official_flood_footprint,true,true,eligible_review_only
S16AFP_00156,insufficient,false,true,blocked_or_context
S16AFP_00157,insufficient,false,true,blocked_or_context
S16AFP_00158,insufficient,false,true,blocked_or_context
S16AFP_00159,insufficient,false,true,blocked_or_context
S16AFP_00160,insufficient,false,true,blocked_or_context
S16AFP_00161,insufficient,false,true,blocked_or_context
S16AFP_00162,insufficient,false,true,blocked_or_context
S16AFP_00163,insufficient,false,true,blocked_or_context
S16AFP_00164,insufficient,false,true,blocked_or_context
S16AFP_00165,insufficient,false,true,blocked_or_context
S16AFP_00166,insufficient,false,true,blocked_or_context
S16AFP_00167,insufficient,false,true,blocked_or_context
S16AFP_00168,insufficient,false,true,blocked_or_context
S16AFP_00169,insufficient,false,true,blocked_or_context
S16AFP_00170,insufficient,false,true,blocked_or_context
S16AFP_00171,insufficient,false,true,blocked_or_context
S16AFP_00172,insufficient,false,true,blocked_or_context
S16AFP_00173,insufficient,false,true,blocked_or_context
S16AFP_00174,insufficient,false,true,blocked_or_context
S16AFP_00175,insufficient,false,true,blocked_or_context
S16AFP_00176,insufficient,false,true,blocked_or_context
S16AFP_00177,insufficient,false,true,blocked_or_context
S16AFP_00178,insufficient,false,true,blocked_or_context
S16AFP_00179,official_flood_footprint,false,true,blocked_or_context
S16AFP_00180,insufficient,false,true,blocked_or_context
S16AFP_00181,insufficient,false,true,blocked_or_context
S16AFP_00182,insufficient,false,true,blocked_or_context
S16AFP_00183,insufficient,false,true,blocked_or_context
S16AFP_00184,insufficient,false,true,blocked_or_context
S16AFP_00185,insufficient,false,true,blocked_or_context
S16AFP_00186,insufficient,false,true,blocked_or_context
S16AFP_00187,official_flood_footprint,false,true,blocked_or_context
S16AFP_00188,insufficient,false,true,blocked_or_context
S16AFP_00189,official_flood_footprint,false,true,blocked_or_context
S16AFP_00190,official_risk_context,false,true,blocked_or_context
S16AFP_00191,insufficient,false,true,blocked_or_context
S16AFP_00192,official_risk_context,false,true,blocked_or_context
S16AFP_00193,official_flood_footprint,false,true,blocked_or_context
S16AFP_00194,insufficient,false,true,blocked_or_context
S16AFP_00195,insufficient,false,true,blocked_or_context
S16AFP_00196,official_risk_context,false,true,blocked_or_context
S16AFP_00197,official_risk_context,false,true,blocked_or_context
S16AFP_00198,official_observed_event_point,false,true,blocked_or_context
S16AFP_00199,official_observed_event_point,false,true,blocked_or_context
S16AFP_00200,official_risk_context,false,true,blocked_or_context
S16AFP_00201,official_risk_context,false,true,blocked_or_context
S16AFP_00202,official_risk_context,false,true,blocked_or_context
S16AFP_00203,official_risk_context,false,true,blocked_or_context
S16AFP_00204,official_risk_context,false,true,blocked_or_context
S16AFP_00205,official_risk_context,false,true,blocked_or_context
S16AFP_00206,insufficient,false,true,blocked_or_context
S16AFP_00207,insufficient,false,true,blocked_or_context
S16AFP_00208,insufficient,false,true,blocked_or_context
S16AFP_00209,insufficient,false,true,blocked_or_context
S16AFP_00210,official_observed_event_point,false,true,blocked_or_context
S16AFP_00211,official_observed_event_point,false,true,blocked_or_context
S16AFP_00212,insufficient,false,true,blocked_or_context
S16AFP_00213,insufficient,false,true,blocked_or_context
S16AFP_00214,insufficient,false,true,blocked_or_context
S16AFP_00215,insufficient,false,true,blocked_or_context
S16AFP_00216,official_flood_footprint,false,true,blocked_or_context
S16AFP_00217,official_risk_context,false,true,blocked_or_context
S16AFP_00218,official_risk_context,false,true,blocked_or_context
S16AFP_00219,official_risk_context,false,true,blocked_or_context
S16AFP_00220,official_risk_context,false,true,blocked_or_context
S16AFP_00221,official_risk_context,false,true,blocked_or_context
S16AFP_00222,official_risk_context,false,true,blocked_or_context
S16AFP_00223,official_risk_context,false,true,blocked_or_context
S16AFP_00224,official_risk_context,false,true,blocked_or_context
