patch_id,footprint_id,region,score_v6,score_v6_class,footprint_type,evidence_strength,overlap_ratio,distance_m,main_low_score_drivers,features_that_indicate_susceptibility,features_that_reduce_score,possible_reason,can_be_ground_truth,allowed_for_training,review_only
curitiba_00038,S16AFP_00003,curitiba,0.471344,medium,official_flood_footprint,moderate_candidate,1.0,,hand_mean=0.054707; slope_mean=0.052308; urban_prop=0.043907; ndbi_mean=0.034853; distance_to_water_mean=0.034011,,hand_mean;slope_mean;distance_to_water_mean;twi_mean;flow_accumulation_mean;urban_prop;ndbi_mean;ndvi_mean;mndwi_mean;chirps_3d_mm;chirps_7d_mm;chirps_30d_mm;runoff_context_7d,spectral_feature_temporal_mismatch,false,false,true
curitiba_00073,S16AFP_00003,curitiba,0.482868,medium,official_flood_footprint,moderate_candidate,1.0,,hand_mean=0.055826; slope_mean=0.052822; urban_prop=0.044092; ndbi_mean=0.038912; tpi_250m_mean=0.029816,,hand_mean;slope_mean;distance_to_water_mean;twi_mean;flow_accumulation_mean;urban_prop;ndbi_mean;ndvi_mean;mndwi_mean;chirps_3d_mm;chirps_7d_mm;chirps_30d_mm;runoff_context_7d,spectral_feature_temporal_mismatch,false,false,true
curitiba_00163,S16AFP_00003,curitiba,0.416689,low,official_flood_footprint,moderate_candidate,1.0,,urban_prop=0.058213; hand_mean=0.052676; slope_mean=0.050958; ndbi_mean=0.03718; distance_to_water_mean=0.03614,,hand_mean;slope_mean;distance_to_water_mean;twi_mean;flow_accumulation_mean;urban_prop;ndbi_mean;ndvi_mean;mndwi_mean;chirps_3d_mm;chirps_7d_mm;chirps_30d_mm;runoff_context_7d,spectral_feature_temporal_mismatch,false,false,true
curitiba_00038,S16AFP_00315,curitiba,0.471344,medium,official_flood_footprint,moderate_candidate,1.0,,hand_mean=0.054707; slope_mean=0.052308; urban_prop=0.043907; ndbi_mean=0.034853; distance_to_water_mean=0.034011,,hand_mean;slope_mean;distance_to_water_mean;twi_mean;flow_accumulation_mean;urban_prop;ndbi_mean;ndvi_mean;mndwi_mean;chirps_3d_mm;chirps_7d_mm;chirps_30d_mm;runoff_context_7d,spectral_feature_temporal_mismatch,false,false,true
curitiba_00073,S16AFP_00315,curitiba,0.482868,medium,official_flood_footprint,moderate_candidate,1.0,,hand_mean=0.055826; slope_mean=0.052822; urban_prop=0.044092; ndbi_mean=0.038912; tpi_250m_mean=0.029816,,hand_mean;slope_mean;distance_to_water_mean;twi_mean;flow_accumulation_mean;urban_prop;ndbi_mean;ndvi_mean;mndwi_mean;chirps_3d_mm;chirps_7d_mm;chirps_30d_mm;runoff_context_7d,spectral_feature_temporal_mismatch,false,false,true
curitiba_00163,S16AFP_00315,curitiba,0.416689,low,official_flood_footprint,moderate_candidate,1.0,,urban_prop=0.058213; hand_mean=0.052676; slope_mean=0.050958; ndbi_mean=0.03718; distance_to_water_mean=0.03614,,hand_mean;slope_mean;distance_to_water_mean;twi_mean;flow_accumulation_mean;urban_prop;ndbi_mean;ndvi_mean;mndwi_mean;chirps_3d_mm;chirps_7d_mm;chirps_30d_mm;runoff_context_7d,spectral_feature_temporal_mismatch,false,false,true
curitiba_00249,S16AFP_00315,curitiba,0.434532,medium,official_flood_footprint,moderate_candidate,1.0,,hand_mean=0.052282; slope_mean=0.051812; distance_to_water_mean=0.047896; urban_prop=0.045407; ndbi_mean=0.044193,distance_to_water_mean;mndwi_mean,hand_mean;slope_mean;twi_mean;flow_accumulation_mean;urban_prop;ndbi_mean;ndvi_mean;chirps_3d_mm;chirps_7d_mm;chirps_30d_mm;runoff_context_7d,spectral_feature_temporal_mismatch,false,false,true
curitiba_00289,S16AFP_00315,curitiba,0.47547,medium,official_flood_footprint,moderate_candidate,1.0,,urban_prop=0.060222; slope_mean=0.054909; hand_mean=0.054852; ndbi_mean=0.043998; mndwi_mean=0.029892,slope_mean,hand_mean;distance_to_water_mean;twi_mean;flow_accumulation_mean;urban_prop;ndbi_mean;ndvi_mean;mndwi_mean;chirps_3d_mm;chirps_7d_mm;chirps_30d_mm;runoff_context_7d,spectral_feature_temporal_mismatch,false,false,true
curitiba_00293,S16AFP_00315,curitiba,0.365446,low,official_flood_footprint,moderate_candidate,1.0,,urban_prop=0.066667; slope_mean=0.054188; hand_mean=0.052788; ndbi_mean=0.048884; mndwi_mean=0.031485,urban_prop;ndvi_mean;mndwi_mean,hand_mean;slope_mean;distance_to_water_mean;twi_mean;flow_accumulation_mean;ndbi_mean;chirps_3d_mm;chirps_7d_mm;chirps_30d_mm;runoff_context_7d,spectral_feature_temporal_mismatch,false,false,true
curitiba_00305,S16AFP_00315,curitiba,0.595185,medium,official_flood_footprint,moderate_candidate,0.740341,,urban_prop=0.066667; hand_mean=0.056459; slope_mean=0.05378; ndbi_mean=0.049075; mndwi_mean=0.037092,hand_mean;flow_accumulation_mean;urban_prop;ndbi_mean;ndvi_mean;mndwi_mean;runoff_context_7d,slope_mean;distance_to_water_mean;twi_mean;chirps_3d_mm;chirps_7d_mm;chirps_30d_mm,spectral_feature_temporal_mismatch,false,false,true
curitiba_00339,S16AFP_00315,curitiba,0.602212,medium,official_flood_footprint,moderate_candidate,1.0,,urban_prop=0.066667; ndbi_mean=0.05631; hand_mean=0.056309; slope_mean=0.054879; distance_to_water_mean=0.042873,hand_mean;slope_mean;distance_to_water_mean;urban_prop;ndbi_mean;ndvi_mean;mndwi_mean;runoff_context_7d,twi_mean;flow_accumulation_mean;chirps_3d_mm;chirps_7d_mm;chirps_30d_mm,spectral_feature_temporal_mismatch,false,false,true
curitiba_00340,S16AFP_00315,curitiba,0.574688,medium,official_flood_footprint,moderate_candidate,0.740341,,urban_prop=0.06627; hand_mean=0.055539; slope_mean=0.053399; ndbi_mean=0.047807; distance_to_water_mean=0.035936,flow_accumulation_mean;urban_prop;runoff_context_7d,hand_mean;slope_mean;distance_to_water_mean;twi_mean;ndbi_mean;ndvi_mean;mndwi_mean;chirps_3d_mm;chirps_7d_mm;chirps_30d_mm,spectral_feature_temporal_mismatch,false,false,true
curitiba_00357,S16AFP_00315,curitiba,0.389662,low,official_flood_footprint,moderate_candidate,1.0,,hand_mean=0.051985; urban_prop=0.050723; slope_mean=0.04925; distance_to_water_mean=0.041171; tpi_250m_mean=0.02884,distance_to_water_mean,hand_mean;slope_mean;twi_mean;flow_accumulation_mean;urban_prop;ndbi_mean;ndvi_mean;mndwi_mean;chirps_3d_mm;chirps_7d_mm;chirps_30d_mm;runoff_context_7d,spectral_feature_temporal_mismatch,false,false,true
curitiba_00365,S16AFP_00315,curitiba,0.366098,low,official_flood_footprint,moderate_candidate,1.0,,urban_prop=0.066667; ndbi_mean=0.060432; hand_mean=0.053724; slope_mean=0.052447; mndwi_mean=0.03271,urban_prop;ndbi_mean;ndvi_mean;mndwi_mean,hand_mean;slope_mean;distance_to_water_mean;twi_mean;flow_accumulation_mean;chirps_3d_mm;chirps_7d_mm;chirps_30d_mm;runoff_context_7d,score_weight_underestimates_local_factor,false,false,true
curitiba_00367,S16AFP_00315,curitiba,0.407342,low,official_flood_footprint,moderate_candidate,1.0,,urban_prop=0.066667; hand_mean=0.053056; slope_mean=0.051697; ndbi_mean=0.048102; mndwi_mean=0.034034,urban_prop;ndvi_mean;mndwi_mean,hand_mean;slope_mean;distance_to_water_mean;twi_mean;flow_accumulation_mean;ndbi_mean;chirps_3d_mm;chirps_7d_mm;chirps_30d_mm;runoff_context_7d,spectral_feature_temporal_mismatch,false,false,true
curitiba_00392,S16AFP_00315,curitiba,0.367297,low,official_flood_footprint,moderate_candidate,1.0,,hand_mean=0.051349; slope_mean=0.050261; urban_prop=0.042907; distance_to_water_mean=0.042074; ndbi_mean=0.036564,distance_to_water_mean,hand_mean;slope_mean;twi_mean;flow_accumulation_mean;urban_prop;ndbi_mean;ndvi_mean;mndwi_mean;chirps_3d_mm;chirps_7d_mm;chirps_30d_mm;runoff_context_7d,spectral_feature_temporal_mismatch,false,false,true
curitiba_00399,S16AFP_00315,curitiba,0.384378,low,official_flood_footprint,moderate_candidate,1.0,,urban_prop=0.066667; ndbi_mean=0.055259; slope_mean=0.054292; hand_mean=0.05348; mndwi_mean=0.04048,urban_prop;ndbi_mean;ndvi_mean;mndwi_mean,hand_mean;slope_mean;distance_to_water_mean;twi_mean;flow_accumulation_mean;chirps_3d_mm;chirps_7d_mm;chirps_30d_mm;runoff_context_7d,score_weight_underestimates_local_factor,false,false,true
curitiba_00402,S16AFP_00315,curitiba,0.404487,low,official_flood_footprint,moderate_candidate,1.0,,urban_prop=0.066667; ndbi_mean=0.054304; slope_mean=0.054236; hand_mean=0.053279; mndwi_mean=0.03441,urban_prop;ndbi_mean;ndvi_mean;mndwi_mean,hand_mean;slope_mean;distance_to_water_mean;twi_mean;flow_accumulation_mean;chirps_3d_mm;chirps_7d_mm;chirps_30d_mm;runoff_context_7d,score_weight_underestimates_local_factor,false,false,true
curitiba_00409,S16AFP_00315,curitiba,0.53338,medium,official_flood_footprint,moderate_candidate,1.0,,hand_mean=0.056484; slope_mean=0.054546; distance_to_water_mean=0.050727; tpi_250m_mean=0.02992; ndbi_mean=0.02967,hand_mean;distance_to_water_mean;twi_mean;flow_accumulation_mean;runoff_context_7d,slope_mean;urban_prop;ndbi_mean;ndvi_mean;mndwi_mean;chirps_3d_mm;chirps_7d_mm;chirps_30d_mm,spectral_feature_temporal_mismatch,false,false,true
curitiba_00410,S16AFP_00315,curitiba,0.528555,medium,official_flood_footprint,moderate_candidate,0.740341,,urban_prop=0.065659; ndbi_mean=0.061037; hand_mean=0.055254; slope_mean=0.054336; distance_to_water_mean=0.041531,distance_to_water_mean;urban_prop;ndbi_mean;ndvi_mean;mndwi_mean;runoff_context_7d,hand_mean;slope_mean;twi_mean;flow_accumulation_mean;chirps_3d_mm;chirps_7d_mm;chirps_30d_mm,spectral_feature_temporal_mismatch,false,false,true
curitiba_00436,S16AFP_00315,curitiba,0.366981,low,official_flood_footprint,moderate_candidate,1.0,,urban_prop=0.066667; ndbi_mean=0.058143; hand_mean=0.05358; slope_mean=0.053237; mndwi_mean=0.033994,urban_prop;ndbi_mean;ndvi_mean;mndwi_mean,hand_mean;slope_mean;distance_to_water_mean;twi_mean;flow_accumulation_mean;chirps_3d_mm;chirps_7d_mm;chirps_30d_mm;runoff_context_7d,score_weight_underestimates_local_factor,false,false,true
curitiba_00445,S16AFP_00315,curitiba,0.549597,medium,official_flood_footprint,moderate_candidate,0.740341,,hand_mean=0.05639; urban_prop=0.056265; slope_mean=0.054871; ndbi_mean=0.046487; distance_to_water_mean=0.046074,hand_mean;slope_mean;distance_to_water_mean;runoff_context_7d,twi_mean;flow_accumulation_mean;urban_prop;ndbi_mean;ndvi_mean;mndwi_mean;chirps_3d_mm;chirps_7d_mm;chirps_30d_mm,spectral_feature_temporal_mismatch,false,false,true
curitiba_00466,S16AFP_00315,curitiba,0.385586,low,official_flood_footprint,moderate_candidate,1.0,,urban_prop=0.066667; ndbi_mean=0.055226; slope_mean=0.055211; hand_mean=0.053558; mndwi_mean=0.036942,slope_mean;urban_prop;ndbi_mean;ndvi_mean;mndwi_mean,hand_mean;distance_to_water_mean;twi_mean;flow_accumulation_mean;chirps_3d_mm;chirps_7d_mm;chirps_30d_mm;runoff_context_7d,score_weight_underestimates_local_factor,false,false,true
curitiba_00469,S16AFP_00315,curitiba,0.393775,low,official_flood_footprint,moderate_candidate,1.0,,urban_prop=0.066667; ndbi_mean=0.059525; slope_mean=0.054414; hand_mean=0.05365; mndwi_mean=0.034105,urban_prop;ndbi_mean;ndvi_mean;mndwi_mean,hand_mean;slope_mean;distance_to_water_mean;twi_mean;flow_accumulation_mean;chirps_3d_mm;chirps_7d_mm;chirps_30d_mm;runoff_context_7d,score_weight_underestimates_local_factor,false,false,true
curitiba_00471,S16AFP_00315,curitiba,0.373711,low,official_flood_footprint,moderate_candidate,1.0,,urban_prop=0.066667; hand_mean=0.054219; slope_mean=0.054009; ndbi_mean=0.052135; mndwi_mean=0.036354,urban_prop;ndbi_mean;ndvi_mean;mndwi_mean,hand_mean;slope_mean;distance_to_water_mean;twi_mean;flow_accumulation_mean;chirps_3d_mm;chirps_7d_mm;chirps_30d_mm;runoff_context_7d,score_weight_underestimates_local_factor,false,false,true
curitiba_00531,S16AFP_00315,curitiba,0.391929,low,official_flood_footprint,moderate_candidate,1.0,,urban_prop=0.054026; slope_mean=0.053104; hand_mean=0.051082; distance_to_water_mean=0.043487; ndbi_mean=0.03486,distance_to_water_mean,hand_mean;slope_mean;twi_mean;flow_accumulation_mean;urban_prop;ndbi_mean;ndvi_mean;mndwi_mean;chirps_3d_mm;chirps_7d_mm;chirps_30d_mm;runoff_context_7d,spectral_feature_temporal_mismatch,false,false,true
curitiba_00537,S16AFP_00315,curitiba,0.394049,low,official_flood_footprint,moderate_candidate,1.0,,urban_prop=0.066667; ndbi_mean=0.056444; slope_mean=0.054236; hand_mean=0.054074; mndwi_mean=0.035314,urban_prop;ndbi_mean;ndvi_mean;mndwi_mean,hand_mean;slope_mean;distance_to_water_mean;twi_mean;flow_accumulation_mean;chirps_3d_mm;chirps_7d_mm;chirps_30d_mm;runoff_context_7d,score_weight_underestimates_local_factor,false,false,true
curitiba_00566,S16AFP_00315,curitiba,0.413978,low,official_flood_footprint,moderate_candidate,1.0,,urban_prop=0.055469; slope_mean=0.05344; hand_mean=0.052343; ndbi_mean=0.039713; distance_to_water_mean=0.03912,mndwi_mean,hand_mean;slope_mean;distance_to_water_mean;twi_mean;flow_accumulation_mean;urban_prop;ndbi_mean;ndvi_mean;chirps_3d_mm;chirps_7d_mm;chirps_30d_mm;runoff_context_7d,spectral_feature_temporal_mismatch,false,false,true
curitiba_00597,S16AFP_00315,curitiba,0.395268,low,official_flood_footprint,moderate_candidate,0.031296,,urban_prop=0.05399; hand_mean=0.050863; distance_to_water_mean=0.050532; slope_mean=0.048247; ndbi_mean=0.035104,distance_to_water_mean,hand_mean;slope_mean;twi_mean;flow_accumulation_mean;urban_prop;ndbi_mean;ndvi_mean;mndwi_mean;chirps_3d_mm;chirps_7d_mm;chirps_30d_mm;runoff_context_7d,spectral_feature_temporal_mismatch,false,false,true
