safety_audit_id,formal_request_id,guardrail,passes,violation_found,blocking_reason,review_only
S17C13_SAFE_0001,P0_COMPDEC_RECIFE_PKG_FR_REC_002,nenhuma solicitacao enviada no build,true,false,guardrail_preserved_review_only,true
S17C13_SAFE_0002,P0_COMPDEC_RECIFE_PKG_FR_REC_002,nenhum protocolo inventado,true,false,guardrail_preserved_review_only,true
S17C13_SAFE_0003,P0_COMPDEC_RECIFE_PKG_FR_REC_002,nenhuma resposta inventada,true,false,guardrail_preserved_review_only,true
S17C13_SAFE_0004,P0_COMPDEC_RECIFE_PKG_FR_REC_002,nenhum contato inventado,true,false,guardrail_preserved_review_only,true
S17C13_SAFE_0005,P0_COMPDEC_RECIFE_PKG_FR_REC_002,nenhum efeito externo,true,false,guardrail_preserved_review_only,true
S17C13_SAFE_0006,P0_COMPDEC_RECIFE_PKG_FR_REC_002,submit-assisted bloqueado sem opt-in,true,false,guardrail_preserved_review_only,true
S17C13_SAFE_0007,P0_COMPDEC_RECIFE_PKG_FR_REC_002,canais candidatos nao submetidos,true,false,guardrail_preserved_review_only,true
S17C13_SAFE_0008,P0_COMPDEC_RECIFE_PKG_FR_REC_002,canais ausentes bloqueados,true,false,guardrail_preserved_review_only,true
S17C13_SAFE_0009,P0_COMPDEC_RECIFE_PKG_FR_REC_002,score v6 intacto,true,false,guardrail_preserved_review_only,true
S17C13_SAFE_0010,P0_COMPDEC_RECIFE_PKG_FR_REC_002,score v7 inexistente,true,false,guardrail_preserved_review_only,true
S17C13_SAFE_0011,P0_COMPDEC_RECIFE_PKG_FR_REC_002,17B inelegivel,true,false,guardrail_preserved_review_only,true
S17C13_SAFE_0012,P0_DRM_RJ_PKG_FR_PET_001,nenhuma solicitacao enviada no build,true,false,guardrail_preserved_review_only,true
S17C13_SAFE_0013,P0_DRM_RJ_PKG_FR_PET_001,nenhum protocolo inventado,true,false,guardrail_preserved_review_only,true
S17C13_SAFE_0014,P0_DRM_RJ_PKG_FR_PET_001,nenhuma resposta inventada,true,false,guardrail_preserved_review_only,true
S17C13_SAFE_0015,P0_DRM_RJ_PKG_FR_PET_001,nenhum contato inventado,true,false,guardrail_preserved_review_only,true
S17C13_SAFE_0016,P0_DRM_RJ_PKG_FR_PET_001,nenhum efeito externo,true,false,guardrail_preserved_review_only,true
S17C13_SAFE_0017,P0_DRM_RJ_PKG_FR_PET_001,submit-assisted bloqueado sem opt-in,true,false,guardrail_preserved_review_only,true
S17C13_SAFE_0018,P0_DRM_RJ_PKG_FR_PET_001,canais candidatos nao submetidos,true,false,guardrail_preserved_review_only,true
S17C13_SAFE_0019,P0_DRM_RJ_PKG_FR_PET_001,canais ausentes bloqueados,true,false,guardrail_preserved_review_only,true
S17C13_SAFE_0020,P0_DRM_RJ_PKG_FR_PET_001,score v6 intacto,true,false,guardrail_preserved_review_only,true
S17C13_SAFE_0021,P0_DRM_RJ_PKG_FR_PET_001,score v7 inexistente,true,false,guardrail_preserved_review_only,true
S17C13_SAFE_0022,P0_DRM_RJ_PKG_FR_PET_001,17B inelegivel,true,false,guardrail_preserved_review_only,true
S17C13_SAFE_0023,P1_CHIRPS_PRE_EVENT_WINDOW_REC_2022_05_24_30,nenhuma solicitacao enviada no build,true,false,guardrail_preserved_review_only,true
S17C13_SAFE_0024,P1_CHIRPS_PRE_EVENT_WINDOW_REC_2022_05_24_30,nenhum protocolo inventado,true,false,guardrail_preserved_review_only,true
S17C13_SAFE_0025,P1_CHIRPS_PRE_EVENT_WINDOW_REC_2022_05_24_30,nenhuma resposta inventada,true,false,guardrail_preserved_review_only,true
S17C13_SAFE_0026,P1_CHIRPS_PRE_EVENT_WINDOW_REC_2022_05_24_30,nenhum contato inventado,true,false,guardrail_preserved_review_only,true
S17C13_SAFE_0027,P1_CHIRPS_PRE_EVENT_WINDOW_REC_2022_05_24_30,nenhum efeito externo,true,false,guardrail_preserved_review_only,true
S17C13_SAFE_0028,P1_CHIRPS_PRE_EVENT_WINDOW_REC_2022_05_24_30,submit-assisted bloqueado sem opt-in,true,false,guardrail_preserved_review_only,true
S17C13_SAFE_0029,P1_CHIRPS_PRE_EVENT_WINDOW_REC_2022_05_24_30,canais candidatos nao submetidos,true,false,guardrail_preserved_review_only,true
S17C13_SAFE_0030,P1_CHIRPS_PRE_EVENT_WINDOW_REC_2022_05_24_30,canais ausentes bloqueados,true,false,guardrail_preserved_review_only,true
S17C13_SAFE_0031,P1_CHIRPS_PRE_EVENT_WINDOW_REC_2022_05_24_30,score v6 intacto,true,false,guardrail_preserved_review_only,true
S17C13_SAFE_0032,P1_CHIRPS_PRE_EVENT_WINDOW_REC_2022_05_24_30,score v7 inexistente,true,false,guardrail_preserved_review_only,true
S17C13_SAFE_0033,P1_CHIRPS_PRE_EVENT_WINDOW_REC_2022_05_24_30,17B inelegivel,true,false,guardrail_preserved_review_only,true
S17C13_SAFE_0034,P1_DEM_HAND_DRAINAGE_COVERAGE_CANDIDATE_GRID,nenhuma solicitacao enviada no build,true,false,guardrail_preserved_review_only,true
S17C13_SAFE_0035,P1_DEM_HAND_DRAINAGE_COVERAGE_CANDIDATE_GRID,nenhum protocolo inventado,true,false,guardrail_preserved_review_only,true
S17C13_SAFE_0036,P1_DEM_HAND_DRAINAGE_COVERAGE_CANDIDATE_GRID,nenhuma resposta inventada,true,false,guardrail_preserved_review_only,true
S17C13_SAFE_0037,P1_DEM_HAND_DRAINAGE_COVERAGE_CANDIDATE_GRID,nenhum contato inventado,true,false,guardrail_preserved_review_only,true
S17C13_SAFE_0038,P1_DEM_HAND_DRAINAGE_COVERAGE_CANDIDATE_GRID,nenhum efeito externo,true,false,guardrail_preserved_review_only,true
S17C13_SAFE_0039,P1_DEM_HAND_DRAINAGE_COVERAGE_CANDIDATE_GRID,submit-assisted bloqueado sem opt-in,true,false,guardrail_preserved_review_only,true
S17C13_SAFE_0040,P1_DEM_HAND_DRAINAGE_COVERAGE_CANDIDATE_GRID,canais candidatos nao submetidos,true,false,guardrail_preserved_review_only,true
S17C13_SAFE_0041,P1_DEM_HAND_DRAINAGE_COVERAGE_CANDIDATE_GRID,canais ausentes bloqueados,true,false,guardrail_preserved_review_only,true
S17C13_SAFE_0042,P1_DEM_HAND_DRAINAGE_COVERAGE_CANDIDATE_GRID,score v6 intacto,true,false,guardrail_preserved_review_only,true
S17C13_SAFE_0043,P1_DEM_HAND_DRAINAGE_COVERAGE_CANDIDATE_GRID,score v7 inexistente,true,false,guardrail_preserved_review_only,true
S17C13_SAFE_0044,P1_DEM_HAND_DRAINAGE_COVERAGE_CANDIDATE_GRID,17B inelegivel,true,false,guardrail_preserved_review_only,true
S17C13_SAFE_0045,P1_PET_2024_VALPARAISO_FLORESTA_GEOMETRY,nenhuma solicitacao enviada no build,true,false,guardrail_preserved_review_only,true
S17C13_SAFE_0046,P1_PET_2024_VALPARAISO_FLORESTA_GEOMETRY,nenhum protocolo inventado,true,false,guardrail_preserved_review_only,true
S17C13_SAFE_0047,P1_PET_2024_VALPARAISO_FLORESTA_GEOMETRY,nenhuma resposta inventada,true,false,guardrail_preserved_review_only,true
S17C13_SAFE_0048,P1_PET_2024_VALPARAISO_FLORESTA_GEOMETRY,nenhum contato inventado,true,false,guardrail_preserved_review_only,true
