rainfall_trigger_feature_id,candidate_patch_id,event_id,feature_name,feature_value,feature_unit,temporal_window,source_dataset,source_manifest_id,feature_value_real,pre_event_only,temporal_leakage_risk,usable_for_science_now,blocking_reason,review_only,trainable,ground_truth
S17C18_RAINFEAT_0001,S17C6_CANARY_REC_00001,REC_2022_05_24_30,CHIRPS_3d,,mm,CHIRPS_3d,CHIRPS,not_available,false,true,false,false,sem artefato CHIRPS real com hash; feature de chuva antecedente nao calculada,true,false,false
S17C18_RAINFEAT_0002,S17C6_CANARY_REC_00001,REC_2022_05_24_30,CHIRPS_7d,,mm,CHIRPS_7d,CHIRPS,not_available,false,true,false,false,sem artefato CHIRPS real com hash; feature de chuva antecedente nao calculada,true,false,false
S17C18_RAINFEAT_0003,S17C6_CANARY_REC_00001,REC_2022_05_24_30,CHIRPS_30d,,mm,CHIRPS_30d,CHIRPS,not_available,false,true,false,false,sem artefato CHIRPS real com hash; feature de chuva antecedente nao calculada,true,false,false
S17C18_RAINFEAT_0004,S17C6_CANARY_REC_00002,REC_2022_05_24_30,CHIRPS_3d,,mm,CHIRPS_3d,CHIRPS,not_available,false,true,false,false,sem artefato CHIRPS real com hash; feature de chuva antecedente nao calculada,true,false,false
S17C18_RAINFEAT_0005,S17C6_CANARY_REC_00002,REC_2022_05_24_30,CHIRPS_7d,,mm,CHIRPS_7d,CHIRPS,not_available,false,true,false,false,sem artefato CHIRPS real com hash; feature de chuva antecedente nao calculada,true,false,false
S17C18_RAINFEAT_0006,S17C6_CANARY_REC_00002,REC_2022_05_24_30,CHIRPS_30d,,mm,CHIRPS_30d,CHIRPS,not_available,false,true,false,false,sem artefato CHIRPS real com hash; feature de chuva antecedente nao calculada,true,false,false
S17C18_RAINFEAT_0007,S17C6_CANARY_REC_00003,REC_2022_05_24_30,CHIRPS_3d,,mm,CHIRPS_3d,CHIRPS,not_available,false,true,false,false,sem artefato CHIRPS real com hash; feature de chuva antecedente nao calculada,true,false,false
S17C18_RAINFEAT_0008,S17C6_CANARY_REC_00003,REC_2022_05_24_30,CHIRPS_7d,,mm,CHIRPS_7d,CHIRPS,not_available,false,true,false,false,sem artefato CHIRPS real com hash; feature de chuva antecedente nao calculada,true,false,false
S17C18_RAINFEAT_0009,S17C6_CANARY_REC_00003,REC_2022_05_24_30,CHIRPS_30d,,mm,CHIRPS_30d,CHIRPS,not_available,false,true,false,false,sem artefato CHIRPS real com hash; feature de chuva antecedente nao calculada,true,false,false
S17C18_RAINFEAT_0010,S17C6_CANARY_REC_00004,REC_2022_05_24_30,CHIRPS_3d,,mm,CHIRPS_3d,CHIRPS,not_available,false,true,false,false,sem artefato CHIRPS real com hash; feature de chuva antecedente nao calculada,true,false,false
S17C18_RAINFEAT_0011,S17C6_CANARY_REC_00004,REC_2022_05_24_30,CHIRPS_7d,,mm,CHIRPS_7d,CHIRPS,not_available,false,true,false,false,sem artefato CHIRPS real com hash; feature de chuva antecedente nao calculada,true,false,false
S17C18_RAINFEAT_0012,S17C6_CANARY_REC_00004,REC_2022_05_24_30,CHIRPS_30d,,mm,CHIRPS_30d,CHIRPS,not_available,false,true,false,false,sem artefato CHIRPS real com hash; feature de chuva antecedente nao calculada,true,false,false
S17C18_RAINFEAT_0013,S17C6_CANARY_REC_00005,REC_2022_05_24_30,CHIRPS_3d,,mm,CHIRPS_3d,CHIRPS,not_available,false,true,false,false,sem artefato CHIRPS real com hash; feature de chuva antecedente nao calculada,true,false,false
S17C18_RAINFEAT_0014,S17C6_CANARY_REC_00005,REC_2022_05_24_30,CHIRPS_7d,,mm,CHIRPS_7d,CHIRPS,not_available,false,true,false,false,sem artefato CHIRPS real com hash; feature de chuva antecedente nao calculada,true,false,false
S17C18_RAINFEAT_0015,S17C6_CANARY_REC_00005,REC_2022_05_24_30,CHIRPS_30d,,mm,CHIRPS_30d,CHIRPS,not_available,false,true,false,false,sem artefato CHIRPS real com hash; feature de chuva antecedente nao calculada,true,false,false
