candidate_patch_id,scene_or_item_id,band_name,stat_name,stat_value
S17C6_CANARY_REC_00003,S2B_MSIL1C_20220601T124319_N0510_R009_T25MBM_20240612T164504.SAFE,B03,mean,2179.3275
S17C6_CANARY_REC_00003,S2B_MSIL1C_20220601T124319_N0510_R009_T25MBM_20240612T164504.SAFE,B03,min,1.0000
S17C6_CANARY_REC_00003,S2B_MSIL1C_20220601T124319_N0510_R009_T25MBM_20240612T164504.SAFE,B03,max,8216.0000
S17C6_CANARY_REC_00003,S2B_MSIL1C_20220601T124319_N0510_R009_T25MBM_20240612T164504.SAFE,B03,valid_pixel_count,9900
S17C6_CANARY_REC_00003,S2B_MSIL1C_20220601T124319_N0510_R009_T25MBM_20240612T164504.SAFE,B04,mean,2091.1654
S17C6_CANARY_REC_00003,S2B_MSIL1C_20220601T124319_N0510_R009_T25MBM_20240612T164504.SAFE,B04,min,1.0000
S17C6_CANARY_REC_00003,S2B_MSIL1C_20220601T124319_N0510_R009_T25MBM_20240612T164504.SAFE,B04,max,7752.0000
S17C6_CANARY_REC_00003,S2B_MSIL1C_20220601T124319_N0510_R009_T25MBM_20240612T164504.SAFE,B04,valid_pixel_count,9899
S17C6_CANARY_REC_00003,S2B_MSIL1C_20220601T124319_N0510_R009_T25MBM_20240612T164504.SAFE,B08,mean,3308.9855
S17C6_CANARY_REC_00003,S2B_MSIL1C_20220601T124319_N0510_R009_T25MBM_20240612T164504.SAFE,B08,min,380.0000
S17C6_CANARY_REC_00003,S2B_MSIL1C_20220601T124319_N0510_R009_T25MBM_20240612T164504.SAFE,B08,max,7328.0000
S17C6_CANARY_REC_00003,S2B_MSIL1C_20220601T124319_N0510_R009_T25MBM_20240612T164504.SAFE,B08,valid_pixel_count,9900
S17C6_CANARY_REC_00003,S2B_MSIL1C_20220601T124319_N0510_R009_T25MBM_20240612T164504.SAFE,B11,mean,3072.9276
S17C6_CANARY_REC_00003,S2B_MSIL1C_20220601T124319_N0510_R009_T25MBM_20240612T164504.SAFE,B11,min,755.0000
S17C6_CANARY_REC_00003,S2B_MSIL1C_20220601T124319_N0510_R009_T25MBM_20240612T164504.SAFE,B11,max,7077.0000
S17C6_CANARY_REC_00003,S2B_MSIL1C_20220601T124319_N0510_R009_T25MBM_20240612T164504.SAFE,B11,valid_pixel_count,9900
