replay_audit_id,artifact_manifest_id,artifact_phase,artifact_exists,sha256_matches,replay_without_network,derived_outputs_recreated,byte_identical_replay,blocking_reason,review_only
S17C21_REPLAY_0001,S17C20_MANIFEST_0001_A,pre_event,true,true,true,true,true,not_applicable,true
S17C21_REPLAY_0002,S17C20_MANIFEST_0001_B,pre_event,true,true,true,true,true,not_applicable,true
S17C21_REPLAY_0003,S17C20_MANIFEST_0001_C,pre_event,true,true,true,true,true,not_applicable,true
S17C21_REPLAY_0004,S17C20_MANIFEST_0002_A,pre_event,true,true,true,true,true,not_applicable,true
S17C21_REPLAY_0005,S17C20_MANIFEST_0002_B,pre_event,true,true,true,true,true,not_applicable,true
S17C21_REPLAY_0006,S17C20_MANIFEST_0002_C,pre_event,true,true,true,true,true,not_applicable,true
S17C21_REPLAY_0007,S17C20_MANIFEST_0003_A,pre_event,true,true,true,true,true,not_applicable,true
S17C21_REPLAY_0008,S17C20_MANIFEST_0003_B,pre_event,true,true,true,true,true,not_applicable,true
S17C21_REPLAY_0009,S17C20_MANIFEST_0003_C,pre_event,true,true,true,true,true,not_applicable,true
S17C21_REPLAY_0010,S17C20_MANIFEST_0004_A,pre_event,true,true,true,true,true,not_applicable,true
S17C21_REPLAY_0011,S17C20_MANIFEST_0004_B,pre_event,true,true,true,true,true,not_applicable,true
S17C21_REPLAY_0012,S17C20_MANIFEST_0004_C,pre_event,true,true,true,true,true,not_applicable,true
S17C21_REPLAY_0013,S17C20_MANIFEST_0005_A,pre_event,true,true,true,true,true,not_applicable,true
S17C21_REPLAY_0014,S17C20_MANIFEST_0005_B,pre_event,true,true,true,true,true,not_applicable,true
S17C21_REPLAY_0015,S17C20_MANIFEST_0005_C,pre_event,true,true,true,true,true,not_applicable,true
S17C21_REPLAY_0016,S17C21_POSTMANIFEST_0001_A,post_event,true,true,true,true,true,not_applicable,true
S17C21_REPLAY_0017,S17C21_POSTMANIFEST_0001_B,post_event,true,true,true,true,true,not_applicable,true
S17C21_REPLAY_0018,S17C21_POSTMANIFEST_0001_C,post_event,true,true,true,true,true,not_applicable,true
S17C21_REPLAY_0019,S17C21_POSTMANIFEST_0002_A,post_event,true,true,true,true,true,not_applicable,true
S17C21_REPLAY_0020,S17C21_POSTMANIFEST_0002_B,post_event,true,true,true,true,true,not_applicable,true
S17C21_REPLAY_0021,S17C21_POSTMANIFEST_0002_C,post_event,true,true,true,true,true,not_applicable,true
S17C21_REPLAY_0022,S17C21_POSTMANIFEST_0003_A,post_event,true,true,true,true,true,not_applicable,true
S17C21_REPLAY_0023,S17C21_POSTMANIFEST_0003_B,post_event,true,true,true,true,true,not_applicable,true
S17C21_REPLAY_0024,S17C21_POSTMANIFEST_0003_C,post_event,true,true,true,true,true,not_applicable,true
S17C21_REPLAY_0025,S17C21_POSTMANIFEST_0004_A,post_event,true,true,true,true,true,not_applicable,true
S17C21_REPLAY_0026,S17C21_POSTMANIFEST_0004_B,post_event,true,true,true,true,true,not_applicable,true
S17C21_REPLAY_0027,S17C21_POSTMANIFEST_0004_C,post_event,true,true,true,true,true,not_applicable,true
S17C21_REPLAY_0028,S17C21_POSTMANIFEST_0005_A,post_event,true,true,true,true,true,not_applicable,true
S17C21_REPLAY_0029,S17C21_POSTMANIFEST_0005_B,post_event,true,true,true,true,true,not_applicable,true
S17C21_REPLAY_0030,S17C21_POSTMANIFEST_0005_C,post_event,true,true,true,true,true,not_applicable,true
