provenance_trace_id,candidate_patch_id,event_id,object_type,feature_or_delta_name,source_scene_or_item_id,source_artifact_manifest_id,artifact_path,sha256,source_role,sensor_or_dataset,temporal_role,processing_chain,replay_status,review_only,trainable,ground_truth
S17C22_PROV_0001,S17C6_CANARY_REC_00001,REC_2022_05_24_30,pre_event_sensor_feature,B03_mean,S2A_MSIL1C_20220427T124321_N0510_R009_T25MBM_20240604T235122.SAFE,S17C20_MANIFEST_0001_A,outputs_public/suscetibilidade/susc_17c20_light_artifacts/s17c6_canary_rec_00001_band_stats.csv,cf759e32de74356dca25235b3398276e64ea8f9b8bdba4e04615311e498341a2,materialization_fallback,SENTINEL-2,pre_event,17c20_cog_window_read->band_index_stats,true,true,false,false
S17C22_PROV_0002,S17C6_CANARY_REC_00001,REC_2022_05_24_30,pre_event_sensor_feature,B04_mean,S2A_MSIL1C_20220427T124321_N0510_R009_T25MBM_20240604T235122.SAFE,S17C20_MANIFEST_0001_A,outputs_public/suscetibilidade/susc_17c20_light_artifacts/s17c6_canary_rec_00001_band_stats.csv,cf759e32de74356dca25235b3398276e64ea8f9b8bdba4e04615311e498341a2,materialization_fallback,SENTINEL-2,pre_event,17c20_cog_window_read->band_index_stats,true,true,false,false
S17C22_PROV_0003,S17C6_CANARY_REC_00001,REC_2022_05_24_30,pre_event_sensor_feature,B08_mean,S2A_MSIL1C_20220427T124321_N0510_R009_T25MBM_20240604T235122.SAFE,S17C20_MANIFEST_0001_A,outputs_public/suscetibilidade/susc_17c20_light_artifacts/s17c6_canary_rec_00001_band_stats.csv,cf759e32de74356dca25235b3398276e64ea8f9b8bdba4e04615311e498341a2,materialization_fallback,SENTINEL-2,pre_event,17c20_cog_window_read->band_index_stats,true,true,false,false
S17C22_PROV_0004,S17C6_CANARY_REC_00001,REC_2022_05_24_30,pre_event_sensor_feature,B11_mean,S2A_MSIL1C_20220427T124321_N0510_R009_T25MBM_20240604T235122.SAFE,S17C20_MANIFEST_0001_A,outputs_public/suscetibilidade/susc_17c20_light_artifacts/s17c6_canary_rec_00001_band_stats.csv,cf759e32de74356dca25235b3398276e64ea8f9b8bdba4e04615311e498341a2,materialization_fallback,SENTINEL-2,pre_event,17c20_cog_window_read->band_index_stats,true,true,false,false
S17C22_PROV_0005,S17C6_CANARY_REC_00001,REC_2022_05_24_30,pre_event_sensor_feature,NDVI_mean,S2A_MSIL1C_20220427T124321_N0510_R009_T25MBM_20240604T235122.SAFE,S17C20_MANIFEST_0001_A,outputs_public/suscetibilidade/susc_17c20_light_artifacts/s17c6_canary_rec_00001_band_stats.csv,cf759e32de74356dca25235b3398276e64ea8f9b8bdba4e04615311e498341a2,materialization_fallback,SENTINEL-2,pre_event,17c20_cog_window_read->band_index_stats,true,true,false,false
S17C22_PROV_0006,S17C6_CANARY_REC_00001,REC_2022_05_24_30,pre_event_sensor_feature,NDWI_mean,S2A_MSIL1C_20220427T124321_N0510_R009_T25MBM_20240604T235122.SAFE,S17C20_MANIFEST_0001_A,outputs_public/suscetibilidade/susc_17c20_light_artifacts/s17c6_canary_rec_00001_band_stats.csv,cf759e32de74356dca25235b3398276e64ea8f9b8bdba4e04615311e498341a2,materialization_fallback,SENTINEL-2,pre_event,17c20_cog_window_read->band_index_stats,true,true,false,false
S17C22_PROV_0007,S17C6_CANARY_REC_00001,REC_2022_05_24_30,pre_event_sensor_feature,MNDWI_mean,S2A_MSIL1C_20220427T124321_N0510_R009_T25MBM_20240604T235122.SAFE,S17C20_MANIFEST_0001_A,outputs_public/suscetibilidade/susc_17c20_light_artifacts/s17c6_canary_rec_00001_band_stats.csv,cf759e32de74356dca25235b3398276e64ea8f9b8bdba4e04615311e498341a2,materialization_fallback,SENTINEL-2,pre_event,17c20_cog_window_read->band_index_stats,true,true,false,false
S17C22_PROV_0008,S17C6_CANARY_REC_00001,REC_2022_05_24_30,pre_event_sensor_feature,NDBI_mean,S2A_MSIL1C_20220427T124321_N0510_R009_T25MBM_20240604T235122.SAFE,S17C20_MANIFEST_0001_A,outputs_public/suscetibilidade/susc_17c20_light_artifacts/s17c6_canary_rec_00001_band_stats.csv,cf759e32de74356dca25235b3398276e64ea8f9b8bdba4e04615311e498341a2,materialization_fallback,SENTINEL-2,pre_event,17c20_cog_window_read->band_index_stats,true,true,false,false
S17C22_PROV_0009,S17C6_CANARY_REC_00002,REC_2022_05_24_30,pre_event_sensor_feature,B03_mean,S2A_MSIL1C_20220427T124321_N0510_R009_T25MBM_20240604T235122.SAFE,S17C20_MANIFEST_0002_A,outputs_public/suscetibilidade/susc_17c20_light_artifacts/s17c6_canary_rec_00002_band_stats.csv,ac5f4af8bdc64e9e60a7bdcc34bf7853851781d8d486b5357e8afff3f70ed19f,materialization_fallback,SENTINEL-2,pre_event,17c20_cog_window_read->band_index_stats,true,true,false,false
S17C22_PROV_0010,S17C6_CANARY_REC_00002,REC_2022_05_24_30,pre_event_sensor_feature,B04_mean,S2A_MSIL1C_20220427T124321_N0510_R009_T25MBM_20240604T235122.SAFE,S17C20_MANIFEST_0002_A,outputs_public/suscetibilidade/susc_17c20_light_artifacts/s17c6_canary_rec_00002_band_stats.csv,ac5f4af8bdc64e9e60a7bdcc34bf7853851781d8d486b5357e8afff3f70ed19f,materialization_fallback,SENTINEL-2,pre_event,17c20_cog_window_read->band_index_stats,true,true,false,false
S17C22_PROV_0011,S17C6_CANARY_REC_00002,REC_2022_05_24_30,pre_event_sensor_feature,B08_mean,S2A_MSIL1C_20220427T124321_N0510_R009_T25MBM_20240604T235122.SAFE,S17C20_MANIFEST_0002_A,outputs_public/suscetibilidade/susc_17c20_light_artifacts/s17c6_canary_rec_00002_band_stats.csv,ac5f4af8bdc64e9e60a7bdcc34bf7853851781d8d486b5357e8afff3f70ed19f,materialization_fallback,SENTINEL-2,pre_event,17c20_cog_window_read->band_index_stats,true,true,false,false
S17C22_PROV_0012,S17C6_CANARY_REC_00002,REC_2022_05_24_30,pre_event_sensor_feature,B11_mean,S2A_MSIL1C_20220427T124321_N0510_R009_T25MBM_20240604T235122.SAFE,S17C20_MANIFEST_0002_A,outputs_public/suscetibilidade/susc_17c20_light_artifacts/s17c6_canary_rec_00002_band_stats.csv,ac5f4af8bdc64e9e60a7bdcc34bf7853851781d8d486b5357e8afff3f70ed19f,materialization_fallback,SENTINEL-2,pre_event,17c20_cog_window_read->band_index_stats,true,true,false,false
S17C22_PROV_0013,S17C6_CANARY_REC_00002,REC_2022_05_24_30,pre_event_sensor_feature,NDVI_mean,S2A_MSIL1C_20220427T124321_N0510_R009_T25MBM_20240604T235122.SAFE,S17C20_MANIFEST_0002_A,outputs_public/suscetibilidade/susc_17c20_light_artifacts/s17c6_canary_rec_00002_band_stats.csv,ac5f4af8bdc64e9e60a7bdcc34bf7853851781d8d486b5357e8afff3f70ed19f,materialization_fallback,SENTINEL-2,pre_event,17c20_cog_window_read->band_index_stats,true,true,false,false
S17C22_PROV_0014,S17C6_CANARY_REC_00002,REC_2022_05_24_30,pre_event_sensor_feature,NDWI_mean,S2A_MSIL1C_20220427T124321_N0510_R009_T25MBM_20240604T235122.SAFE,S17C20_MANIFEST_0002_A,outputs_public/suscetibilidade/susc_17c20_light_artifacts/s17c6_canary_rec_00002_band_stats.csv,ac5f4af8bdc64e9e60a7bdcc34bf7853851781d8d486b5357e8afff3f70ed19f,materialization_fallback,SENTINEL-2,pre_event,17c20_cog_window_read->band_index_stats,true,true,false,false
S17C22_PROV_0015,S17C6_CANARY_REC_00002,REC_2022_05_24_30,pre_event_sensor_feature,MNDWI_mean,S2A_MSIL1C_20220427T124321_N0510_R009_T25MBM_20240604T235122.SAFE,S17C20_MANIFEST_0002_A,outputs_public/suscetibilidade/susc_17c20_light_artifacts/s17c6_canary_rec_00002_band_stats.csv,ac5f4af8bdc64e9e60a7bdcc34bf7853851781d8d486b5357e8afff3f70ed19f,materialization_fallback,SENTINEL-2,pre_event,17c20_cog_window_read->band_index_stats,true,true,false,false
S17C22_PROV_0016,S17C6_CANARY_REC_00002,REC_2022_05_24_30,pre_event_sensor_feature,NDBI_mean,S2A_MSIL1C_20220427T124321_N0510_R009_T25MBM_20240604T235122.SAFE,S17C20_MANIFEST_0002_A,outputs_public/suscetibilidade/susc_17c20_light_artifacts/s17c6_canary_rec_00002_band_stats.csv,ac5f4af8bdc64e9e60a7bdcc34bf7853851781d8d486b5357e8afff3f70ed19f,materialization_fallback,SENTINEL-2,pre_event,17c20_cog_window_read->band_index_stats,true,true,false,false
S17C22_PROV_0017,S17C6_CANARY_REC_00003,REC_2022_05_24_30,pre_event_sensor_feature,B03_mean,S2A_MSIL1C_20220427T124321_N0510_R009_T25MBM_20240604T235122.SAFE,S17C20_MANIFEST_0003_A,outputs_public/suscetibilidade/susc_17c20_light_artifacts/s17c6_canary_rec_00003_band_stats.csv,31b5a63add93f462839b8691eb4643884fe11a42d576a6fa6f1e29ae05b52ed7,materialization_fallback,SENTINEL-2,pre_event,17c20_cog_window_read->band_index_stats,true,true,false,false
S17C22_PROV_0018,S17C6_CANARY_REC_00003,REC_2022_05_24_30,pre_event_sensor_feature,B04_mean,S2A_MSIL1C_20220427T124321_N0510_R009_T25MBM_20240604T235122.SAFE,S17C20_MANIFEST_0003_A,outputs_public/suscetibilidade/susc_17c20_light_artifacts/s17c6_canary_rec_00003_band_stats.csv,31b5a63add93f462839b8691eb4643884fe11a42d576a6fa6f1e29ae05b52ed7,materialization_fallback,SENTINEL-2,pre_event,17c20_cog_window_read->band_index_stats,true,true,false,false
S17C22_PROV_0019,S17C6_CANARY_REC_00003,REC_2022_05_24_30,pre_event_sensor_feature,B08_mean,S2A_MSIL1C_20220427T124321_N0510_R009_T25MBM_20240604T235122.SAFE,S17C20_MANIFEST_0003_A,outputs_public/suscetibilidade/susc_17c20_light_artifacts/s17c6_canary_rec_00003_band_stats.csv,31b5a63add93f462839b8691eb4643884fe11a42d576a6fa6f1e29ae05b52ed7,materialization_fallback,SENTINEL-2,pre_event,17c20_cog_window_read->band_index_stats,true,true,false,false
S17C22_PROV_0020,S17C6_CANARY_REC_00003,REC_2022_05_24_30,pre_event_sensor_feature,B11_mean,S2A_MSIL1C_20220427T124321_N0510_R009_T25MBM_20240604T235122.SAFE,S17C20_MANIFEST_0003_A,outputs_public/suscetibilidade/susc_17c20_light_artifacts/s17c6_canary_rec_00003_band_stats.csv,31b5a63add93f462839b8691eb4643884fe11a42d576a6fa6f1e29ae05b52ed7,materialization_fallback,SENTINEL-2,pre_event,17c20_cog_window_read->band_index_stats,true,true,false,false
S17C22_PROV_0021,S17C6_CANARY_REC_00003,REC_2022_05_24_30,pre_event_sensor_feature,NDVI_mean,S2A_MSIL1C_20220427T124321_N0510_R009_T25MBM_20240604T235122.SAFE,S17C20_MANIFEST_0003_A,outputs_public/suscetibilidade/susc_17c20_light_artifacts/s17c6_canary_rec_00003_band_stats.csv,31b5a63add93f462839b8691eb4643884fe11a42d576a6fa6f1e29ae05b52ed7,materialization_fallback,SENTINEL-2,pre_event,17c20_cog_window_read->band_index_stats,true,true,false,false
S17C22_PROV_0022,S17C6_CANARY_REC_00003,REC_2022_05_24_30,pre_event_sensor_feature,NDWI_mean,S2A_MSIL1C_20220427T124321_N0510_R009_T25MBM_20240604T235122.SAFE,S17C20_MANIFEST_0003_A,outputs_public/suscetibilidade/susc_17c20_light_artifacts/s17c6_canary_rec_00003_band_stats.csv,31b5a63add93f462839b8691eb4643884fe11a42d576a6fa6f1e29ae05b52ed7,materialization_fallback,SENTINEL-2,pre_event,17c20_cog_window_read->band_index_stats,true,true,false,false
S17C22_PROV_0023,S17C6_CANARY_REC_00003,REC_2022_05_24_30,pre_event_sensor_feature,MNDWI_mean,S2A_MSIL1C_20220427T124321_N0510_R009_T25MBM_20240604T235122.SAFE,S17C20_MANIFEST_0003_A,outputs_public/suscetibilidade/susc_17c20_light_artifacts/s17c6_canary_rec_00003_band_stats.csv,31b5a63add93f462839b8691eb4643884fe11a42d576a6fa6f1e29ae05b52ed7,materialization_fallback,SENTINEL-2,pre_event,17c20_cog_window_read->band_index_stats,true,true,false,false
S17C22_PROV_0024,S17C6_CANARY_REC_00003,REC_2022_05_24_30,pre_event_sensor_feature,NDBI_mean,S2A_MSIL1C_20220427T124321_N0510_R009_T25MBM_20240604T235122.SAFE,S17C20_MANIFEST_0003_A,outputs_public/suscetibilidade/susc_17c20_light_artifacts/s17c6_canary_rec_00003_band_stats.csv,31b5a63add93f462839b8691eb4643884fe11a42d576a6fa6f1e29ae05b52ed7,materialization_fallback,SENTINEL-2,pre_event,17c20_cog_window_read->band_index_stats,true,true,false,false
S17C22_PROV_0025,S17C6_CANARY_REC_00004,REC_2022_05_24_30,pre_event_sensor_feature,B03_mean,S2A_MSIL1C_20220427T124321_N0510_R009_T25MBM_20240604T235122.SAFE,S17C20_MANIFEST_0004_A,outputs_public/suscetibilidade/susc_17c20_light_artifacts/s17c6_canary_rec_00004_band_stats.csv,ff7454e1173da7ad5812970c388496a704c73c287993c9857114c007f4cb0508,materialization_fallback,SENTINEL-2,pre_event,17c20_cog_window_read->band_index_stats,true,true,false,false
