no_leakage_audit_id,candidate_patch_id,event_id,object_id,object_type,uses_pre_event_data_only_for_sensor_feature,uses_post_event_as_pre_event_feature,uses_delta_as_training_label,uses_ground_reference_as_feature,uses_synthetic_as_real,passes_no_leakage,blocking_reason,review_only
S17C22_LEAK_0001,S17C6_CANARY_REC_00001,REC_2022_05_24_30,S17C22_FEATACC_0001,pre_event_sensor_feature,true,false,false,false,false,true,feature pre-evento review-only sem vazamento,true
S17C22_LEAK_0002,S17C6_CANARY_REC_00001,REC_2022_05_24_30,S17C22_FEATACC_0002,pre_event_sensor_feature,true,false,false,false,false,true,feature pre-evento review-only sem vazamento,true
S17C22_LEAK_0003,S17C6_CANARY_REC_00001,REC_2022_05_24_30,S17C22_FEATACC_0003,pre_event_sensor_feature,true,false,false,false,false,true,feature pre-evento review-only sem vazamento,true
S17C22_LEAK_0004,S17C6_CANARY_REC_00001,REC_2022_05_24_30,S17C22_FEATACC_0004,pre_event_sensor_feature,true,false,false,false,false,true,feature pre-evento review-only sem vazamento,true
S17C22_LEAK_0005,S17C6_CANARY_REC_00001,REC_2022_05_24_30,S17C22_FEATACC_0005,pre_event_sensor_feature,true,false,false,false,false,true,feature pre-evento review-only sem vazamento,true
S17C22_LEAK_0006,S17C6_CANARY_REC_00001,REC_2022_05_24_30,S17C22_FEATACC_0006,pre_event_sensor_feature,true,false,false,false,false,true,feature pre-evento review-only sem vazamento,true
S17C22_LEAK_0007,S17C6_CANARY_REC_00001,REC_2022_05_24_30,S17C22_FEATACC_0007,pre_event_sensor_feature,true,false,false,false,false,true,feature pre-evento review-only sem vazamento,true
S17C22_LEAK_0008,S17C6_CANARY_REC_00001,REC_2022_05_24_30,S17C22_FEATACC_0008,pre_event_sensor_feature,true,false,false,false,false,true,feature pre-evento review-only sem vazamento,true
S17C22_LEAK_0009,S17C6_CANARY_REC_00002,REC_2022_05_24_30,S17C22_FEATACC_0009,pre_event_sensor_feature,true,false,false,false,false,true,feature pre-evento review-only sem vazamento,true
S17C22_LEAK_0010,S17C6_CANARY_REC_00002,REC_2022_05_24_30,S17C22_FEATACC_0010,pre_event_sensor_feature,true,false,false,false,false,true,feature pre-evento review-only sem vazamento,true
