delta_acceptance_id,candidate_patch_id,event_id,feature_name,pre_event_value,post_event_value,delta_value,pre_event_manifest_id,post_event_manifest_id,delta_value_real,pre_hash_verified,post_hash_verified,usable_as_observational_change_review_only,usable_as_pre_event_feature,usable_for_training,ground_truth,acceptance_status,blocking_reason,review_only
S17C22_DELTAACC_0001,S17C6_CANARY_REC_00001,REC_2022_05_24_30,B03_mean,8711.7923,2949.6863,-5762.1060,S17C20_MANIFEST_0001_A,S17C21_POSTMANIFEST_0001_A,true,true,true,true,false,false,false,accepted_observational_change_review_only,not_applicable,true
S17C22_DELTAACC_0002,S17C6_CANARY_REC_00001,REC_2022_05_24_30,B04_mean,8289.8744,2741.9776,-5547.8968,S17C20_MANIFEST_0001_A,S17C21_POSTMANIFEST_0001_A,true,true,true,true,false,false,false,accepted_observational_change_review_only,not_applicable,true
S17C22_DELTAACC_0003,S17C6_CANARY_REC_00001,REC_2022_05_24_30,B08_mean,8100.6465,4269.2665,-3831.3800,S17C20_MANIFEST_0001_A,S17C21_POSTMANIFEST_0001_A,true,true,true,true,false,false,false,accepted_observational_change_review_only,not_applicable,true
S17C22_DELTAACC_0004,S17C6_CANARY_REC_00001,REC_2022_05_24_30,B11_mean,4715.6627,3565.2778,-1150.3849,S17C20_MANIFEST_0001_A,S17C21_POSTMANIFEST_0001_A,true,true,true,true,false,false,false,accepted_observational_change_review_only,not_applicable,true
S17C22_DELTAACC_0005,S17C6_CANARY_REC_00001,REC_2022_05_24_30,NDVI_mean,0.001421,0.246105,0.244684,S17C20_MANIFEST_0001_A,S17C21_POSTMANIFEST_0001_A,true,true,true,true,false,false,false,accepted_observational_change_review_only,not_applicable,true
S17C22_DELTAACC_0006,S17C6_CANARY_REC_00001,REC_2022_05_24_30,NDWI_mean,0.025447,-0.211775,-0.237222,S17C20_MANIFEST_0001_A,S17C21_POSTMANIFEST_0001_A,true,true,true,true,false,false,false,accepted_observational_change_review_only,not_applicable,true
S17C22_DELTAACC_0007,S17C6_CANARY_REC_00001,REC_2022_05_24_30,MNDWI_mean,0.272481,-0.125697,-0.398178,S17C20_MANIFEST_0001_A,S17C21_POSTMANIFEST_0001_A,true,true,true,true,false,false,false,accepted_observational_change_review_only,not_applicable,true
S17C22_DELTAACC_0008,S17C6_CANARY_REC_00001,REC_2022_05_24_30,NDBI_mean,-0.250239,-0.090045,0.160194,S17C20_MANIFEST_0001_A,S17C21_POSTMANIFEST_0001_A,true,true,true,true,false,false,false,accepted_observational_change_review_only,not_applicable,true
S17C22_DELTAACC_0009,S17C6_CANARY_REC_00002,REC_2022_05_24_30,B03_mean,9271.3730,2244.5569,-7026.8161,S17C20_MANIFEST_0002_A,S17C21_POSTMANIFEST_0002_A,true,true,true,true,false,false,false,accepted_observational_change_review_only,not_applicable,true
S17C22_DELTAACC_0010,S17C6_CANARY_REC_00002,REC_2022_05_24_30,B04_mean,8917.5982,2045.0295,-6872.5687,S17C20_MANIFEST_0002_A,S17C21_POSTMANIFEST_0002_A,true,true,true,true,false,false,false,accepted_observational_change_review_only,not_applicable,true
