gate_eval_id,object_id,object_type,G1_existencia_documental,G2_confiabilidade_fonte,G3_precisao_temporal,G4_vinculo_espacial_evento,G5_separacao_fenomeno,G6_proveniencia_integridade,G7_anti_leakage,all_gates_passed_for_ground_reference,usable_as_scientific_review_only_sensor_feature,usable_as_observational_change_review_only,acceptance_status,blocking_reason,review_only,trainable,ground_truth
S17C23_GATE_0001,S17C23_SCIFEAT_0001,scientific_review_only_sensor_feature,true,true,true,false,false,true,true,false,true,false,accepted_scientific_review_only_sensor_feature,"feature sensorial cientifica review-only; nao e evento observado, nao vira Ground Reference",true,false,false
S17C23_GATE_0002,S17C23_SCIFEAT_0002,scientific_review_only_sensor_feature,true,true,true,false,false,true,true,false,true,false,accepted_scientific_review_only_sensor_feature,"feature sensorial cientifica review-only; nao e evento observado, nao vira Ground Reference",true,false,false
S17C23_GATE_0003,S17C23_SCIFEAT_0003,scientific_review_only_sensor_feature,true,true,true,false,false,true,true,false,true,false,accepted_scientific_review_only_sensor_feature,"feature sensorial cientifica review-only; nao e evento observado, nao vira Ground Reference",true,false,false
S17C23_GATE_0004,S17C23_SCIFEAT_0004,scientific_review_only_sensor_feature,true,true,true,false,false,true,true,false,true,false,accepted_scientific_review_only_sensor_feature,"feature sensorial cientifica review-only; nao e evento observado, nao vira Ground Reference",true,false,false
S17C23_GATE_0005,S17C23_SCIFEAT_0005,scientific_review_only_sensor_feature,true,true,true,false,false,true,true,false,true,false,accepted_scientific_review_only_sensor_feature,"feature sensorial cientifica review-only; nao e evento observado, nao vira Ground Reference",true,false,false
S17C23_GATE_0006,S17C23_SCIFEAT_0006,scientific_review_only_sensor_feature,true,true,true,false,false,true,true,false,true,false,accepted_scientific_review_only_sensor_feature,"feature sensorial cientifica review-only; nao e evento observado, nao vira Ground Reference",true,false,false
S17C23_GATE_0007,S17C23_SCIFEAT_0007,scientific_review_only_sensor_feature,true,true,true,false,false,true,true,false,true,false,accepted_scientific_review_only_sensor_feature,"feature sensorial cientifica review-only; nao e evento observado, nao vira Ground Reference",true,false,false
S17C23_GATE_0008,S17C23_SCIFEAT_0008,scientific_review_only_sensor_feature,true,true,true,false,false,true,true,false,true,false,accepted_scientific_review_only_sensor_feature,"feature sensorial cientifica review-only; nao e evento observado, nao vira Ground Reference",true,false,false
S17C23_GATE_0009,S17C23_SCIFEAT_0009,scientific_review_only_sensor_feature,true,true,true,false,false,true,true,false,true,false,accepted_scientific_review_only_sensor_feature,"feature sensorial cientifica review-only; nao e evento observado, nao vira Ground Reference",true,false,false
S17C23_GATE_0010,S17C23_SCIFEAT_0010,scientific_review_only_sensor_feature,true,true,true,false,false,true,true,false,true,false,accepted_scientific_review_only_sensor_feature,"feature sensorial cientifica review-only; nao e evento observado, nao vira Ground Reference",true,false,false
S17C23_GATE_0011,S17C23_SCIFEAT_0011,scientific_review_only_sensor_feature,true,true,true,false,false,true,true,false,true,false,accepted_scientific_review_only_sensor_feature,"feature sensorial cientifica review-only; nao e evento observado, nao vira Ground Reference",true,false,false
S17C23_GATE_0012,S17C23_SCIFEAT_0012,scientific_review_only_sensor_feature,true,true,true,false,false,true,true,false,true,false,accepted_scientific_review_only_sensor_feature,"feature sensorial cientifica review-only; nao e evento observado, nao vira Ground Reference",true,false,false
S17C23_GATE_0013,S17C23_SCIFEAT_0013,scientific_review_only_sensor_feature,true,true,true,false,false,true,true,false,true,false,accepted_scientific_review_only_sensor_feature,"feature sensorial cientifica review-only; nao e evento observado, nao vira Ground Reference",true,false,false
S17C23_GATE_0014,S17C23_SCIFEAT_0014,scientific_review_only_sensor_feature,true,true,true,false,false,true,true,false,true,false,accepted_scientific_review_only_sensor_feature,"feature sensorial cientifica review-only; nao e evento observado, nao vira Ground Reference",true,false,false
S17C23_GATE_0015,S17C23_SCIFEAT_0015,scientific_review_only_sensor_feature,true,true,true,false,false,true,true,false,true,false,accepted_scientific_review_only_sensor_feature,"feature sensorial cientifica review-only; nao e evento observado, nao vira Ground Reference",true,false,false
S17C23_GATE_0016,S17C23_SCIFEAT_0016,scientific_review_only_sensor_feature,true,true,true,false,false,true,true,false,true,false,accepted_scientific_review_only_sensor_feature,"feature sensorial cientifica review-only; nao e evento observado, nao vira Ground Reference",true,false,false
S17C23_GATE_0017,S17C23_SCIFEAT_0017,scientific_review_only_sensor_feature,true,true,true,false,false,true,true,false,true,false,accepted_scientific_review_only_sensor_feature,"feature sensorial cientifica review-only; nao e evento observado, nao vira Ground Reference",true,false,false
S17C23_GATE_0018,S17C23_SCIFEAT_0018,scientific_review_only_sensor_feature,true,true,true,false,false,true,true,false,true,false,accepted_scientific_review_only_sensor_feature,"feature sensorial cientifica review-only; nao e evento observado, nao vira Ground Reference",true,false,false
S17C23_GATE_0019,S17C23_SCIFEAT_0019,scientific_review_only_sensor_feature,true,true,true,false,false,true,true,false,true,false,accepted_scientific_review_only_sensor_feature,"feature sensorial cientifica review-only; nao e evento observado, nao vira Ground Reference",true,false,false
S17C23_GATE_0020,S17C23_SCIFEAT_0020,scientific_review_only_sensor_feature,true,true,true,false,false,true,true,false,true,false,accepted_scientific_review_only_sensor_feature,"feature sensorial cientifica review-only; nao e evento observado, nao vira Ground Reference",true,false,false
