scene_index_stat_id,candidate_patch_id,scene_or_item_id,scene_date,index_name,stat_name,stat_value,cloud_cover,source_artifact_manifest_id,feature_value_real,pre_event_only,review_only,trainable,ground_truth
S17C24_SINDEX_0001,S17C6_CANARY_REC_00001,S2A_MSIL1C_20220427T124321_N0510_R009_T25MBM_20240604T235122.SAFE,2022-04-27,NDVI,mean,0.001421,60.5460,S17C24_MANIFEST_0001_A,true,true,true,false,false
S17C24_SINDEX_0002,S17C6_CANARY_REC_00001,S2A_MSIL1C_20220427T124321_N0510_R009_T25MBM_20240604T235122.SAFE,2022-04-27,NDVI,min,-0.144588,60.5460,S17C24_MANIFEST_0001_A,true,true,true,false,false
S17C24_SINDEX_0003,S17C6_CANARY_REC_00001,S2A_MSIL1C_20220427T124321_N0510_R009_T25MBM_20240604T235122.SAFE,2022-04-27,NDVI,max,0.548544,60.5460,S17C24_MANIFEST_0001_A,true,true,true,false,false
S17C24_SINDEX_0004,S17C6_CANARY_REC_00001,S2A_MSIL1C_20220427T124321_N0510_R009_T25MBM_20240604T235122.SAFE,2022-04-27,NDWI,mean,0.025447,60.5460,S17C24_MANIFEST_0001_A,true,true,true,false,false
S17C24_SINDEX_0005,S17C6_CANARY_REC_00001,S2A_MSIL1C_20220427T124321_N0510_R009_T25MBM_20240604T235122.SAFE,2022-04-27,NDWI,min,-0.431563,60.5460,S17C24_MANIFEST_0001_A,true,true,true,false,false
S17C24_SINDEX_0006,S17C6_CANARY_REC_00001,S2A_MSIL1C_20220427T124321_N0510_R009_T25MBM_20240604T235122.SAFE,2022-04-27,NDWI,max,0.073324,60.5460,S17C24_MANIFEST_0001_A,true,true,true,false,false
S17C24_SINDEX_0007,S17C6_CANARY_REC_00001,S2A_MSIL1C_20220427T124321_N0510_R009_T25MBM_20240604T235122.SAFE,2022-04-27,MNDWI,mean,0.272481,60.5460,S17C24_MANIFEST_0001_A,true,true,true,false,false
S17C24_SINDEX_0008,S17C6_CANARY_REC_00001,S2A_MSIL1C_20220427T124321_N0510_R009_T25MBM_20240604T235122.SAFE,2022-04-27,MNDWI,min,-0.256424,60.5460,S17C24_MANIFEST_0001_A,true,true,true,false,false
S17C24_SINDEX_0009,S17C6_CANARY_REC_00001,S2A_MSIL1C_20220427T124321_N0510_R009_T25MBM_20240604T235122.SAFE,2022-04-27,MNDWI,max,0.533075,60.5460,S17C24_MANIFEST_0001_A,true,true,true,false,false
S17C24_SINDEX_0010,S17C6_CANARY_REC_00001,S2A_MSIL1C_20220427T124321_N0510_R009_T25MBM_20240604T235122.SAFE,2022-04-27,NDBI,mean,-0.250239,60.5460,S17C24_MANIFEST_0001_A,true,true,true,false,false
