date,precip_mm
2022-04-24,0.0000
2022-04-25,71.6286
2022-04-26,0.0000
2022-04-27,0.0000
2022-04-28,0.0000
2022-04-29,0.0000
2022-04-30,0.0000
2022-05-01,0.0000
2022-05-02,0.0000
2022-05-03,0.0000
2022-05-04,0.0000
2022-05-05,0.0000
2022-05-06,0.0000
2022-05-07,0.0000
2022-05-08,0.0000
2022-05-09,47.5107
2022-05-10,0.0000
2022-05-11,0.0000
2022-05-12,0.0000
2022-05-13,0.0000
2022-05-14,0.0000
2022-05-15,0.0000
2022-05-16,0.0000
2022-05-17,0.0000
2022-05-18,0.0000
2022-05-19,0.0000
2022-05-20,0.0000
2022-05-21,0.0000
2022-05-22,0.0000
2022-05-23,20.5343
