no_leakage_audit_id,candidate_patch_id,event_id,object_id,object_type,uses_pre_event_data_only,uses_post_event_as_pre_event_feature,uses_delta_as_training_label,uses_chirps_as_event_reference,uses_synthetic_as_real,passes_no_leakage,blocking_reason,review_only
S17C25_LEAK_0001,S17C6_CANARY_REC_00001,REC_2022_05_24_30,S17C25_RAINFEAT_0001,chirps_rainfall_feature,true,false,false,false,false,true,chuva CHIRPS restrita a janela antecedente; nunca evento observado nem label,true
S17C25_LEAK_0002,S17C6_CANARY_REC_00001,REC_2022_05_24_30,S17C25_RAINFEAT_0002,chirps_rainfall_feature,true,false,false,false,false,true,chuva CHIRPS restrita a janela antecedente; nunca evento observado nem label,true
S17C25_LEAK_0003,S17C6_CANARY_REC_00001,REC_2022_05_24_30,S17C25_RAINFEAT_0003,chirps_rainfall_feature,true,false,false,false,false,true,chuva CHIRPS restrita a janela antecedente; nunca evento observado nem label,true
S17C25_LEAK_0004,S17C6_CANARY_REC_00002,REC_2022_05_24_30,S17C25_RAINFEAT_0004,chirps_rainfall_feature,true,false,false,false,false,true,chuva CHIRPS restrita a janela antecedente; nunca evento observado nem label,true
S17C25_LEAK_0005,S17C6_CANARY_REC_00002,REC_2022_05_24_30,S17C25_RAINFEAT_0005,chirps_rainfall_feature,true,false,false,false,false,true,chuva CHIRPS restrita a janela antecedente; nunca evento observado nem label,true
S17C25_LEAK_0006,S17C6_CANARY_REC_00002,REC_2022_05_24_30,S17C25_RAINFEAT_0006,chirps_rainfall_feature,true,false,false,false,false,true,chuva CHIRPS restrita a janela antecedente; nunca evento observado nem label,true
S17C25_LEAK_0007,S17C6_CANARY_REC_00003,REC_2022_05_24_30,S17C25_RAINFEAT_0007,chirps_rainfall_feature,true,false,false,false,false,true,chuva CHIRPS restrita a janela antecedente; nunca evento observado nem label,true
S17C25_LEAK_0008,S17C6_CANARY_REC_00003,REC_2022_05_24_30,S17C25_RAINFEAT_0008,chirps_rainfall_feature,true,false,false,false,false,true,chuva CHIRPS restrita a janela antecedente; nunca evento observado nem label,true
S17C25_LEAK_0009,S17C6_CANARY_REC_00003,REC_2022_05_24_30,S17C25_RAINFEAT_0009,chirps_rainfall_feature,true,false,false,false,false,true,chuva CHIRPS restrita a janela antecedente; nunca evento observado nem label,true
S17C25_LEAK_0010,S17C6_CANARY_REC_00004,REC_2022_05_24_30,S17C25_RAINFEAT_0010,chirps_rainfall_feature,true,false,false,false,false,true,chuva CHIRPS restrita a janela antecedente; nunca evento observado nem label,true
S17C25_LEAK_0011,S17C6_CANARY_REC_00004,REC_2022_05_24_30,S17C25_RAINFEAT_0011,chirps_rainfall_feature,true,false,false,false,false,true,chuva CHIRPS restrita a janela antecedente; nunca evento observado nem label,true
S17C25_LEAK_0012,S17C6_CANARY_REC_00004,REC_2022_05_24_30,S17C25_RAINFEAT_0012,chirps_rainfall_feature,true,false,false,false,false,true,chuva CHIRPS restrita a janela antecedente; nunca evento observado nem label,true
S17C25_LEAK_0013,S17C6_CANARY_REC_00005,REC_2022_05_24_30,S17C25_RAINFEAT_0013,chirps_rainfall_feature,true,false,false,false,false,true,chuva CHIRPS restrita a janela antecedente; nunca evento observado nem label,true
S17C25_LEAK_0014,S17C6_CANARY_REC_00005,REC_2022_05_24_30,S17C25_RAINFEAT_0014,chirps_rainfall_feature,true,false,false,false,false,true,chuva CHIRPS restrita a janela antecedente; nunca evento observado nem label,true
S17C25_LEAK_0015,S17C6_CANARY_REC_00005,REC_2022_05_24_30,S17C25_RAINFEAT_0015,chirps_rainfall_feature,true,false,false,false,false,true,chuva CHIRPS restrita a janela antecedente; nunca evento observado nem label,true
S17C25_LEAK_0016,S17C6_CANARY_REC_00001,REC_2022_05_24_30,multimodal_S17C6_CANARY_REC_00001,multimodal_feature_matrix_row,true,false,false,false,false,true,"matriz multimodal restrita a features pre-evento reais; sem delta, sem evento",true
S17C25_LEAK_0017,S17C6_CANARY_REC_00002,REC_2022_05_24_30,multimodal_S17C6_CANARY_REC_00002,multimodal_feature_matrix_row,true,false,false,false,false,true,"matriz multimodal restrita a features pre-evento reais; sem delta, sem evento",true
S17C25_LEAK_0018,S17C6_CANARY_REC_00003,REC_2022_05_24_30,multimodal_S17C6_CANARY_REC_00003,multimodal_feature_matrix_row,true,false,false,false,false,true,"matriz multimodal restrita a features pre-evento reais; sem delta, sem evento",true
S17C25_LEAK_0019,S17C6_CANARY_REC_00004,REC_2022_05_24_30,multimodal_S17C6_CANARY_REC_00004,multimodal_feature_matrix_row,true,false,false,false,false,true,"matriz multimodal restrita a features pre-evento reais; sem delta, sem evento",true
S17C25_LEAK_0020,S17C6_CANARY_REC_00005,REC_2022_05_24_30,multimodal_S17C6_CANARY_REC_00005,multimodal_feature_matrix_row,true,false,false,false,false,true,"matriz multimodal restrita a features pre-evento reais; sem delta, sem evento",true
