deep_source_acquisition_attempt_id,candidate_patch_id,event_id,source_family,attempted_url_or_query,attempt_type,network_enabled,http_status,artifact_acquired,artifact_manifest_id,tls_verification_bypassed,failure_reason,review_only
S17C28_ATT_0001,all_candidate_patches,REC_2022_05_24_30,agencia_brasil,https://web.archive.org/web/20220528120000/https://agenciabrasil.ebc.com.br/,wayback_archived_snapshot,true,200,true,S17C28_ART_0001,false,not_applicable,true
S17C28_ATT_0002,all_candidate_patches,REC_2022_05_24_30,agencia_brasil,https://web.archive.org/web/20220529120000/https://agenciabrasil.ebc.com.br/,wayback_archived_snapshot,true,200,false,not_available,false,not_event_specific_or_duplicate,true
S17C28_ATT_0003,all_candidate_patches,REC_2022_05_24_30,agencia_brasil,https://web.archive.org/web/20220530081923/https://agenciabrasil.ebc.com.br/,wayback_archived_snapshot,true,200,false,not_available,false,not_event_specific_or_duplicate,true
S17C28_ATT_0004,all_candidate_patches,REC_2022_05_24_30,agencia_brasil,https://web.archive.org/web/20220531120000/https://agenciabrasil.ebc.com.br/,wayback_archived_snapshot,true,200,false,not_available,false,not_event_specific_or_duplicate,true
S17C28_ATT_0005,all_candidate_patches,REC_2022_05_24_30,agencia_brasil,https://web.archive.org/web/20220601120000/https://agenciabrasil.ebc.com.br/,wayback_archived_snapshot,true,200,false,not_available,false,not_event_specific_or_duplicate,true
S17C28_ATT_0006,all_candidate_patches,REC_2022_05_24_30,agencia_brasil,https://agenciabrasil.ebc.com.br/,direct_official_portal,true,200,false,not_available,false,not_event_specific_or_duplicate,true
S17C28_ATT_0007,all_candidate_patches,REC_2022_05_24_30,apac_pernambuco,https://web.archive.org/web/20220528120000/https://www.apac.pe.gov.br/,wayback_archived_snapshot,true,200,false,not_available,false,not_event_specific_or_duplicate,true
S17C28_ATT_0008,all_candidate_patches,REC_2022_05_24_30,apac_pernambuco,https://web.archive.org/web/20220529120000/https://www.apac.pe.gov.br/,wayback_archived_snapshot,true,200,false,not_available,false,not_event_specific_or_duplicate,true
S17C28_ATT_0009,all_candidate_patches,REC_2022_05_24_30,apac_pernambuco,https://web.archive.org/web/20220530081923/https://www.apac.pe.gov.br/,wayback_archived_snapshot,true,200,false,not_available,false,not_event_specific_or_duplicate,true
S17C28_ATT_0010,all_candidate_patches,REC_2022_05_24_30,apac_pernambuco,https://web.archive.org/web/20220531120000/https://www.apac.pe.gov.br/,wayback_archived_snapshot,true,200,false,not_available,false,not_event_specific_or_duplicate,true
S17C28_ATT_0011,all_candidate_patches,REC_2022_05_24_30,apac_pernambuco,https://web.archive.org/web/20220601120000/https://www.apac.pe.gov.br/,wayback_archived_snapshot,true,failed_safe,false,not_available,false,URLError,true
S17C28_ATT_0012,all_candidate_patches,REC_2022_05_24_30,apac_pernambuco,https://www.apac.pe.gov.br/,direct_official_portal,true,200,false,not_available,false,not_event_specific_or_duplicate,true
S17C28_ATT_0013,all_candidate_patches,REC_2022_05_24_30,cemaden,https://web.archive.org/web/20220528120000/http://www.cemaden.gov.br/,wayback_archived_snapshot,true,failed_safe,false,not_available,false,URLError,true
S17C28_ATT_0014,all_candidate_patches,REC_2022_05_24_30,cemaden,https://web.archive.org/web/20220529120000/http://www.cemaden.gov.br/,wayback_archived_snapshot,true,failed_safe,false,not_available,false,URLError,true
