edge_id,source_node_id,target_node_id,edge_type,candidate_patch_id,event_id,review_only
S17C28_EDGE_0001,S17C28_NODE_0006,S17C28_NODE_0001,parsed_from_artifact,all_candidate_patches,REC_2022_05_24_30,true
S17C28_EDGE_0002,S17C28_NODE_0007,S17C28_NODE_0002,parsed_from_artifact,all_candidate_patches,REC_2022_05_24_30,true
S17C28_EDGE_0003,S17C28_NODE_0008,S17C28_NODE_0003,parsed_from_artifact,all_candidate_patches,REC_2022_05_24_30,true
S17C28_EDGE_0004,S17C28_NODE_0009,S17C28_NODE_0004,parsed_from_artifact,all_candidate_patches,REC_2022_05_24_30,true
S17C28_EDGE_0005,S17C28_NODE_0010,S17C28_NODE_0005,parsed_from_artifact,all_candidate_patches,REC_2022_05_24_30,true
S17C28_EDGE_0006,S17C28_NODE_0011,S17C28_NODE_0007,candidate_from_parsed,S17C6_CANARY_REC_00001,REC_2022_05_24_30,true
S17C28_EDGE_0007,S17C28_NODE_0012,S17C28_NODE_0008,candidate_from_parsed,S17C6_CANARY_REC_00001,REC_2022_05_24_30,true
S17C28_EDGE_0008,S17C28_NODE_0013,S17C28_NODE_0009,candidate_from_parsed,S17C6_CANARY_REC_00001,REC_2022_05_24_30,true
S17C28_EDGE_0009,S17C28_NODE_0014,S17C28_NODE_0010,candidate_from_parsed,S17C6_CANARY_REC_00001,REC_2022_05_24_30,true
S17C28_EDGE_0010,S17C28_NODE_0015,S17C28_NODE_0011,location_of_candidate,S17C6_CANARY_REC_00001,REC_2022_05_24_30,true
S17C28_EDGE_0011,S17C28_NODE_0016,S17C28_NODE_0012,location_of_candidate,S17C6_CANARY_REC_00001,REC_2022_05_24_30,true
S17C28_EDGE_0012,S17C28_NODE_0017,S17C28_NODE_0013,location_of_candidate,S17C6_CANARY_REC_00001,REC_2022_05_24_30,true
S17C28_EDGE_0013,S17C28_NODE_0018,S17C28_NODE_0014,location_of_candidate,S17C6_CANARY_REC_00001,REC_2022_05_24_30,true
S17C28_EDGE_0014,S17C28_NODE_0019,S17C28_NODE_0011,phenomenon_of_candidate,S17C6_CANARY_REC_00001,REC_2022_05_24_30,true
S17C28_EDGE_0015,S17C28_NODE_0020,S17C28_NODE_0012,phenomenon_of_candidate,S17C6_CANARY_REC_00001,REC_2022_05_24_30,true
S17C28_EDGE_0016,S17C28_NODE_0021,S17C28_NODE_0013,phenomenon_of_candidate,S17C6_CANARY_REC_00001,REC_2022_05_24_30,true
S17C28_EDGE_0017,S17C28_NODE_0022,S17C28_NODE_0014,phenomenon_of_candidate,S17C6_CANARY_REC_00001,REC_2022_05_24_30,true
S17C28_EDGE_0018,S17C28_NODE_0023,S17C28_NODE_0011,g4_of_candidate,S17C6_CANARY_REC_00001,REC_2022_05_24_30,true
S17C28_EDGE_0019,S17C28_NODE_0024,S17C28_NODE_0012,g4_of_candidate,S17C6_CANARY_REC_00001,REC_2022_05_24_30,true
S17C28_EDGE_0020,S17C28_NODE_0025,S17C28_NODE_0013,g4_of_candidate,S17C6_CANARY_REC_00001,REC_2022_05_24_30,true
S17C28_EDGE_0021,S17C28_NODE_0026,S17C28_NODE_0014,g4_of_candidate,S17C6_CANARY_REC_00001,REC_2022_05_24_30,true
S17C28_EDGE_0022,S17C28_NODE_0027,S17C28_NODE_0011,g5_of_candidate,S17C6_CANARY_REC_00001,REC_2022_05_24_30,true
S17C28_EDGE_0023,S17C28_NODE_0028,S17C28_NODE_0012,g5_of_candidate,S17C6_CANARY_REC_00001,REC_2022_05_24_30,true
S17C28_EDGE_0024,S17C28_NODE_0029,S17C28_NODE_0013,g5_of_candidate,S17C6_CANARY_REC_00001,REC_2022_05_24_30,true
S17C28_EDGE_0025,S17C28_NODE_0030,S17C28_NODE_0014,g5_of_candidate,S17C6_CANARY_REC_00001,REC_2022_05_24_30,true
S17C28_EDGE_0026,S17C28_NODE_0031,S17C28_NODE_0011,gr_eval_of_candidate,S17C6_CANARY_REC_00001,REC_2022_05_24_30,true
S17C28_EDGE_0027,S17C28_NODE_0032,S17C28_NODE_0012,gr_eval_of_candidate,S17C6_CANARY_REC_00001,REC_2022_05_24_30,true
S17C28_EDGE_0028,S17C28_NODE_0033,S17C28_NODE_0013,gr_eval_of_candidate,S17C6_CANARY_REC_00001,REC_2022_05_24_30,true
S17C28_EDGE_0029,S17C28_NODE_0034,S17C28_NODE_0014,gr_eval_of_candidate,S17C6_CANARY_REC_00001,REC_2022_05_24_30,true
