gate_transition_id,source_id,candidate_patch_id,event_id,gate_group,gate_name,transition_from,transition_to,transition_reason,artifact_manifest_id,sha256,review_only
S17C30_LEDGER_0001,S17C30_SRC_C28_0001,all_candidate_patches,REC_2022_05_24_30,documentary,G1_documentary_existence,not_evaluated_as_subgate,true,artefato adquirido + evento/local especifico,S17C28_ART_0001,9ec7b7cf7c7f1238a193b158f87850aa68978940d10a94a100bc411a4f959d57,true
S17C30_LEDGER_0002,S17C30_SRC_C28_0001,all_candidate_patches,REC_2022_05_24_30,documentary,G2_source_authority,not_evaluated_as_subgate,true,fonte oficial institucional publica,S17C28_ART_0001,9ec7b7cf7c7f1238a193b158f87850aa68978940d10a94a100bc411a4f959d57,true
S17C30_LEDGER_0003,S17C30_SRC_C28_0001,all_candidate_patches,REC_2022_05_24_30,documentary,G3_temporal_signal,not_evaluated_as_subgate,true,data/periodo do evento presente no texto,S17C28_ART_0001,9ec7b7cf7c7f1238a193b158f87850aa68978940d10a94a100bc411a4f959d57,true
S17C30_LEDGER_0004,S17C30_SRC_C28_0001,all_candidate_patches,REC_2022_05_24_30,documentary,G6_provenance_integrity,not_evaluated_as_subgate,true,sha256 + manifesto + artifact path,S17C28_ART_0001,9ec7b7cf7c7f1238a193b158f87850aa68978940d10a94a100bc411a4f959d57,true
S17C30_LEDGER_0005,S17C30_SRC_C28_0001,all_candidate_patches,REC_2022_05_24_30,documentary,G7_anti_leakage,not_evaluated_as_subgate,true,fail-closed contra GT/label/score,S17C28_ART_0001,9ec7b7cf7c7f1238a193b158f87850aa68978940d10a94a100bc411a4f959d57,true
S17C30_LEDGER_0006,S17C30_SRC_C28_0002,S17C6_CANARY_REC_00001,REC_2022_05_24_30,documentary,G1_documentary_existence,not_evaluated_as_subgate,true,artefato adquirido + evento/local especifico,S17C28_ART_0002,e8d44f217268ac40dee579a51865367f05f4f99dab06a09f9da151babcb78191,true
S17C30_LEDGER_0007,S17C30_SRC_C28_0002,S17C6_CANARY_REC_00001,REC_2022_05_24_30,documentary,G2_source_authority,not_evaluated_as_subgate,true,fonte oficial institucional publica,S17C28_ART_0002,e8d44f217268ac40dee579a51865367f05f4f99dab06a09f9da151babcb78191,true
S17C30_LEDGER_0008,S17C30_SRC_C28_0002,S17C6_CANARY_REC_00001,REC_2022_05_24_30,documentary,G3_temporal_signal,not_evaluated_as_subgate,true,data/periodo do evento presente no texto,S17C28_ART_0002,e8d44f217268ac40dee579a51865367f05f4f99dab06a09f9da151babcb78191,true
S17C30_LEDGER_0009,S17C30_SRC_C28_0002,S17C6_CANARY_REC_00001,REC_2022_05_24_30,documentary,G6_provenance_integrity,not_evaluated_as_subgate,true,sha256 + manifesto + artifact path,S17C28_ART_0002,e8d44f217268ac40dee579a51865367f05f4f99dab06a09f9da151babcb78191,true
S17C30_LEDGER_0010,S17C30_SRC_C28_0002,S17C6_CANARY_REC_00001,REC_2022_05_24_30,documentary,G7_anti_leakage,not_evaluated_as_subgate,true,fail-closed contra GT/label/score,S17C28_ART_0002,e8d44f217268ac40dee579a51865367f05f4f99dab06a09f9da151babcb78191,true
