multimodal_followup_decision_id,source_id,source_name,candidate_patch_id,event_id,oec_id,source_quality_class,followup_chirps,followup_sentinel2,followup_sentinel1_sar,followup_embedding,followup_human_qa,followup_ground_reference_search,reason,required_inputs_before_followup,blocked_from_ground_truth,blocked_from_training,blocked_from_score_v7,review_only
S17C30_MMFD_0001,S17C30_SRC_C28_0001,Agencia Brasil / EBC (empresa publica federal),all_candidate_patches,REC_2022_05_24_30,not_applicable,B_official_context_candidate,false,false,false,false,false,true,sem localidade; sem fenomeno,date_and_locality,true,true,true,true
S17C30_MMFD_0002,S17C30_SRC_C28_0002,Agencia Brasil / EBC (empresa publica federal),S17C6_CANARY_REC_00001,REC_2022_05_24_30,S17C28_OEC_0001,A_institutional_event_candidate,true,true,true,false,true,true,"data/local/fenomeno presentes, seguindo para follow-up tecnico",aoi_geometry_and_phenomenon_separation,true,true,true,true
S17C30_MMFD_0003,S17C30_SRC_C28_0003,Agencia Brasil / EBC (empresa publica federal),S17C6_CANARY_REC_00001,REC_2022_05_24_30,S17C28_OEC_0002,A_institutional_event_candidate,true,true,true,false,true,true,"data/local/fenomeno presentes, seguindo para follow-up tecnico",aoi_geometry_and_phenomenon_separation,true,true,true,true
S17C30_MMFD_0004,S17C30_SRC_C28_0004,Agencia Brasil / EBC (empresa publica federal),S17C6_CANARY_REC_00001,REC_2022_05_24_30,S17C28_OEC_0003,A_institutional_event_candidate,true,true,true,false,true,true,"data/local/fenomeno presentes, seguindo para follow-up tecnico",aoi_geometry_and_phenomenon_separation,true,true,true,true
S17C30_MMFD_0005,S17C30_SRC_C28_0005,Agencia Brasil / EBC (empresa publica federal),S17C6_CANARY_REC_00001,REC_2022_05_24_30,S17C28_OEC_0004,A_institutional_event_candidate,true,true,true,false,true,true,"data/local/fenomeno presentes, seguindo para follow-up tecnico",aoi_geometry_and_phenomenon_separation,true,true,true,true
S17C30_MMFD_0006,S17C30_SRC_C29_0001,Agencia Brasil / EBC (empresa publica federal),S17C6_CANARY_REC_00001,REC_2022_05_24_30,S17C29_OEC_0001,A_institutional_event_candidate,true,true,true,false,true,true,"data/local/fenomeno presentes, seguindo para follow-up tecnico",aoi_geometry_and_phenomenon_separation,true,true,true,true
S17C30_MMFD_0007,S17C30_SRC_C29_0002,Agencia Brasil / EBC (empresa publica federal),S17C6_CANARY_REC_00001,REC_2022_05_24_30,S17C29_OEC_0002,A_institutional_event_candidate,true,true,false,false,true,true,sem fenomeno,aoi_geometry_and_phenomenon_separation,true,true,true,true
S17C30_MMFD_0008,S17C30_SRC_C29_0003,Agencia Brasil / EBC (empresa publica federal),S17C6_CANARY_REC_00001,REC_2022_05_24_30,S17C29_OEC_0003,A_institutional_event_candidate,true,true,false,false,true,true,sem fenomeno,aoi_geometry_and_phenomenon_separation,true,true,true,true
S17C30_MMFD_0009,S17C30_SRC_C29_0004,Agencia Brasil / EBC (empresa publica federal),S17C6_CANARY_REC_00001,REC_2022_05_24_30,S17C29_OEC_0004,A_institutional_event_candidate,true,true,true,false,true,true,"data/local/fenomeno presentes, seguindo para follow-up tecnico",aoi_geometry_and_phenomenon_separation,true,true,true,true
S17C30_MMFD_0010,S17C30_SRC_C29_0005,Agencia Brasil / EBC (empresa publica federal),S17C6_CANARY_REC_00001,REC_2022_05_24_30,S17C29_OEC_0005,A_institutional_event_candidate,true,true,false,false,true,true,sem fenomeno,aoi_geometry_and_phenomenon_separation,true,true,true,true
S17C30_MMFD_0011,S17C30_SRC_C29_0006,Agencia Brasil / EBC (empresa publica federal),S17C6_CANARY_REC_00001,REC_2022_05_24_30,S17C29_OEC_0006,A_institutional_event_candidate,true,true,true,false,true,true,"data/local/fenomeno presentes, seguindo para follow-up tecnico",aoi_geometry_and_phenomenon_separation,true,true,true,true
S17C30_MMFD_0012,S17C30_SRC_C29_0007,Agencia Brasil / EBC (empresa publica federal),S17C6_CANARY_REC_00001,REC_2022_05_24_30,S17C29_OEC_0007,A_institutional_event_candidate,true,true,true,false,true,true,"data/local/fenomeno presentes, seguindo para follow-up tecnico",aoi_geometry_and_phenomenon_separation,true,true,true,true
