followed_link_id,from_url,to_url,source_family,resource_format,followed,http_status,review_only
S17C31_FLINK_0001,https://dados.recife.pe.gov.br/api/3/action/package_show?id=defesa-civil,https://dados.recife.pe.gov.br:443/dataset/c1d733d9-5867-481e-9c18-5fe572300ab2/resource/219a92f2-9cd1-4a6e-870c-f1059b94c4fc/download/dicionario-de-dados-das-areas-de-risco.pdf,dados_recife_ckan,pdf,true,200,true
S17C31_FLINK_0002,https://dados.recife.pe.gov.br/api/3/action/package_show?id=defesa-civil,https://dados.recife.pe.gov.br:443/dataset/c1d733d9-5867-481e-9c18-5fe572300ab2/resource/ec18759d-fac2-445e-ae72-af9d9210b831/download/coordenadas-geograficas-da-regiao-sul.geojson,dados_recife_ckan,geojson,true,200,true
S17C31_FLINK_0003,https://dados.recife.pe.gov.br/api/3/action/package_show?id=defesa-civil,https://dados.recife.pe.gov.br:443/dataset/c1d733d9-5867-481e-9c18-5fe572300ab2/resource/75344435-aca8-4aef-ab2c-9521d6e5ff18/download/areas-de-risco-da-regional-sul.csv,dados_recife_ckan,csv,true,200,true
S17C31_FLINK_0004,https://dados.recife.pe.gov.br/api/3/action/package_show?id=defesa-civil,https://dados.recife.pe.gov.br:443/dataset/c1d733d9-5867-481e-9c18-5fe572300ab2/resource/bb0c4134-cac8-4588-88be-97fed5a11759/download/dicionario-de-dados-das-areas-de-risco.json,dados_recife_ckan,json,true,200,true
S17C31_FLINK_0005,https://dados.recife.pe.gov.br/api/3/action/package_show?id=registro-de-atendimentos-da-defesa-civil,https://dados.recife.pe.gov.br:443/dataset/ebda936c-f15a-4e0d-b8b6-5a9e270b0b67/resource/ef03b0e3-0c83-4eb8-a2fb-97867d195204/download/atendimentos-2025.csv,dados_recife_ckan,csv,true,200,true
S17C31_FLINK_0006,https://dados.recife.pe.gov.br/api/3/action/package_show?id=registro-de-atendimentos-da-defesa-civil,https://dados.recife.pe.gov.br:443/dataset/ebda936c-f15a-4e0d-b8b6-5a9e270b0b67/resource/bbd37e34-44f7-4c21-a906-e4a2f560a359/download/atendimentos-2024.csv,dados_recife_ckan,csv,true,200,true
S17C31_FLINK_0007,https://dados.recife.pe.gov.br/api/3/action/package_show?id=registro-de-atendimentos-da-defesa-civil,https://dados.recife.pe.gov.br:443/dataset/ebda936c-f15a-4e0d-b8b6-5a9e270b0b67/resource/0f276561-43c2-4233-a539-cbfdd1b38d16/download/atendimentos-2023.csv,dados_recife_ckan,csv,true,200,true
S17C31_FLINK_0008,https://dados.recife.pe.gov.br/api/3/action/package_show?id=registro-de-atendimentos-da-defesa-civil,https://dados.recife.pe.gov.br:443/dataset/ebda936c-f15a-4e0d-b8b6-5a9e270b0b67/resource/71967fab-750b-44a9-8a86-405a99eb576c/download/atendimentos-2022.csv,dados_recife_ckan,csv,true,200,true
S17C31_FLINK_0009,https://dados.recife.pe.gov.br/api/3/action/package_show?id=registro-de-atendimentos-da-defesa-civil,https://dados.recife.pe.gov.br:443/dataset/ebda936c-f15a-4e0d-b8b6-5a9e270b0b67/resource/3362394d-0b60-4607-8f35-06421f7ce15b/download/atendimentos-2021.csv,dados_recife_ckan,csv,true,200,true
S17C31_FLINK_0010,https://dados.recife.pe.gov.br/api/3/action/package_show?id=registro-de-atendimentos-da-defesa-civil,https://dados.recife.pe.gov.br:443/dataset/ebda936c-f15a-4e0d-b8b6-5a9e270b0b67/resource/a2e18f69-9d10-4482-8f5f-04bc7bd2e8e7/download/atendimentos-2020.csv,dados_recife_ckan,csv,true,200,true
