ground_reference_readiness_id,candidate_patch_id,event_id,geometry_candidate_id,phenomenon_separation_candidate_id,G1,G2,G3,G4c,G4d,G4_full,G5d,G5_full,G6,G7,can_be_ground_reference_candidate_review_only,can_be_ground_truth,can_be_training_label,can_unlock_17b,blocking_reason,review_only
S17C31_GRR_0001,S17C6_CANARY_REC_00001,REC_2022_05_24_30,S17C31_GEOM_0001,S17C31_PHSEP_0001,true,true,true,false,false,false,true,true,true,true,false,false,false,false,G4_full ausente (sem geometria patch-level de evento vinculada ao patch); risk sector nao e evento observado,true
S17C31_GRR_0002,S17C6_CANARY_REC_00001,REC_2022_05_24_30,S17C31_GEOM_0001,S17C31_PHSEP_0002,true,true,true,false,false,false,false,false,true,true,false,false,false,false,G4_full ausente (sem geometria patch-level de evento vinculada ao patch); risk sector nao e evento observado,true
S17C31_GRR_0003,S17C6_CANARY_REC_00001,REC_2022_05_24_30,S17C31_GEOM_0001,S17C31_PHSEP_0003,true,true,true,false,false,false,false,false,true,true,false,false,false,false,G4_full ausente (sem geometria patch-level de evento vinculada ao patch); risk sector nao e evento observado,true
S17C31_GRR_0004,S17C6_CANARY_REC_00001,REC_2022_05_24_30,S17C31_GEOM_0001,S17C31_PHSEP_0004,true,true,true,false,false,false,false,false,true,true,false,false,false,false,G4_full ausente (sem geometria patch-level de evento vinculada ao patch); risk sector nao e evento observado,true
S17C31_GRR_0005,S17C6_CANARY_REC_00001,REC_2022_05_24_30,S17C31_GEOM_0001,S17C31_PHSEP_0005,true,true,true,false,false,false,true,true,true,true,false,false,false,false,G4_full ausente (sem geometria patch-level de evento vinculada ao patch); risk sector nao e evento observado,true
S17C31_GRR_0006,S17C6_CANARY_REC_00001,REC_2022_05_24_30,S17C31_GEOM_0001,S17C31_PHSEP_0006,true,true,true,false,false,false,false,false,true,true,false,false,false,false,G4_full ausente (sem geometria patch-level de evento vinculada ao patch); risk sector nao e evento observado,true
S17C31_GRR_0007,S17C6_CANARY_REC_00001,REC_2022_05_24_30,S17C31_GEOM_0001,S17C31_PHSEP_0007,true,true,true,false,false,false,true,true,true,true,false,false,false,false,G4_full ausente (sem geometria patch-level de evento vinculada ao patch); risk sector nao e evento observado,true
S17C31_GRR_0008,S17C6_CANARY_REC_00001,REC_2022_05_24_30,S17C31_GEOM_0001,S17C31_PHSEP_0008,true,true,true,false,false,false,false,false,true,true,false,false,false,false,G4_full ausente (sem geometria patch-level de evento vinculada ao patch); risk sector nao e evento observado,true
S17C31_GRR_0009,S17C6_CANARY_REC_00001,REC_2022_05_24_30,S17C31_GEOM_0001,S17C31_PHSEP_0009,true,true,true,false,false,false,false,false,true,true,false,false,false,false,G4_full ausente (sem geometria patch-level de evento vinculada ao patch); risk sector nao e evento observado,true
S17C31_GRR_0010,S17C6_CANARY_REC_00001,REC_2022_05_24_30,S17C31_GEOM_0001,S17C31_PHSEP_0010,true,true,true,false,false,false,false,false,true,true,false,false,false,false,G4_full ausente (sem geometria patch-level de evento vinculada ao patch); risk sector nao e evento observado,true
S17C31_GRR_0011,S17C6_CANARY_REC_00001,REC_2022_05_24_30,S17C31_GEOM_0001,S17C31_PHSEP_0011,true,true,true,false,false,false,false,false,true,true,false,false,false,false,G4_full ausente (sem geometria patch-level de evento vinculada ao patch); risk sector nao e evento observado,true
S17C31_GRR_0012,S17C6_CANARY_REC_00001,REC_2022_05_24_30,S17C31_GEOM_0001,S17C31_PHSEP_0012,true,true,true,false,false,false,true,true,true,true,false,false,false,false,G4_full ausente (sem geometria patch-level de evento vinculada ao patch); risk sector nao e evento observado,true
S17C31_GRR_0013,S17C6_CANARY_REC_00001,REC_2022_05_24_30,S17C31_GEOM_0001,S17C31_PHSEP_0013,true,true,true,false,false,false,false,false,true,true,false,false,false,false,G4_full ausente (sem geometria patch-level de evento vinculada ao patch); risk sector nao e evento observado,true
