"Regional";"Ano";"Mês";"Data";"Ocorrencia";"Solicitacao";"Endereco";"Bairro";"Localidade";"Grau_de_Risco";"Data_da_Acao";"Tipo_da_Acao";"Quantidade";"Altura";"Largura";"Area_m"
"2022";"Maio";"2022-05-30";"Deslizamentos de Barreiras";"Vistoria";"""Rua Ladeira de Pedra";" #^>""";"Agua Fria";"Alto do Pascoal";"R4";"2022-05-30";"";"";"";"";"0"
"2022";"Maio";"2022-05-30";"Deslizamentos de Barreiras";"Vistoria";"""Rua Corrego do Curio";" @}>""";"Dois Unidos";"Corrego do Curio";"R4";"2022-05-30";"";"";"";"";"0"
"2022";"Maio";"2022-05-30";"Deslizamentos de Barreiras";"Vistoria";"""Rua Francisco de Paula Santos";" #^>""";"Dois Unidos";"Corrego da Picada";"R3";"2022-05-30";"Orientado a Sair do Imovel em Caso de Chuva";"";"";"";"0"
"2022";"Maio";"2022-05-30";"Deslizamentos de Barreiras";"Vistoria";"""Avenida Chagas Ferreira";" {})!""";"Dois Unidos";"Chagas Ferreira";"R3";"2022-05-30";"Orientado a Sair do Imovel em Caso de Chuva";"";"";"";"0"
"2022";"Maio";"2022-05-30";"Deslizamentos de Barreiras";"Vistoria";"""Rua Alto do Eucalipto";" """"#*9""";"Vasco da Gama ";"Alto do Eucalipto";"R3";"2022-05-30";"Orientado a Sair do Imovel em Caso de Chuva";"";"";"";"0"
"2022";"Maio";"2022-05-30";"Deslizamentos de Barreiras";"Vistoria";"""Rua Arataca";" `=-[""";"Nao Informado";"Alto do Mandu";"R3";"2022-05-30";"Orientado a Sair do Imovel em Caso de Chuva";"";"";"";"0"
"2022";"Maio";"2022-05-30";"Deslizamentos de Barreiras";"Vistoria";"""Rua Ester";" .<^&""";"Macaxeira ";"Macaxeira";"R3";"2022-05-30";"Orientado a Sair do Imovel em Caso de Chuva";"";"";"";"0"
"2022";"Maio";"2022-05-30";"Deslizamentos de Barreiras";"Vistoria";"""Rua Prof. Jose Amarino";" #""""#~""";"Linha do Tiro";"Corrego do Tiro";"R3";"2022-05-30";"Orientado a Sair do Imovel em Caso de Chuva";"";"";"";"0"
"2022";"Maio";"2022-05-30";"Deslizamentos de Barreiras";"Vistoria";"""Rua Aureliano Leal122 B";" .<^&""";"Dois Unidos";"Alto do Maracana";"R3";"2022-05-30";"Orientado a Sair do Imovel em Caso de Chuva";"";"";"";"0"
"2022";"Maio";"2022-05-30";"Deslizamentos de Barreiras";"Vistoria";"""Rua Etelvina de Oliveira";" `=-[""";"Dois Unidos";"Alto do Capitao";"R3";"2022-05-30";"Orientado a Sair do Imovel em Caso de Chuva";"";"";"";"0"
"2022";"Maio";"2022-05-30";"Deslizamentos de Barreiras";"Vistoria";"""2 Subida do Campo";" `=-[""";"Linha do Tiro";"Corrego do Abdias";"R4";"2022-05-30";"";"";"";"";"0"
"2022";"Maio";"2022-05-30";"Deslizamentos de Barreiras";"Vistoria";"""Rua Nova Descoberta";" @}>""";"Nova Descoberta";"Nova Descoberta";"R3";"2022-05-30";"Orientado a Sair do Imovel em Caso de Chuva";"";"";"";"0"
