patch_buffer_distance_id,geocoded_point_id,hydrological_occurrence_target_id,bairro,logradouro,nearest_patch_id,distance_to_patch_m,acceptable_buffer_m,uncertainty_m,within_patch_or_acceptable_buffer,review_only
S17C32_DIST_0001,S17C32_GEO_0001,S17C32_TGT_0001,Pina,Avenida Republica do Libano,S17C6_CANARY_REC_00001,11031.8,1500,800,false,true
S17C32_DIST_0002,S17C32_GEO_0002,S17C32_TGT_0002,Imbiribeira,Rua Joao Murilo de Oliveira,S17C6_CANARY_REC_00001,12641.9,1500,800,false,true
S17C32_DIST_0003,S17C32_GEO_0003,S17C32_TGT_0003,Afogados,Rua Vicente Ribeiro de Barros,S17C6_CANARY_REC_00001,9161.4,1500,800,false,true
S17C32_DIST_0004,S17C32_GEO_0004,S17C32_TGT_0004,Areias,Rua Joao Paulo Ii,S17C6_CANARY_REC_00001,11520.2,1500,800,false,true
S17C32_DIST_0005,S17C32_GEO_0005,S17C32_TGT_0006,Areias,Rua Jose Firmino Pires,S17C6_CANARY_REC_00001,11311.4,1500,800,false,true
S17C32_DIST_0006,S17C32_GEO_0006,S17C32_TGT_0007,Ipsep,Rua Alvorada,S17C6_CANARY_REC_00001,11993.9,1500,800,false,true
S17C32_DIST_0007,S17C32_GEO_0007,S17C32_TGT_0008,Iputinga,Estrada do Barbalho,S17C6_CANARY_REC_00001,4189.2,1500,800,false,true
S17C32_DIST_0008,S17C32_GEO_0008,S17C32_TGT_0009,Iputinga,Rua Luiz Souto Dourado,S17C6_CANARY_REC_00001,3142.1,1500,800,false,true
S17C32_DIST_0009,S17C32_GEO_0009,S17C32_TGT_0010,Varzea,Avenida Melvin Jones,S17C6_CANARY_REC_00001,4075.2,1500,800,false,true
S17C32_DIST_0010,S17C32_GEO_0010,S17C32_TGT_0011,Varzea,Rua Pe Henrique,S17C6_CANARY_REC_00001,5765.2,1500,800,false,true
S17C32_DIST_0011,S17C32_GEO_0011,S17C32_TGT_0012,Varzea,Rua Torres Homem,S17C6_CANARY_REC_00001,4786.1,1500,800,false,true
