score_v6_on_canary_id,event_anchored_canary_patch_id,bairro,logradouro,score_v6_status,score_v6_value,score_v6_class,score_v6_recomputed,score_v6_source_dataset,score_v6_source_dataset_altered,score_v7_created,rainfall_trigger_note,blocking_reason,is_ground_truth,is_training,review_only
S17C33_SV6_0001,S17C33_EAC_0001,Pina,Avenida Republica do Libano,not_computable_pre_event_features_unavailable,not_available,not_available,false,datasets/suscetibilidade/susc_score_v6_candidate_by_patch_v1.csv,false,false,CHIRPS region-level identico ao patch original (gatilho de chuva foi metropolitano); nao discrimina local,features locais discriminantes (HAND/slope/drenagem/Sentinel-2/urban_prop) indisponiveis offline; score v6 nao computavel no ponto de ocorrencia sem extracao,false,false,true
S17C33_SV6_0002,S17C33_EAC_0002,Imbiribeira,Rua Joao Murilo de Oliveira,not_computable_pre_event_features_unavailable,not_available,not_available,false,datasets/suscetibilidade/susc_score_v6_candidate_by_patch_v1.csv,false,false,CHIRPS region-level identico ao patch original (gatilho de chuva foi metropolitano); nao discrimina local,features locais discriminantes (HAND/slope/drenagem/Sentinel-2/urban_prop) indisponiveis offline; score v6 nao computavel no ponto de ocorrencia sem extracao,false,false,true
S17C33_SV6_0003,S17C33_EAC_0003,Afogados,Rua Vicente Ribeiro de Barros,not_computable_pre_event_features_unavailable,not_available,not_available,false,datasets/suscetibilidade/susc_score_v6_candidate_by_patch_v1.csv,false,false,CHIRPS region-level identico ao patch original (gatilho de chuva foi metropolitano); nao discrimina local,features locais discriminantes (HAND/slope/drenagem/Sentinel-2/urban_prop) indisponiveis offline; score v6 nao computavel no ponto de ocorrencia sem extracao,false,false,true
S17C33_SV6_0004,S17C33_EAC_0004,Areias,Rua Joao Paulo Ii,not_computable_pre_event_features_unavailable,not_available,not_available,false,datasets/suscetibilidade/susc_score_v6_candidate_by_patch_v1.csv,false,false,CHIRPS region-level identico ao patch original (gatilho de chuva foi metropolitano); nao discrimina local,features locais discriminantes (HAND/slope/drenagem/Sentinel-2/urban_prop) indisponiveis offline; score v6 nao computavel no ponto de ocorrencia sem extracao,false,false,true
S17C33_SV6_0005,S17C33_EAC_0005,Areias,Rua Jose Firmino Pires,not_computable_pre_event_features_unavailable,not_available,not_available,false,datasets/suscetibilidade/susc_score_v6_candidate_by_patch_v1.csv,false,false,CHIRPS region-level identico ao patch original (gatilho de chuva foi metropolitano); nao discrimina local,features locais discriminantes (HAND/slope/drenagem/Sentinel-2/urban_prop) indisponiveis offline; score v6 nao computavel no ponto de ocorrencia sem extracao,false,false,true
S17C33_SV6_0006,S17C33_EAC_0006,Ipsep,Rua Alvorada,not_computable_pre_event_features_unavailable,not_available,not_available,false,datasets/suscetibilidade/susc_score_v6_candidate_by_patch_v1.csv,false,false,CHIRPS region-level identico ao patch original (gatilho de chuva foi metropolitano); nao discrimina local,features locais discriminantes (HAND/slope/drenagem/Sentinel-2/urban_prop) indisponiveis offline; score v6 nao computavel no ponto de ocorrencia sem extracao,false,false,true
S17C33_SV6_0007,S17C33_EAC_0007,Iputinga,Estrada do Barbalho,not_computable_pre_event_features_unavailable,not_available,not_available,false,datasets/suscetibilidade/susc_score_v6_candidate_by_patch_v1.csv,false,false,CHIRPS region-level identico ao patch original (gatilho de chuva foi metropolitano); nao discrimina local,features locais discriminantes (HAND/slope/drenagem/Sentinel-2/urban_prop) indisponiveis offline; score v6 nao computavel no ponto de ocorrencia sem extracao,false,false,true
S17C33_SV6_0008,S17C33_EAC_0008,Iputinga,Rua Luiz Souto Dourado,not_computable_pre_event_features_unavailable,not_available,not_available,false,datasets/suscetibilidade/susc_score_v6_candidate_by_patch_v1.csv,false,false,CHIRPS region-level identico ao patch original (gatilho de chuva foi metropolitano); nao discrimina local,features locais discriminantes (HAND/slope/drenagem/Sentinel-2/urban_prop) indisponiveis offline; score v6 nao computavel no ponto de ocorrencia sem extracao,false,false,true
S17C33_SV6_0009,S17C33_EAC_0009,Varzea,Avenida Melvin Jones,not_computable_pre_event_features_unavailable,not_available,not_available,false,datasets/suscetibilidade/susc_score_v6_candidate_by_patch_v1.csv,false,false,CHIRPS region-level identico ao patch original (gatilho de chuva foi metropolitano); nao discrimina local,features locais discriminantes (HAND/slope/drenagem/Sentinel-2/urban_prop) indisponiveis offline; score v6 nao computavel no ponto de ocorrencia sem extracao,false,false,true
S17C33_SV6_0010,S17C33_EAC_0010,Varzea,Rua Pe Henrique,not_computable_pre_event_features_unavailable,not_available,not_available,false,datasets/suscetibilidade/susc_score_v6_candidate_by_patch_v1.csv,false,false,CHIRPS region-level identico ao patch original (gatilho de chuva foi metropolitano); nao discrimina local,features locais discriminantes (HAND/slope/drenagem/Sentinel-2/urban_prop) indisponiveis offline; score v6 nao computavel no ponto de ocorrencia sem extracao,false,false,true
S17C33_SV6_0011,S17C33_EAC_0011,Varzea,Rua Torres Homem,not_computable_pre_event_features_unavailable,not_available,not_available,false,datasets/suscetibilidade/susc_score_v6_candidate_by_patch_v1.csv,false,false,CHIRPS region-level identico ao patch original (gatilho de chuva foi metropolitano); nao discrimina local,features locais discriminantes (HAND/slope/drenagem/Sentinel-2/urban_prop) indisponiveis offline; score v6 nao computavel no ponto de ocorrencia sem extracao,false,false,true
