canary_patch_id,event_id,bairro,logradouro,occurrence_date,center_lat,center_lon,xmin,ymin,xmax,ymax,approx_width_m,approx_height_m,approx_area_km2,uncertainty_m,source_occurrence_id,pre_event_window_start,pre_event_window_end,event_window_start,event_window_end,review_only
S17C33_EAC_0001,REC_2022_05_24_30,Pina,Avenida Republica do Libano,Imveis Alagados,-8.0869199,-34.8910955,-34.8983542,-8.0941571,-34.8838368,-8.0796827,1598.2,1609.5,2.5723,800,S17C32_GEO_0001,2022-04-24,2022-05-23,2022-05-24,2022-05-30,true
S17C33_EAC_0002,REC_2022_05_24_30,Imbiribeira,Rua Joao Murilo de Oliveira,Imveis Alagados,-8.1085591,-34.9048617,-34.9121208,-8.1157963,-34.8976026,-8.1013219,1598.2,1609.5,2.5723,800,S17C32_GEO_0002,2022-04-24,2022-05-23,2022-05-24,2022-05-30,true
S17C33_EAC_0003,REC_2022_05_24_30,Afogados,Rua Vicente Ribeiro de Barros,Imveis Alagados,-8.0802551,-34.9198368,-34.9270954,-8.0874923,-34.9125782,-8.0730179,1598.2,1609.5,2.5723,800,S17C32_GEO_0003,2022-04-24,2022-05-23,2022-05-24,2022-05-30,true
S17C33_EAC_0004,REC_2022_05_24_30,Areias,Rua Joao Paulo Ii,Imveis Alagados,-8.1038967,-34.9378954,-34.9451544,-8.1111339,-34.9306364,-8.0966595,1598.2,1609.5,2.5723,800,S17C32_GEO_0004,2022-04-24,2022-05-23,2022-05-24,2022-05-30,true
S17C33_EAC_0005,REC_2022_05_24_30,Areias,Rua Jose Firmino Pires,Imveis Alagados,-8.1020338,-34.9389074,-34.9461663,-8.1092710,-34.9316485,-8.0947966,1598.2,1609.5,2.5723,800,S17C32_GEO_0005,2022-04-24,2022-05-23,2022-05-24,2022-05-30,true
S17C33_EAC_0006,REC_2022_05_24_30,Ipsep,Rua Alvorada,Imveis Alagados,-8.1072331,-34.9255920,-34.9328510,-8.1144703,-34.9183330,-8.0999959,1598.2,1609.5,2.5723,800,S17C32_GEO_0006,2022-04-24,2022-05-23,2022-05-24,2022-05-30,true
S17C33_EAC_0007,REC_2022_05_24_30,Iputinga,Estrada do Barbalho,Imveis Alagados,-8.0379797,-34.9407764,-34.9480342,-8.0452169,-34.9335186,-8.0307425,1598.2,1609.5,2.5723,800,S17C32_GEO_0007,2022-04-24,2022-05-23,2022-05-24,2022-05-30,true
S17C33_EAC_0008,REC_2022_05_24_30,Iputinga,Rua Luiz Souto Dourado,Imveis Alagados,-8.0285513,-34.9410443,-34.9483019,-8.0357885,-34.9337867,-8.0213141,1598.2,1609.5,2.5723,800,S17C32_GEO_0008,2022-04-24,2022-05-23,2022-05-24,2022-05-30,true
S17C33_EAC_0009,REC_2022_05_24_30,Varzea,Avenida Melvin Jones,Imveis Alagados,-8.0332851,-34.9561321,-34.9633898,-8.0405223,-34.9488744,-8.0260479,1598.2,1609.5,2.5723,800,S17C32_GEO_0009,2022-04-24,2022-05-23,2022-05-24,2022-05-30,true
S17C33_EAC_0010,REC_2022_05_24_30,Varzea,Rua Pe Henrique,Imveis Alagados,-8.0474626,-34.9617547,-34.9690127,-8.0546998,-34.9544967,-8.0402254,1598.2,1609.5,2.5723,800,S17C32_GEO_0010,2022-04-24,2022-05-23,2022-05-24,2022-05-30,true
S17C33_EAC_0011,REC_2022_05_24_30,Varzea,Rua Torres Homem,Imveis Alagados,-8.0407080,-34.9549835,-34.9622413,-8.0479452,-34.9477257,-8.0334708,1598.2,1609.5,2.5723,800,S17C32_GEO_0011,2022-04-24,2022-05-23,2022-05-24,2022-05-30,true
