canary_patch_id,role,scene_id,scene_date,B03_mean,B04_mean,B08_mean,B11_mean,valid_pixel_count,sentinel2_available,status,review_only
S17C33_EAC_0001,canary,S2A_25MBM_20220427_0_L2A,2022-04-27,2389.81,2282.81,2483.17,2473.14,625,true,extracted,true
S17C33_EAC_0002,canary,S2A_25MBM_20220427_0_L2A,2022-04-27,1660.94,1581.72,2477.97,2249.61,625,true,extracted,true
S17C33_EAC_0003,canary,S2A_25MBM_20220427_0_L2A,2022-04-27,1366.74,1465.57,2004.66,2674.15,625,true,extracted,true
S17C33_EAC_0004,canary,S2A_25MBM_20220427_0_L2A,2022-04-27,2879.99,2750.16,3553.26,3162.28,625,true,extracted,true
S17C33_EAC_0005,canary,S2A_25MBM_20220427_0_L2A,2022-04-27,2669.98,2513.94,3390.33,2966.33,625,true,extracted,true
S17C33_EAC_0006,canary,S2A_25MBM_20220427_0_L2A,2022-04-27,2082.15,2185.29,2893.55,3603.82,625,true,extracted,true
S17C33_EAC_0007,canary,S2A_25MBM_20220427_0_L2A,2022-04-27,3697.49,3547.87,3983.56,3473.16,625,true,extracted,true
S17C33_EAC_0008,canary,S2A_25MBM_20220427_0_L2A,2022-04-27,2855.22,2807.1,2918.39,2133.36,625,true,extracted,true
S17C33_EAC_0009,canary,S2A_25MBM_20220427_0_L2A,2022-04-27,5777.74,5492.09,5481.3,3497.04,625,true,extracted,true
S17C33_EAC_0010,canary,S2A_25MBM_20220427_0_L2A,2022-04-27,4426.55,4191.49,4521.4,3087.63,625,true,extracted,true
S17C33_EAC_0011,canary,S2A_25MBM_20220427_0_L2A,2022-04-27,3854.14,3668.2,3915.47,2676.02,625,true,extracted,true
