point_id,selection_status,scene_id,scene_date,cloud_cover,pre_event_scene_count,pre_event_window,review_only
S17C33_EAC_0001,selected,S2A_25MBM_20220427_0_L2A,2022-04-27,60.55,6,2022-04-24..2022-05-23,true
S17C33_EAC_0002,selected,S2A_25MBM_20220427_0_L2A,2022-04-27,60.55,6,2022-04-24..2022-05-23,true
S17C33_EAC_0003,selected,S2A_25MBM_20220427_0_L2A,2022-04-27,60.55,6,2022-04-24..2022-05-23,true
S17C33_EAC_0004,selected,S2A_25MBM_20220427_0_L2A,2022-04-27,60.55,6,2022-04-24..2022-05-23,true
S17C33_EAC_0005,selected,S2A_25MBM_20220427_0_L2A,2022-04-27,60.55,6,2022-04-24..2022-05-23,true
S17C33_EAC_0006,selected,S2A_25MBM_20220427_0_L2A,2022-04-27,60.55,6,2022-04-24..2022-05-23,true
S17C33_EAC_0007,selected,S2A_25MBM_20220427_0_L2A,2022-04-27,60.55,6,2022-04-24..2022-05-23,true
S17C33_EAC_0008,selected,S2A_25MBM_20220427_0_L2A,2022-04-27,60.55,6,2022-04-24..2022-05-23,true
S17C33_EAC_0009,selected,S2A_25MBM_20220427_0_L2A,2022-04-27,60.55,6,2022-04-24..2022-05-23,true
S17C33_EAC_0010,selected,S2A_25MBM_20220427_0_L2A,2022-04-27,60.55,6,2022-04-24..2022-05-23,true
S17C33_EAC_0011,selected,S2A_25MBM_20220427_0_L2A,2022-04-27,60.55,6,2022-04-24..2022-05-23,true
S17C6_CANARY_REC_00001,selected,S2A_25MBM_20220427_0_L2A,2022-04-27,60.55,6,2022-04-24..2022-05-23,true
