canary_patch_id,scene_date,NDVI_mean,NDWI_mean,MNDWI_mean,NDBI_mean,spectral_available,review_only
S17C33_EAC_0001,2022-04-27,0.042,-0.0192,-0.0171,-0.002,true,true
S17C33_EAC_0002,2022-04-27,0.2208,-0.1974,-0.1505,-0.0483,true,true
S17C33_EAC_0003,2022-04-27,0.1553,-0.1892,-0.3235,0.1431,true,true
S17C33_EAC_0004,2022-04-27,0.1274,-0.1047,-0.0467,-0.0582,true,true
S17C33_EAC_0005,2022-04-27,0.1484,-0.1189,-0.0526,-0.0667,true,true
S17C33_EAC_0006,2022-04-27,0.1395,-0.1631,-0.2676,0.1093,true,true
S17C33_EAC_0007,2022-04-27,0.0578,-0.0372,0.0313,-0.0684,true,true
S17C33_EAC_0008,2022-04-27,0.0194,-0.0109,0.1447,-0.1554,true,true
S17C33_EAC_0009,2022-04-27,-0.001,0.0263,0.2459,-0.221,true,true
S17C33_EAC_0010,2022-04-27,0.0379,-0.0106,0.1782,-0.1884,true,true
S17C33_EAC_0011,2022-04-27,0.0326,-0.0079,0.1804,-0.188,true,true
