canary_patch_id,elevation_mean,elevation_min,elevation_max,slope_mean_deg,HAND_mean,HAND_min,HAND_available,HAND_status,terrain_source,terrain_available,status,review_only
S17C33_EAC_0001,8.2,3.0,10.0,4.004,not_available,not_available,false,not_available_requires_dem_drainage_pipeline,opentopodata_srtm30m,true,ok,true
S17C33_EAC_0002,8.8,7.0,11.0,1.718,not_available,not_available,false,not_available_requires_dem_drainage_pipeline,opentopodata_srtm30m,true,ok,true
S17C33_EAC_0003,7.0,6.0,8.0,1.146,not_available,not_available,false,not_available_requires_dem_drainage_pipeline,opentopodata_srtm30m,true,ok,true
S17C33_EAC_0004,6.2,4.0,10.0,2.291,not_available,not_available,false,not_available_requires_dem_drainage_pipeline,opentopodata_srtm30m,true,ok,true
S17C33_EAC_0005,5.8,4.0,7.0,1.146,not_available,not_available,false,not_available_requires_dem_drainage_pipeline,opentopodata_srtm30m,true,ok,true
S17C33_EAC_0006,8.6,7.0,10.0,1.146,not_available,not_available,false,not_available_requires_dem_drainage_pipeline,opentopodata_srtm30m,true,ok,true
S17C33_EAC_0007,14.0,12.0,16.0,1.146,not_available,not_available,false,not_available_requires_dem_drainage_pipeline,opentopodata_srtm30m,true,ok,true
S17C33_EAC_0008,9.2,8.0,13.0,2.862,not_available,not_available,false,not_available_requires_dem_drainage_pipeline,opentopodata_srtm30m,true,ok,true
S17C33_EAC_0009,11.2,8.0,14.0,1.718,not_available,not_available,false,not_available_requires_dem_drainage_pipeline,opentopodata_srtm30m,true,ok,true
S17C33_EAC_0010,15.4,13.0,19.0,2.291,not_available,not_available,false,not_available_requires_dem_drainage_pipeline,opentopodata_srtm30m,true,ok,true
S17C33_EAC_0011,13.2,11.0,16.0,2.291,not_available,not_available,false,not_available_requires_dem_drainage_pipeline,opentopodata_srtm30m,true,ok,true
