no_leakage_audit_id,object_id,object_type,uses_occurrence_as_feature,uses_event_as_label,uses_post_event_feature_as_pre_event,uses_canary_only_normalization,uses_osm_as_official_hydrography,uses_proxy_as_official_equivalent,uses_hand_proxy_as_hand_full,uses_control_as_negative_truth,modifies_score_v6,uses_score_v7,passes_no_leakage,blocking_reason,review_only
S17C35_LEAK_0001,S17C33_EAC_0001,feature_parity_replay,false,false,false,false,false,false,false,false,false,false,true,paridade/replay review-only com normalizacao populacional oficial; proxies flaggeados,true
S17C35_LEAK_0002,S17C33_EAC_0002,feature_parity_replay,false,false,false,false,false,false,false,false,false,false,true,paridade/replay review-only com normalizacao populacional oficial; proxies flaggeados,true
S17C35_LEAK_0003,S17C33_EAC_0003,feature_parity_replay,false,false,false,false,false,false,false,false,false,false,true,paridade/replay review-only com normalizacao populacional oficial; proxies flaggeados,true
S17C35_LEAK_0004,S17C33_EAC_0004,feature_parity_replay,false,false,false,false,false,false,false,false,false,false,true,paridade/replay review-only com normalizacao populacional oficial; proxies flaggeados,true
S17C35_LEAK_0005,S17C33_EAC_0005,feature_parity_replay,false,false,false,false,false,false,false,false,false,false,true,paridade/replay review-only com normalizacao populacional oficial; proxies flaggeados,true
S17C35_LEAK_0006,S17C33_EAC_0006,feature_parity_replay,false,false,false,false,false,false,false,false,false,false,true,paridade/replay review-only com normalizacao populacional oficial; proxies flaggeados,true
S17C35_LEAK_0007,S17C33_EAC_0007,feature_parity_replay,false,false,false,false,false,false,false,false,false,false,true,paridade/replay review-only com normalizacao populacional oficial; proxies flaggeados,true
S17C35_LEAK_0008,S17C33_EAC_0008,feature_parity_replay,false,false,false,false,false,false,false,false,false,false,true,paridade/replay review-only com normalizacao populacional oficial; proxies flaggeados,true
S17C35_LEAK_0009,S17C33_EAC_0009,feature_parity_replay,false,false,false,false,false,false,false,false,false,false,true,paridade/replay review-only com normalizacao populacional oficial; proxies flaggeados,true
S17C35_LEAK_0010,S17C33_EAC_0010,feature_parity_replay,false,false,false,false,false,false,false,false,false,false,true,paridade/replay review-only com normalizacao populacional oficial; proxies flaggeados,true
S17C35_LEAK_0011,S17C33_EAC_0011,feature_parity_replay,false,false,false,false,false,false,false,false,false,false,true,paridade/replay review-only com normalizacao populacional oficial; proxies flaggeados,true
