normalization_anchor_id,component_or_feature,normalization_method,population_reconstructed,normalization_params_recovered,can_apply_to_canaries,canary_only_normalization_used,blocking_reason,review_only
S17C35_NORM_0001,elevation_mean,"winsorize(0.01,0.99)+robust_minmax",true,lo=7.678;hi=1144.3444;n=300,true,false,not_applicable,true
S17C35_NORM_0002,slope_mean,"winsorize(0.01,0.99)+robust_minmax",true,lo=0.3907;hi=30.1625;n=300,true,false,not_applicable,true
S17C35_NORM_0003,hand_mean,"winsorize(0.01,0.99)+robust_minmax",true,lo=2.1832;hi=267.152;n=300,false,false,canary_lacks_official_equivalent_feature,true
S17C35_NORM_0004,twi_mean,"winsorize(0.01,0.99)+robust_minmax",true,lo=2.3139;hi=666.5651;n=300,false,false,canary_lacks_official_equivalent_feature,true
S17C35_NORM_0005,tpi_250m_mean,"winsorize(0.01,0.99)+robust_minmax",true,lo=-5.8602;hi=5.2898;n=300,false,false,canary_lacks_official_equivalent_feature,true
S17C35_NORM_0006,distance_to_water_mean,"winsorize(0.01,0.99)+robust_minmax",true,lo=292.2413;hi=5800.387;n=300,true,false,not_applicable,true
S17C35_NORM_0007,flow_acc_log_mean,"winsorize(0.01,0.99)+robust_minmax",true,lo=0.7018;hi=4.5867;n=300,false,false,canary_lacks_official_equivalent_feature,true
S17C35_NORM_0008,chirps_3d_mm,"winsorize(0.01,0.99)+robust_minmax",true,lo=0.0;hi=52.9435;n=300,true,false,not_applicable,true
S17C35_NORM_0009,chirps_7d_mm,"winsorize(0.01,0.99)+robust_minmax",true,lo=0.0;hi=97.7285;n=300,true,false,not_applicable,true
S17C35_NORM_0010,chirps_30d_mm,"winsorize(0.01,0.99)+robust_minmax",true,lo=40.7405;hi=207.6447;n=300,true,false,not_applicable,true
S17C35_NORM_0011,rain_7d_30d_ratio,"winsorize(0.01,0.99)+robust_minmax",true,lo=0.0068;hi=1.0;n=300,false,false,canary_lacks_official_equivalent_feature,true
S17C35_NORM_0012,rain_persistence_index,"winsorize(0.01,0.99)+robust_minmax",true,lo=0.1168;hi=0.9171;n=300,false,false,canary_lacks_official_equivalent_feature,true
S17C35_NORM_0013,runoff_context_7d,"winsorize(0.01,0.99)+robust_minmax",true,lo=0.0835;hi=44.8048;n=300,false,false,canary_lacks_official_equivalent_feature,true
S17C35_NORM_0014,runoff_context_30d,"winsorize(0.01,0.99)+robust_minmax",true,lo=0.3796;hi=120.3097;n=300,false,false,canary_lacks_official_equivalent_feature,true
S17C35_NORM_0015,ndvi_mean,"winsorize(0.01,0.99)+robust_minmax",true,lo=0.2522;hi=0.8346;n=300,true,false,not_applicable,true
S17C35_NORM_0016,mndwi_mean,"winsorize(0.01,0.99)+robust_minmax",true,lo=-0.6174;hi=-0.2225;n=300,true,false,not_applicable,true
S17C35_NORM_0017,ndbi_mean,"winsorize(0.01,0.99)+robust_minmax",true,lo=-0.3004;hi=0.1387;n=300,true,false,not_applicable,true
S17C35_NORM_0018,urban_prop,"winsorize(0.01,0.99)+robust_minmax",true,lo=0.0;hi=1.0;n=300,true,false,not_applicable,true
S17C35_NORM_0019,vegetation_prop,"winsorize(0.01,0.99)+robust_minmax",true,lo=0.0;hi=0.9205;n=300,true,false,not_applicable,true
