contrast_id,original_patch_id,canary_patch_id,comparison_status,score_v6_original,score_v6_canary_review_only,score_comparison_valid,feature_comparison_valid,official_drainage_distance_canary,HAND_canary,urban_prop_canary,landcover_status,normalization_status,contrast_interpretation,absence_of_occurrence_is_true_negative,review_only
S17C35_CON_0001,S17C6_CANARY_REC_00001,S17C33_EAC_0001,components_partial_final_score_blocked,not_available_original_is_canary_grid_not_in_official_score,not_available,false,true,104.1,8.2,0.5513,official,official_population_reconstructed,features oficiais comparaveis (drenagem/urban_prop/landcover) e normalizacao populacional reconstruida; score final v6 nao computavel (topografia: twi/tpi/flow_acc/HAND full ausentes),false,true
S17C35_CON_0002,S17C6_CANARY_REC_00001,S17C33_EAC_0002,components_partial_final_score_blocked,not_available_original_is_canary_grid_not_in_official_score,not_available,false,true,109.8,8.8,0.6321,official,official_population_reconstructed,features oficiais comparaveis (drenagem/urban_prop/landcover) e normalizacao populacional reconstruida; score final v6 nao computavel (topografia: twi/tpi/flow_acc/HAND full ausentes),false,true
S17C35_CON_0003,S17C6_CANARY_REC_00001,S17C33_EAC_0003,components_partial_final_score_blocked,not_available_original_is_canary_grid_not_in_official_score,not_available,false,true,99.1,7.0,0.7555,official,official_population_reconstructed,features oficiais comparaveis (drenagem/urban_prop/landcover) e normalizacao populacional reconstruida; score final v6 nao computavel (topografia: twi/tpi/flow_acc/HAND full ausentes),false,true
S17C35_CON_0004,S17C6_CANARY_REC_00001,S17C33_EAC_0004,components_partial_final_score_blocked,not_available_original_is_canary_grid_not_in_official_score,not_available,false,true,0.0,6.2,0.4877,official,official_population_reconstructed,features oficiais comparaveis (drenagem/urban_prop/landcover) e normalizacao populacional reconstruida; score final v6 nao computavel (topografia: twi/tpi/flow_acc/HAND full ausentes),false,true
S17C35_CON_0005,S17C6_CANARY_REC_00001,S17C33_EAC_0005,components_partial_final_score_blocked,not_available_original_is_canary_grid_not_in_official_score,not_available,false,true,0.0,5.8,0.4461,official,official_population_reconstructed,features oficiais comparaveis (drenagem/urban_prop/landcover) e normalizacao populacional reconstruida; score final v6 nao computavel (topografia: twi/tpi/flow_acc/HAND full ausentes),false,true
S17C35_CON_0006,S17C6_CANARY_REC_00001,S17C33_EAC_0006,components_partial_final_score_blocked,not_available_original_is_canary_grid_not_in_official_score,not_available,false,true,75.9,8.6,0.7153,official,official_population_reconstructed,features oficiais comparaveis (drenagem/urban_prop/landcover) e normalizacao populacional reconstruida; score final v6 nao computavel (topografia: twi/tpi/flow_acc/HAND full ausentes),false,true
S17C35_CON_0007,S17C6_CANARY_REC_00001,S17C33_EAC_0007,components_partial_final_score_blocked,not_available_original_is_canary_grid_not_in_official_score,not_available,false,true,219.4,14.0,0.8299,official,official_population_reconstructed,features oficiais comparaveis (drenagem/urban_prop/landcover) e normalizacao populacional reconstruida; score final v6 nao computavel (topografia: twi/tpi/flow_acc/HAND full ausentes),false,true
S17C35_CON_0008,S17C6_CANARY_REC_00001,S17C33_EAC_0008,components_partial_final_score_blocked,not_available_original_is_canary_grid_not_in_official_score,not_available,false,true,0.0,9.2,0.4286,official,official_population_reconstructed,features oficiais comparaveis (drenagem/urban_prop/landcover) e normalizacao populacional reconstruida; score final v6 nao computavel (topografia: twi/tpi/flow_acc/HAND full ausentes),false,true
S17C35_CON_0009,S17C6_CANARY_REC_00001,S17C33_EAC_0009,components_partial_final_score_blocked,not_available_original_is_canary_grid_not_in_official_score,not_available,false,true,0.0,11.2,0.6055,official,official_population_reconstructed,features oficiais comparaveis (drenagem/urban_prop/landcover) e normalizacao populacional reconstruida; score final v6 nao computavel (topografia: twi/tpi/flow_acc/HAND full ausentes),false,true
S17C35_CON_0010,S17C6_CANARY_REC_00001,S17C33_EAC_0010,components_partial_final_score_blocked,not_available_original_is_canary_grid_not_in_official_score,not_available,false,true,0.0,15.4,0.4124,official,official_population_reconstructed,features oficiais comparaveis (drenagem/urban_prop/landcover) e normalizacao populacional reconstruida; score final v6 nao computavel (topografia: twi/tpi/flow_acc/HAND full ausentes),false,true
S17C35_CON_0011,S17C6_CANARY_REC_00001,S17C33_EAC_0011,components_partial_final_score_blocked,not_available_original_is_canary_grid_not_in_official_score,not_available,false,true,414.6,13.2,0.7499,official,official_population_reconstructed,features oficiais comparaveis (drenagem/urban_prop/landcover) e normalizacao populacional reconstruida; score final v6 nao computavel (topografia: twi/tpi/flow_acc/HAND full ausentes),false,true
