flow_acc_feature_id,canary_patch_id,hydrologic_grid_id,flow_acc_log_mean,flow_acc_log_min,flow_acc_log_max,flow_acc_proxy,flow_acc_full,valid_pixel_count,method_equivalence_status,blocking_reason,review_only
S17C33_FA_0001,S17C33_EAC_0001,S17C36_HGRID_0001,0.9297,0.6931,3.1781,false,true,2809,method_reconstructed_not_proven_equivalent,not_applicable,true
S17C33_FA_0002,S17C33_EAC_0002,S17C36_HGRID_0001,1.0258,0.6931,3.3322,false,true,2862,method_reconstructed_not_proven_equivalent,not_applicable,true
S17C33_FA_0003,S17C33_EAC_0003,S17C36_HGRID_0001,0.9628,0.6931,3.5264,false,true,2862,method_reconstructed_not_proven_equivalent,not_applicable,true
S17C33_FA_0004,S17C33_EAC_0004,S17C36_HGRID_0001,1.1192,0.6931,4.4067,false,true,2862,method_reconstructed_not_proven_equivalent,not_applicable,true
S17C33_FA_0005,S17C33_EAC_0005,S17C36_HGRID_0001,1.127,0.6931,4.4067,false,true,2809,method_reconstructed_not_proven_equivalent,not_applicable,true
S17C33_FA_0006,S17C33_EAC_0006,S17C36_HGRID_0001,0.9728,0.6931,3.434,false,true,2809,method_reconstructed_not_proven_equivalent,not_applicable,true
S17C33_FA_0007,S17C33_EAC_0007,S17C36_HGRID_0001,0.9811,0.6931,3.1355,false,true,2809,method_reconstructed_not_proven_equivalent,not_applicable,true
S17C33_FA_0008,S17C33_EAC_0008,S17C36_HGRID_0001,1.0382,0.6931,3.8712,false,true,2862,method_reconstructed_not_proven_equivalent,not_applicable,true
S17C33_FA_0009,S17C33_EAC_0009,S17C36_HGRID_0001,1.0578,0.6931,4.1897,false,true,2862,method_reconstructed_not_proven_equivalent,not_applicable,true
S17C33_FA_0010,S17C33_EAC_0010,S17C36_HGRID_0001,1.0912,0.6931,4.0073,false,true,2862,method_reconstructed_not_proven_equivalent,not_applicable,true
S17C33_FA_0011,S17C33_EAC_0011,S17C36_HGRID_0001,1.0403,0.6931,3.6889,false,true,2809,method_reconstructed_not_proven_equivalent,not_applicable,true
