crossval_id,calibration_model_id,fold_id,train_patch_count,test_patch_count,spearman_corr,pearson_corr,mae,median_absolute_error,rank_preservation_score,scale_compatible_after_calibration,passes_calibration_threshold,review_only
S17C39_CV_0001,C01,1,78,20,0.582,0.341,0.8607,0.471,0.582,true,false,true
S17C39_CV_0002,C01,2,78,20,0.7504,0.6473,0.6503,0.2759,0.7504,true,false,true
S17C39_CV_0003,C01,3,78,20,0.2917,0.2475,1.0751,0.9123,0.2917,true,false,true
S17C39_CV_0004,C01,4,79,19,0.5439,0.5577,0.9015,0.4537,0.5439,true,false,true
S17C39_CV_0005,C01,5,79,19,0.2754,0.151,0.8672,0.5125,0.2754,true,false,true
S17C39_CV_0006,C02,1,78,20,0.5233,0.5764,0.762,0.4407,0.5233,true,false,true
S17C39_CV_0007,C02,2,78,20,0.7173,0.6643,0.7441,0.5829,0.7173,true,false,true
S17C39_CV_0008,C02,3,78,20,0.2481,0.4246,0.9338,0.6317,0.2481,true,false,true
S17C39_CV_0009,C02,4,79,19,0.5544,0.5309,1.0172,0.8116,0.5544,false,false,true
S17C39_CV_0010,C02,5,79,19,0.1246,0.3334,1.103,0.6763,0.1246,false,false,true
S17C39_CV_0011,C03,1,78,20,0.4451,0.4239,0.8379,0.7943,0.4451,true,false,true
S17C39_CV_0012,C03,2,78,20,0.8752,0.7693,0.6515,0.5322,0.8752,true,true,true
S17C39_CV_0013,C03,3,78,20,0.2436,0.2461,0.9383,0.8958,0.2436,true,false,true
S17C39_CV_0014,C03,4,79,19,0.5526,0.588,0.9706,0.8825,0.5526,true,false,true
S17C39_CV_0015,C03,5,79,19,0.4807,0.4315,0.6975,0.6497,0.4807,false,false,true
S17C39_CV_0016,C04,1,78,20,0.388,0.321,0.7988,0.8282,0.388,true,false,true
S17C39_CV_0017,C04,2,78,20,0.7113,0.7336,0.6639,0.284,0.7113,true,false,true
S17C39_CV_0018,C04,3,78,20,0.2902,0.3815,0.8419,0.7343,0.2902,true,false,true
S17C39_CV_0019,C04,4,79,19,0.4877,0.4905,0.9998,0.8419,0.4877,true,false,true
S17C39_CV_0020,C04,5,79,19,0.0842,0.1445,0.8722,1.1459,0.0842,false,false,true
