no_leakage_audit_id,object_id,object_type,uses_occurrence_as_feature,uses_canary_for_training,calibration_on_official_only,uses_canary_only_normalization,surrogate_validated_before_apply,final_score_computed,modifies_official_matrix,modifies_score_v6,uses_score_v7,uses_control_as_negative_truth,masks_calibrated_as_original,passes_no_leakage,blocking_reason,review_only
S17C39_LEAK_0001,recife_00004,official_patch_calibration,false,false,true,false,true,false,false,false,false,false,false,true,calibracao so oficial; canario nao treina; review-only,true
S17C39_LEAK_0002,recife_00007,official_patch_calibration,false,false,true,false,true,false,false,false,false,false,false,true,calibracao so oficial; canario nao treina; review-only,true
S17C39_LEAK_0003,recife_00019,official_patch_calibration,false,false,true,false,true,false,false,false,false,false,false,true,calibracao so oficial; canario nao treina; review-only,true
S17C39_LEAK_0004,recife_00030,official_patch_calibration,false,false,true,false,true,false,false,false,false,false,false,true,calibracao so oficial; canario nao treina; review-only,true
S17C39_LEAK_0005,recife_00033,official_patch_calibration,false,false,true,false,true,false,false,false,false,false,false,true,calibracao so oficial; canario nao treina; review-only,true
S17C39_LEAK_0006,recife_00053,official_patch_calibration,false,false,true,false,true,false,false,false,false,false,false,true,calibracao so oficial; canario nao treina; review-only,true
S17C39_LEAK_0007,recife_00055,official_patch_calibration,false,false,true,false,true,false,false,false,false,false,false,true,calibracao so oficial; canario nao treina; review-only,true
S17C39_LEAK_0008,recife_00080,official_patch_calibration,false,false,true,false,true,false,false,false,false,false,false,true,calibracao so oficial; canario nao treina; review-only,true
S17C39_LEAK_0009,recife_00131,official_patch_calibration,false,false,true,false,true,false,false,false,false,false,false,true,calibracao so oficial; canario nao treina; review-only,true
S17C39_LEAK_0010,recife_00132,official_patch_calibration,false,false,true,false,true,false,false,false,false,false,false,true,calibracao so oficial; canario nao treina; review-only,true
S17C39_LEAK_0011,recife_00136,official_patch_calibration,false,false,true,false,true,false,false,false,false,false,false,true,calibracao so oficial; canario nao treina; review-only,true
S17C39_LEAK_0012,recife_00183,official_patch_calibration,false,false,true,false,true,false,false,false,false,false,false,true,calibracao so oficial; canario nao treina; review-only,true
S17C39_LEAK_0013,recife_00191,official_patch_calibration,false,false,true,false,true,false,false,false,false,false,false,true,calibracao so oficial; canario nao treina; review-only,true
S17C39_LEAK_0014,recife_00204,official_patch_calibration,false,false,true,false,true,false,false,false,false,false,false,true,calibracao so oficial; canario nao treina; review-only,true
