extraction_run_id,candidate_patch_id,feature_layer,attempted,execution_status,feature_rows_created,real_feature_rows_created,source_dataset,source_pipeline,raw_artifact_committed,blocking_reason,review_only,trainable,ground_truth
S17C8_RUN_00001,S17C6_CANARY_REC_00001,physical_static,true,blocked_missing_candidate_specific_artifact,8,0,datasets/suscetibilidade/susc_features_by_patch_v1.csv,official_patch_feature_pipeline_not_candidate_extractor,false,blocked_missing_candidate_specific_dem_or_hydrology_artifact,true,false,false
S17C8_RUN_00002,S17C6_CANARY_REC_00001,urban_territorial,true,blocked_missing_candidate_specific_artifact,6,0,datasets/suscetibilidade/susc_features_by_patch_v1.csv,official_patch_feature_pipeline_not_candidate_extractor,false,blocked_missing_candidate_specific_landcover_or_spectral_artifact,true,false,false
S17C8_RUN_00003,S17C6_CANARY_REC_00001,rainfall_trigger,true,blocked_missing_candidate_specific_artifact,4,0,datasets/suscetibilidade/susc_features_by_patch_v1.csv,official_patch_feature_pipeline_not_candidate_extractor,false,blocked_missing_candidate_specific_chirps_or_runoff_artifact,true,false,false
S17C8_RUN_00004,S17C6_CANARY_REC_00002,physical_static,true,blocked_missing_candidate_specific_artifact,8,0,datasets/suscetibilidade/susc_features_by_patch_v1.csv,official_patch_feature_pipeline_not_candidate_extractor,false,blocked_missing_candidate_specific_dem_or_hydrology_artifact,true,false,false
S17C8_RUN_00005,S17C6_CANARY_REC_00002,urban_territorial,true,blocked_missing_candidate_specific_artifact,6,0,datasets/suscetibilidade/susc_features_by_patch_v1.csv,official_patch_feature_pipeline_not_candidate_extractor,false,blocked_missing_candidate_specific_landcover_or_spectral_artifact,true,false,false
S17C8_RUN_00006,S17C6_CANARY_REC_00002,rainfall_trigger,true,blocked_missing_candidate_specific_artifact,4,0,datasets/suscetibilidade/susc_features_by_patch_v1.csv,official_patch_feature_pipeline_not_candidate_extractor,false,blocked_missing_candidate_specific_chirps_or_runoff_artifact,true,false,false
S17C8_RUN_00007,S17C6_CANARY_REC_00003,physical_static,true,blocked_missing_candidate_specific_artifact,8,0,datasets/suscetibilidade/susc_features_by_patch_v1.csv,official_patch_feature_pipeline_not_candidate_extractor,false,blocked_missing_candidate_specific_dem_or_hydrology_artifact,true,false,false
S17C8_RUN_00008,S17C6_CANARY_REC_00003,urban_territorial,true,blocked_missing_candidate_specific_artifact,6,0,datasets/suscetibilidade/susc_features_by_patch_v1.csv,official_patch_feature_pipeline_not_candidate_extractor,false,blocked_missing_candidate_specific_landcover_or_spectral_artifact,true,false,false
S17C8_RUN_00009,S17C6_CANARY_REC_00003,rainfall_trigger,true,blocked_missing_candidate_specific_artifact,4,0,datasets/suscetibilidade/susc_features_by_patch_v1.csv,official_patch_feature_pipeline_not_candidate_extractor,false,blocked_missing_candidate_specific_chirps_or_runoff_artifact,true,false,false
S17C8_RUN_00010,S17C6_CANARY_REC_00004,physical_static,true,blocked_missing_candidate_specific_artifact,8,0,datasets/suscetibilidade/susc_features_by_patch_v1.csv,official_patch_feature_pipeline_not_candidate_extractor,false,blocked_missing_candidate_specific_dem_or_hydrology_artifact,true,false,false
S17C8_RUN_00011,S17C6_CANARY_REC_00004,urban_territorial,true,blocked_missing_candidate_specific_artifact,6,0,datasets/suscetibilidade/susc_features_by_patch_v1.csv,official_patch_feature_pipeline_not_candidate_extractor,false,blocked_missing_candidate_specific_landcover_or_spectral_artifact,true,false,false
S17C8_RUN_00012,S17C6_CANARY_REC_00004,rainfall_trigger,true,blocked_missing_candidate_specific_artifact,4,0,datasets/suscetibilidade/susc_features_by_patch_v1.csv,official_patch_feature_pipeline_not_candidate_extractor,false,blocked_missing_candidate_specific_chirps_or_runoff_artifact,true,false,false
S17C8_RUN_00013,S17C6_CANARY_REC_00005,physical_static,true,blocked_missing_candidate_specific_artifact,8,0,datasets/suscetibilidade/susc_features_by_patch_v1.csv,official_patch_feature_pipeline_not_candidate_extractor,false,blocked_missing_candidate_specific_dem_or_hydrology_artifact,true,false,false
S17C8_RUN_00014,S17C6_CANARY_REC_00005,urban_territorial,true,blocked_missing_candidate_specific_artifact,6,0,datasets/suscetibilidade/susc_features_by_patch_v1.csv,official_patch_feature_pipeline_not_candidate_extractor,false,blocked_missing_candidate_specific_landcover_or_spectral_artifact,true,false,false
S17C8_RUN_00015,S17C6_CANARY_REC_00005,rainfall_trigger,true,blocked_missing_candidate_specific_artifact,4,0,datasets/suscetibilidade/susc_features_by_patch_v1.csv,official_patch_feature_pipeline_not_candidate_extractor,false,blocked_missing_candidate_specific_chirps_or_runoff_artifact,true,false,false
