candidate_patch_id,feature_layer,required_input_name,required_input_type,required_spatial_extent,required_temporal_window,required_format,available_now,source_artifact_id,can_materialize_without_download,can_materialize_without_credentials,can_materialize_without_official_patch,blocking_reason,review_only,trainable,ground_truth
S17C6_CANARY_REC_00001,physical_static,DEM_HAND_raster,raster_or_zonal_stats,candidate_patch_bbox_plus_buffer,static_or_pre_event,csv_or_geotiff_local_only,false,S17C9_SRC_0005,true,true,true,missing_candidate_specific_dem_hand_coverage,true,false,false
S17C6_CANARY_REC_00001,physical_static,drainage_network,vector_or_raster,candidate_patch_bbox_plus_buffer,static,geojson_or_zonal_stats_csv,false,S17C9_SRC_0006,true,true,true,missing_candidate_specific_drainage_coverage,true,false,false
S17C6_CANARY_REC_00001,urban_territorial,MapBiomas_landcover,raster_or_zonal_stats,candidate_patch_bbox,year_policy_documented,csv_or_geotiff_local_only,false,S17C9_SRC_0008,true,true,true,missing_candidate_specific_landcover_coverage,true,false,false
S17C6_CANARY_REC_00001,rainfall_trigger,CHIRPS_pre_event_accumulation,zonal_stats,candidate_patch_bbox,2022-05-24_2022-05-30,csv,false,S17C9_SRC_0009,false,false,true,missing_chirps_pre_event_zonal_stats,true,false,false
S17C6_CANARY_REC_00001,sentinel2_spectral,Sentinel2_pre_event_tile,tile_metadata_or_small_clip,candidate_patch_bbox,pre_event_cloud_policy_required,csv_or_small_tile_metadata,false,S17C9_SRC_0010,false,false,true,missing_candidate_specific_sentinel2_tile,true,false,false
S17C6_CANARY_REC_00001,embedding_representation,DINO_SatMAE_real_tile,embedding_input_tile,candidate_patch_bbox_square_tile,same_as_sentinel2_tile_policy,embedding_input_manifest,false,S17C9_SRC_0015,false,false,true,missing_real_candidate_tile_for_embedding,true,false,false
S17C6_CANARY_REC_00002,physical_static,DEM_HAND_raster,raster_or_zonal_stats,candidate_patch_bbox_plus_buffer,static_or_pre_event,csv_or_geotiff_local_only,false,S17C9_SRC_0005,true,true,true,missing_candidate_specific_dem_hand_coverage,true,false,false
S17C6_CANARY_REC_00002,physical_static,drainage_network,vector_or_raster,candidate_patch_bbox_plus_buffer,static,geojson_or_zonal_stats_csv,false,S17C9_SRC_0006,true,true,true,missing_candidate_specific_drainage_coverage,true,false,false
S17C6_CANARY_REC_00002,urban_territorial,MapBiomas_landcover,raster_or_zonal_stats,candidate_patch_bbox,year_policy_documented,csv_or_geotiff_local_only,false,S17C9_SRC_0008,true,true,true,missing_candidate_specific_landcover_coverage,true,false,false
S17C6_CANARY_REC_00002,rainfall_trigger,CHIRPS_pre_event_accumulation,zonal_stats,candidate_patch_bbox,2022-05-24_2022-05-30,csv,false,S17C9_SRC_0009,false,false,true,missing_chirps_pre_event_zonal_stats,true,false,false
S17C6_CANARY_REC_00002,sentinel2_spectral,Sentinel2_pre_event_tile,tile_metadata_or_small_clip,candidate_patch_bbox,pre_event_cloud_policy_required,csv_or_small_tile_metadata,false,S17C9_SRC_0010,false,false,true,missing_candidate_specific_sentinel2_tile,true,false,false
S17C6_CANARY_REC_00002,embedding_representation,DINO_SatMAE_real_tile,embedding_input_tile,candidate_patch_bbox_square_tile,same_as_sentinel2_tile_policy,embedding_input_manifest,false,S17C9_SRC_0015,false,false,true,missing_real_candidate_tile_for_embedding,true,false,false
