unblock_id,candidate_patch_id,feature_layer,current_status,missing_artifact_or_adapter,required_next_step,can_unlock_in_next_sprint,risk_level,blocks_scientific_use,blocks_17b,review_only
S17C9_UNBLOCK_00001,S17C6_CANARY_REC_00001,physical_static,blocked_no_candidate_specific_artifact,DEM/HAND/drainage/flow/TWI artifacts,materializar P0 DEM/HAND e adapter de estatistica zonal,false,high,true,true,true
S17C9_UNBLOCK_00002,S17C6_CANARY_REC_00001,urban_territorial,blocked_no_candidate_specific_artifact,MapBiomas/landcover candidate coverage,materializar cobertura territorial e adapter de estatistica zonal,false,medium,true,true,true
S17C9_UNBLOCK_00003,S17C6_CANARY_REC_00001,rainfall_trigger,blocked_external_download,CHIRPS pre-event zonal stats,criar pedido GEE/CHIRPS metadata-only ou export leve,false,medium,true,true,true
S17C9_UNBLOCK_00004,S17C6_CANARY_REC_00001,sentinel2_spectral,blocked_runtime_credentials,Sentinel-2 tile or STAC/CDSE/GEE lineage,resolver tile pre-evento e politica de nuvem,false,high,true,true,true
S17C9_UNBLOCK_00005,S17C6_CANARY_REC_00001,embedding_representation,blocked_external_download,real DINO/SatMAE input tile,preparar tile real apos Sentinel-2,false,high,true,true,true
S17C9_UNBLOCK_00006,S17C6_CANARY_REC_00002,physical_static,blocked_no_candidate_specific_artifact,DEM/HAND/drainage/flow/TWI artifacts,materializar P0 DEM/HAND e adapter de estatistica zonal,false,high,true,true,true
S17C9_UNBLOCK_00007,S17C6_CANARY_REC_00002,urban_territorial,blocked_no_candidate_specific_artifact,MapBiomas/landcover candidate coverage,materializar cobertura territorial e adapter de estatistica zonal,false,medium,true,true,true
S17C9_UNBLOCK_00008,S17C6_CANARY_REC_00002,rainfall_trigger,blocked_external_download,CHIRPS pre-event zonal stats,criar pedido GEE/CHIRPS metadata-only ou export leve,false,medium,true,true,true
S17C9_UNBLOCK_00009,S17C6_CANARY_REC_00002,sentinel2_spectral,blocked_runtime_credentials,Sentinel-2 tile or STAC/CDSE/GEE lineage,resolver tile pre-evento e politica de nuvem,false,high,true,true,true
S17C9_UNBLOCK_00010,S17C6_CANARY_REC_00002,embedding_representation,blocked_external_download,real DINO/SatMAE input tile,preparar tile real apos Sentinel-2,false,high,true,true,true
S17C9_UNBLOCK_00011,S17C6_CANARY_REC_00003,physical_static,blocked_no_candidate_specific_artifact,DEM/HAND/drainage/flow/TWI artifacts,materializar P0 DEM/HAND e adapter de estatistica zonal,false,high,true,true,true
S17C9_UNBLOCK_00012,S17C6_CANARY_REC_00003,urban_territorial,blocked_no_candidate_specific_artifact,MapBiomas/landcover candidate coverage,materializar cobertura territorial e adapter de estatistica zonal,false,medium,true,true,true
S17C9_UNBLOCK_00013,S17C6_CANARY_REC_00003,rainfall_trigger,blocked_external_download,CHIRPS pre-event zonal stats,criar pedido GEE/CHIRPS metadata-only ou export leve,false,medium,true,true,true
S17C9_UNBLOCK_00014,S17C6_CANARY_REC_00003,sentinel2_spectral,blocked_runtime_credentials,Sentinel-2 tile or STAC/CDSE/GEE lineage,resolver tile pre-evento e politica de nuvem,false,high,true,true,true
S17C9_UNBLOCK_00015,S17C6_CANARY_REC_00003,embedding_representation,blocked_external_download,real DINO/SatMAE input tile,preparar tile real apos Sentinel-2,false,high,true,true,true
S17C9_UNBLOCK_00016,S17C6_CANARY_REC_00004,physical_static,blocked_no_candidate_specific_artifact,DEM/HAND/drainage/flow/TWI artifacts,materializar P0 DEM/HAND e adapter de estatistica zonal,false,high,true,true,true
S17C9_UNBLOCK_00017,S17C6_CANARY_REC_00004,urban_territorial,blocked_no_candidate_specific_artifact,MapBiomas/landcover candidate coverage,materializar cobertura territorial e adapter de estatistica zonal,false,medium,true,true,true
S17C9_UNBLOCK_00018,S17C6_CANARY_REC_00004,rainfall_trigger,blocked_external_download,CHIRPS pre-event zonal stats,criar pedido GEE/CHIRPS metadata-only ou export leve,false,medium,true,true,true
S17C9_UNBLOCK_00019,S17C6_CANARY_REC_00004,sentinel2_spectral,blocked_runtime_credentials,Sentinel-2 tile or STAC/CDSE/GEE lineage,resolver tile pre-evento e politica de nuvem,false,high,true,true,true
S17C9_UNBLOCK_00020,S17C6_CANARY_REC_00004,embedding_representation,blocked_external_download,real DINO/SatMAE input tile,preparar tile real apos Sentinel-2,false,high,true,true,true
S17C9_UNBLOCK_00021,S17C6_CANARY_REC_00005,physical_static,blocked_no_candidate_specific_artifact,DEM/HAND/drainage/flow/TWI artifacts,materializar P0 DEM/HAND e adapter de estatistica zonal,false,high,true,true,true
S17C9_UNBLOCK_00022,S17C6_CANARY_REC_00005,urban_territorial,blocked_no_candidate_specific_artifact,MapBiomas/landcover candidate coverage,materializar cobertura territorial e adapter de estatistica zonal,false,medium,true,true,true
S17C9_UNBLOCK_00023,S17C6_CANARY_REC_00005,rainfall_trigger,blocked_external_download,CHIRPS pre-event zonal stats,criar pedido GEE/CHIRPS metadata-only ou export leve,false,medium,true,true,true
S17C9_UNBLOCK_00024,S17C6_CANARY_REC_00005,sentinel2_spectral,blocked_runtime_credentials,Sentinel-2 tile or STAC/CDSE/GEE lineage,resolver tile pre-evento e politica de nuvem,false,high,true,true,true
S17C9_UNBLOCK_00025,S17C6_CANARY_REC_00005,embedding_representation,blocked_external_download,real DINO/SatMAE input tile,preparar tile real apos Sentinel-2,false,high,true,true,true
