candidate_event_id,city,event_date,pre_event_window,post_event_window,requires_sentinel1_pre,requires_sentinel1_post,requires_patch_intersection,requires_permanent_water_mask,requires_hand_slope_masks,requires_urban_ambiguity_guard,sar_feasibility_status,sar_blocking_reason,recommended_polarizations,recommended_method,expected_output_class,review_only,trainable,ground_truth
S17C_E_SUSC13A_00000,Recife,not_available,not_available,not_available,true,true,true,true,true,true,blocked,not_a_confirmed_observed_occurrence,VV;VH,sentinel1_grd_log_ratio_pre_post_change_detection_then_candidate_polygonization_then_human_qa,blocked,true,false,false
S17C_E_SUSC13A_00001,Recife,2022-05-24,2022-04-24/2022-05-17,2022-05-24/2022-05-31,true,true,true,true,true,true,feasible,not_available,VV;VH,sentinel1_grd_log_ratio_pre_post_change_detection_then_candidate_polygonization_then_human_qa,technical_remote_sensing_flood_footprint,true,false,false
S17C_E_SUSC13A_00002,Recife,2022-05-24,2022-04-24/2022-05-17,2022-05-24/2022-05-31,true,true,true,true,true,true,blocked,risk_area_not_event,VV;VH,sentinel1_grd_log_ratio_pre_post_change_detection_then_candidate_polygonization_then_human_qa,blocked,true,false,false
S17C_E_SUSC13A_00003,Recife,not_available,not_available,not_available,true,true,true,true,true,true,blocked,risk_area_not_event,VV;VH,sentinel1_grd_log_ratio_pre_post_change_detection_then_candidate_polygonization_then_human_qa,blocked,true,false,false
S17C_E_SUSC13A_00004,Recife,not_available,not_available,not_available,true,true,true,true,true,true,blocked,not_a_confirmed_observed_occurrence,VV;VH,sentinel1_grd_log_ratio_pre_post_change_detection_then_candidate_polygonization_then_human_qa,blocked,true,false,false
S17C_E_SUSC13A_00005,Recife,not_available,not_available,not_available,true,true,true,true,true,true,blocked,risk_area_not_event,VV;VH,sentinel1_grd_log_ratio_pre_post_change_detection_then_candidate_polygonization_then_human_qa,blocked,true,false,false
S17C_E_SUSC13A_00006,Petropolis,not_available,not_available,not_available,true,true,true,true,true,true,blocked,no_usable_event_date,VV;VH,sentinel1_grd_log_ratio_pre_post_change_detection_then_candidate_polygonization_then_human_qa,blocked,true,false,false
S17C_E_SUSC13A_00007,Petropolis,not_available,not_available,not_available,true,true,true,true,true,true,blocked,no_usable_event_date,VV;VH,sentinel1_grd_log_ratio_pre_post_change_detection_then_candidate_polygonization_then_human_qa,blocked,true,false,false
S17C_E_SUSC13A_00008,Petropolis,not_available,not_available,not_available,true,true,true,true,true,true,blocked,no_usable_event_date,VV;VH,sentinel1_grd_log_ratio_pre_post_change_detection_then_candidate_polygonization_then_human_qa,blocked,true,false,false
S17C_E_SUSC13A_00009,Petropolis,not_available,not_available,not_available,true,true,true,true,true,true,blocked,no_usable_event_date,VV;VH,sentinel1_grd_log_ratio_pre_post_change_detection_then_candidate_polygonization_then_human_qa,blocked,true,false,false
